TotalArea_x,TotalArea_y
0.,2457.
1.,2483.
2.,2508.
3.,2525.
4.,3013.
5.,3549.
6.,3941.
7.,4346.
8.,4830.
9.,5260.
10.,5678.
11.,5909.
12.,6014.
13.,6079.
14.,6104.
15.,6110.
16.,6117.
17.,6125.
18.,6123.
19.,6125.
20.,6126.
21.,6131.
22.,6136.
23.,6132.
24.,6141.
25.,6140.
26.,6143.
27.,6146.
28.,6148.
29.,6139.
30.,6135.
31.,6138.
32.,6141.
33.,6146.
34.,6146.
35.,6145.
36.,6144.
37.,6147.
38.,6146.
39.,6148.
40.,6150.
41.,6149.
42.,6149.
43.,6153.
44.,6152.
45.,6153.
46.,6150.
47.,6151.
48.,6152.
49.,6151.
50.,6150.
51.,6151.
52.,6151.
53.,6150.
54.,6150.
55.,6153.
56.,6152.
57.,6156.
58.,6156.
59.,6158.
60.,6156.
61.,6157.
62.,6157.
63.,6157.
64.,6159.
65.,6160.
66.,6160.
67.,6158.
68.,6159.
69.,6159.
70.,6159.
71.,6159.
72.,6160.
73.,6162.
74.,6162.
75.,6161.
76.,6160.
77.,6163.
78.,6165.
79.,6166.
80.,6166.
81.,6169.
82.,6169.
83.,6169.
84.,6170.
85.,6170.
86.,6170.
87.,6169.
88.,6170.
89.,6171.
90.,6172.
91.,6174.
92.,6174.
93.,6174.
94.,6175.
95.,6175.
96.,6175.
97.,6175.
98.,6173.
99.,6173.
100.,6171.
101.,6173.
102.,6173.
103.,6172.
104.,6172.
105.,6172.
106.,6170.
107.,6174.
108.,6175.
109.,6177.
110.,6178.
111.,6178.
112.,6179.
113.,6179.
114.,6181.
115.,6182.
116.,6181.
117.,6182.
118.,6183.
119.,6185.
120.,6185.
121.,6185.
122.,6186.
123.,6185.
124.,6184.
125.,6186.
126.,6188.
127.,6188.
128.,6188.
129.,6187.
130.,6187.
131.,6189.
132.,6189.
133.,6191.
134.,6190.
135.,6192.
136.,6188.
137.,6188.
138.,6189.
139.,6190.
140.,6193.
141.,6191.
142.,6191.
143.,6193.
144.,6194.
145.,6197.
146.,6197.
147.,6197.
148.,6198.
149.,6198.
150.,6200.
151.,6201.
152.,6201.
153.,6201.
154.,6201.
155.,6199.
156.,6198.
157.,6198.
158.,6198.
159.,6199.
160.,6201.
161.,6199.
162.,6198.
163.,6200.
164.,6198.
165.,6197.
166.,6199.
167.,6202.
168.,6203.
169.,6203.
170.,6202.
171.,6201.
172.,6200.
173.,6202.
174.,6205.
175.,6206.
176.,6208.
177.,6210.
178.,6208.
179.,6211.
180.,6211.
181.,6212.
182.,6213.
183.,6212.
184.,6215.
185.,6216.
186.,6214.
187.,6216.
188.,6217.
189.,6217.
190.,6217.
191.,6219.
192.,6219.
193.,6219.
194.,6221.
195.,6224.
196.,6227.
197.,6227.
198.,6226.
199.,6227.
200.,6231.
201.,6233.
202.,6233.
203.,6234.
204.,6235.
205.,6236.
206.,6235.
207.,6236.
208.,6236.
209.,6235.
210.,6235.
211.,6231.
212.,6229.
213.,6227.
214.,6228.
215.,6227.
216.,6226.
217.,6226.
218.,6224.
219.,6224.
220.,6225.
221.,6224.
222.,6221.
223.,6219.
224.,6219.
225.,6217.
226.,6214.
227.,6214.
228.,6211.
229.,6209.
230.,6205.
231.,6202.
232.,6205.
233.,6205.
234.,6205.
235.,6206.
236.,6204.
237.,6204.
238.,6203.
239.,6197.
240.,6195.
241.,6196.
242.,6194.
243.,6194.
244.,6193.
245.,6193.
246.,6191.
247.,6190.
248.,6192.
249.,6192.
250.,6191.
251.,6193.
252.,6189.
253.,6188.
254.,6189.
255.,6186.
256.,6182.
257.,6181.
