TotalArea_x,TotalArea_y
0.,2457.
1.,2475.
2.,2499.
3.,2516.
4.,2975.
5.,3502.
6.,3908.
7.,4336.
8.,4853.
9.,5268.
10.,5615.
11.,5849.
12.,5959.
13.,6008.
14.,6037.
15.,6068.
16.,6063.
17.,6083.
18.,6086.
19.,6087.
20.,6091.
21.,6092.
22.,6095.
23.,6096.
24.,6096.
25.,6090.
26.,6085.
27.,6082.
28.,6085.
29.,6086.
30.,6087.
31.,6086.
32.,6087.
33.,6090.
34.,6093.
35.,6093.
36.,6094.
37.,6095.
38.,6094.
39.,6094.
40.,6096.
41.,6098.
42.,6099.
43.,6100.
44.,6104.
45.,6107.
46.,6107.
47.,6110.
48.,6111.
49.,6112.
50.,6113.
51.,6114.
52.,6115.
53.,6115.
54.,6115.
55.,6119.
56.,6120.
57.,6123.
58.,6124.
59.,6126.
60.,6126.
61.,6127.
62.,6126.
63.,6124.
64.,6126.
65.,6126.
66.,6126.
67.,6127.
68.,6128.
69.,6127.
70.,6128.
71.,6127.
72.,6130.
73.,6133.
74.,6129.
75.,6130.
76.,6131.
77.,6130.
78.,6130.
79.,6134.
80.,6135.
81.,6131.
82.,6131.
83.,6130.
84.,6129.
85.,6134.
86.,6138.
87.,6140.
88.,6139.
89.,6140.
90.,6144.
91.,6144.
92.,6144.
93.,6143.
94.,6144.
95.,6142.
96.,6143.
97.,6145.
98.,6146.
99.,6146.
100.,6145.
101.,6145.
102.,6146.
103.,6149.
104.,6149.
105.,6149.
106.,6149.
107.,6149.
108.,6150.
109.,6150.
110.,6150.
111.,6151.
112.,6152.
113.,6155.
114.,6154.
115.,6152.
116.,6154.
117.,6158.
118.,6159.
119.,6160.
120.,6161.
121.,6162.
122.,6163.
123.,6161.
124.,6159.
125.,6161.
126.,6160.
127.,6160.
128.,6159.
129.,6157.
130.,6160.
131.,6165.
132.,6165.
133.,6165.
134.,6166.
135.,6168.
136.,6172.
137.,6173.
138.,6173.
139.,6173.
140.,6175.
141.,6177.
142.,6176.
143.,6180.
144.,6180.
145.,6179.
146.,6178.
147.,6180.
148.,6184.
149.,6186.
150.,6186.
151.,6187.
152.,6187.
153.,6187.
154.,6186.
155.,6188.
156.,6188.
157.,6185.
158.,6188.
159.,6186.
160.,6187.
161.,6185.
162.,6186.
163.,6189.
164.,6188.
165.,6189.
166.,6188.
167.,6188.
168.,6190.
169.,6192.
170.,6193.
171.,6194.
172.,6195.
173.,6194.
174.,6197.
175.,6198.
176.,6198.
177.,6201.
178.,6205.
179.,6206.
180.,6208.
181.,6207.
182.,6208.
183.,6209.
184.,6217.
185.,6218.
186.,6218.
187.,6220.
188.,6223.
189.,6227.
190.,6227.
191.,6227.
192.,6224.
193.,6224.
194.,6223.
195.,6224.
196.,6223.
197.,6226.
198.,6228.
199.,6235.
200.,6233.
201.,6235.
202.,6231.
203.,6234.
204.,6231.
205.,6232.
206.,6234.
207.,6234.
208.,6235.
209.,6237.
210.,6236.
211.,6237.
212.,6239.
213.,6238.
214.,6240.
215.,6239.
216.,6240.
217.,6236.
218.,6239.
219.,6238.
220.,6233.
221.,6229.
222.,6229.
223.,6224.
224.,6225.
225.,6220.
226.,6216.
227.,6220.
228.,6216.
229.,6216.
230.,6213.
231.,6212.
232.,6212.
233.,6209.
234.,6211.
235.,6206.
236.,6203.
237.,6195.
238.,6194.
239.,6190.
240.,6185.
241.,6185.
242.,6182.
243.,6179.
244.,6174.
245.,6169.
246.,6168.
247.,6162.
248.,6163.
249.,6162.
250.,6158.
251.,6155.
252.,6156.
253.,6154.
254.,6154.
255.,6155.
256.,6153.
257.,6147.
258.,6143.
259.,6139.
260.,6136.
261.,6130.
262.,6129.
263.,6127.
264.,6119.
265.,6118.
266.,6108.
267.,6105.
268.,6104.
269.,6105.
270.,6099.
271.,6100.
272.,6101.
273.,6095.
274.,6096.
275.,6096.
276.,6096.
277.,6093.
278.,6090.
