TotalArea_x,TotalArea_y
0.,2457.
1.,2486.
2.,2510.
3.,2528.
4.,3008.
5.,3519.
6.,3934.
7.,4339.
8.,4823.
9.,5236.
10.,5608.
11.,5794.
12.,5902.
13.,5943.
14.,5989.
15.,6000.
16.,6011.
17.,6015.
18.,6020.
19.,6026.
20.,6028.
21.,6030.
22.,6031.
23.,6035.
24.,6039.
25.,6046.
26.,6047.
27.,6052.
28.,6059.
29.,6059.
30.,6058.
31.,6059.
32.,6056.
33.,6057.
34.,6063.
35.,6066.
36.,6066.
37.,6069.
38.,6066.
39.,6067.
40.,6068.
41.,6070.
42.,6069.
43.,6075.
44.,6077.
45.,6077.
46.,6077.
47.,6081.
48.,6079.
49.,6082.
50.,6082.
51.,6085.
52.,6087.
53.,6091.
54.,6090.
55.,6094.
56.,6095.
57.,6095.
58.,6095.
59.,6097.
60.,6098.
61.,6098.
62.,6099.
63.,6098.
64.,6098.
65.,6097.
66.,6097.
67.,6096.
68.,6098.
69.,6098.
70.,6097.
71.,6096.
72.,6098.
73.,6097.
74.,6099.
75.,6099.
76.,6098.
77.,6101.
78.,6104.
79.,6104.
80.,6105.
81.,6105.
82.,6105.
83.,6106.
84.,6107.
85.,6106.
86.,6107.
87.,6107.
88.,6106.
89.,6106.
90.,6106.
91.,6107.
92.,6107.
93.,6107.
94.,6106.
95.,6107.
96.,6107.
97.,6107.
98.,6107.
99.,6107.
100.,6108.
101.,6108.
102.,6108.
103.,6109.
104.,6110.
105.,6112.
106.,6113.
107.,6116.
108.,6115.
109.,6115.
110.,6124.
111.,6124.
112.,6124.
113.,6127.
114.,6127.
115.,6127.
116.,6128.
117.,6129.
118.,6130.
119.,6133.
120.,6135.
121.,6135.
122.,6135.
123.,6136.
124.,6138.
125.,6139.
126.,6139.
127.,6139.
128.,6142.
129.,6142.
130.,6144.
131.,6147.
132.,6146.
133.,6148.
134.,6149.
135.,6152.
136.,6151.
137.,6150.
138.,6150.
139.,6150.
140.,6150.
141.,6150.
142.,6150.
143.,6149.
144.,6150.
145.,6153.
146.,6156.
147.,6157.
148.,6158.
149.,6159.
150.,6161.
151.,6165.
152.,6166.
153.,6167.
154.,6171.
155.,6175.
156.,6178.
157.,6181.
158.,6182.
159.,6182.
160.,6183.
161.,6183.
162.,6185.
163.,6186.
164.,6185.
165.,6185.
166.,6185.
167.,6187.
168.,6185.
169.,6181.
170.,6186.
171.,6186.
172.,6186.
173.,6188.
174.,6190.
175.,6191.
176.,6192.
177.,6195.
178.,6199.
179.,6199.
180.,6201.
181.,6203.
182.,6207.
183.,6208.
184.,6205.
185.,6206.
186.,6207.
187.,6207.
188.,6207.
189.,6212.
190.,6212.
191.,6215.
192.,6220.
193.,6220.
194.,6223.
195.,6222.
196.,6223.
197.,6224.
198.,6225.
199.,6225.
200.,6225.
201.,6225.
202.,6224.
203.,6222.
204.,6223.
205.,6222.
206.,6222.
207.,6224.
208.,6224.
209.,6225.
210.,6225.
211.,6226.
212.,6228.
213.,6228.
214.,6226.
215.,6225.
216.,6226.
217.,6228.
218.,6226.
219.,6224.
220.,6225.
221.,6226.
222.,6226.
223.,6225.
224.,6226.
225.,6227.
226.,6227.
227.,6224.
228.,6222.
229.,6221.
230.,6220.
231.,6218.
232.,6223.
233.,6222.
234.,6222.
235.,6220.
236.,6221.
237.,6221.
238.,6222.
239.,6220.
240.,6221.
241.,6219.
242.,6218.
243.,6221.
244.,6220.
245.,6221.
246.,6222.
247.,6223.
248.,6224.
249.,6223.
250.,6227.
251.,6225.
252.,6225.
253.,6227.
254.,6226.
255.,6224.
256.,6226.
257.,6225.
258.,6226.
259.,6225.
260.,6229.
261.,6232.
262.,6231.
263.,6230.
264.,6230.
265.,6230.
266.,6231.
267.,6233.
268.,6233.
269.,6234.
270.,6233.
271.,6232.
272.,6231.
273.,6232.
274.,6229.
275.,6231.
276.,6235.
277.,6235.
278.,6237.
279.,6237.
280.,6237.
281.,6234.
282.,6238.
283.,6237.
284.,6235.
285.,6235.
286.,6236.
287.,6235.
288.,6236.
289.,6236.
290.,6235.
291.,6234.
292.,6233.
293.,6233.
294.,6233.
295.,6233.
296.,6234.
297.,6232.
298.,6231.
299.,6232.
300.,6234.
301.,6234.
302.,6232.
303.,6233.
304.,6233.
305.,6233.
306.,6233.
307.,6234.
308.,6236.
309.,6236.
310.,6235.
311.,6236.
312.,6238.
313.,6236.
314.,6235.
315.,6235.
316.,6234.
317.,6234.
318.,6235.
319.,6235.
320.,6235.
321.,6238.
322.,6240.
323.,6240.
324.,6239.
325.,6240.
326.,6239.
327.,6240.
328.,6241.
329.,6239.
330.,6238.
331.,6241.
332.,6241.
333.,6242.
334.,6241.
335.,6242.
336.,6240.
337.,6235.
338.,6238.
339.,6238.
340.,6237.
341.,6238.
342.,6238.
343.,6235.
344.,6235.
345.,6235.
346.,6233.
347.,6235.
348.,6235.
349.,6233.
350.,6232.
351.,6231.
352.,6231.
353.,6231.
354.,6230.
355.,6230.
356.,6229.
357.,6227.
358.,6226.
359.,6226.
360.,6228.
361.,6228.
362.,6230.
363.,6230.
364.,6230.
365.,6231.
366.,6231.
367.,6231.
368.,6232.
369.,6232.
370.,6234.
371.,6234.
372.,6234.
373.,6235.
374.,6235.
375.,6235.
376.,6235.
377.,6235.
378.,6234.
379.,6234.
380.,6234.
381.,6234.
382.,6233.
383.,6231.
384.,6231.
385.,6231.
386.,6232.
387.,6231.
388.,6233.
389.,6232.
390.,6233.
391.,6233.
392.,6233.
393.,6233.
394.,6232.
395.,6232.
396.,6234.
397.,6233.
398.,6232.
399.,6236.
400.,6237.
401.,6235.
402.,6236.
403.,6233.
404.,6234.
405.,6234.
406.,6233.
407.,6233.
408.,6234.
409.,6234.
410.,6235.
411.,6237.
412.,6236.
413.,6236.
414.,6237.
415.,6237.
416.,6238.
417.,6239.
418.,6240.
419.,6240.
420.,6239.
421.,6238.
422.,6239.
423.,6238.
424.,6240.
425.,6241.
426.,6241.
427.,6240.
428.,6240.
429.,6241.
430.,6241.
431.,6241.
432.,6242.
433.,6242.
434.,6241.
435.,6240.
436.,6242.
437.,6243.
438.,6243.
439.,6243.
440.,6242.
441.,6243.
442.,6242.
443.,6243.
444.,6242.
445.,6242.
446.,6244.
447.,6245.
448.,6247.
449.,6243.
450.,6244.
451.,6243.
452.,6244.
453.,6245.
454.,6245.
455.,6245.
456.,6245.
457.,6245.
458.,6245.
459.,6245.
460.,6245.
461.,6246.
462.,6248.
463.,6249.
464.,6250.
465.,6249.
466.,6248.
467.,6248.
468.,6247.
469.,6247.
470.,6250.
471.,6251.
472.,6251.
473.,6251.
474.,6252.
475.,6252.
476.,6252.
477.,6251.
478.,6253.
479.,6254.
480.,6253.
481.,6253.
482.,6252.
483.,6251.
484.,6254.
485.,6251.
486.,6250.
487.,6252.
488.,6250.
489.,6251.
490.,6254.
491.,6254.
492.,6254.
493.,6254.
494.,6254.
495.,6253.
496.,6251.
497.,6250.
498.,6253.
499.,6254.
500.,6255.
501.,6253.
502.,6252.
503.,6253.
504.,6254.
505.,6256.
506.,6256.
507.,6256.
508.,6258.
509.,6256.
510.,6256.
511.,6256.
512.,6255.
513.,6259.
514.,6261.
515.,6262.
516.,6264.
517.,6265.
518.,6265.
519.,6265.
520.,6268.
521.,6268.
522.,6269.
523.,6268.
524.,6269.
525.,6270.
526.,6269.
527.,6269.
528.,6269.
529.,6269.
530.,6269.
531.,6269.
532.,6269.
533.,6269.
534.,6271.
535.,6271.
536.,6269.
537.,6271.
538.,6270.
539.,6269.
540.,6269.
541.,6270.
542.,6270.
543.,6271.
544.,6270.
545.,6271.
546.,6270.
547.,6270.
548.,6273.
549.,6273.
550.,6271.
551.,6270.
552.,6269.
553.,6270.
554.,6270.
555.,6270.
556.,6270.
557.,6270.
558.,6270.
559.,6270.
560.,6270.
561.,6272.
562.,6271.
563.,6273.
564.,6272.
565.,6273.
566.,6273.
567.,6273.
568.,6273.
569.,6273.
570.,6274.
571.,6273.
572.,6273.
573.,6273.
574.,6273.
575.,6273.
576.,6274.
577.,6275.
578.,6274.
579.,6274.
580.,6275.
581.,6274.
582.,6276.
583.,6275.
584.,6274.
585.,6274.
586.,6274.
587.,6275.
588.,6276.
589.,6275.
590.,6275.
591.,6275.
592.,6275.
593.,6276.
594.,6275.
595.,6277.
596.,6278.
597.,6278.
598.,6278.
599.,6276.
600.,6276.
601.,6277.
602.,6278.
603.,6278.
604.,6278.
605.,6277.
606.,6277.
607.,6277.
608.,6277.
609.,6278.
610.,6278.
611.,6278.
612.,6279.
613.,6279.
614.,6278.
615.,6278.
616.,6279.
617.,6279.
618.,6278.
619.,6280.
620.,6280.
621.,6280.
622.,6281.
623.,6282.
624.,6282.
625.,6282.
626.,6282.
627.,6281.
628.,6281.
629.,6282.
630.,6283.
631.,6282.
632.,6281.
633.,6281.
634.,6281.
635.,6281.
636.,6281.
637.,6282.
638.,6283.
639.,6283.
640.,6284.
641.,6283.
642.,6283.
643.,6283.
644.,6284.
645.,6285.
646.,6286.
647.,6288.
648.,6288.
649.,6289.
650.,6288.
651.,6289.
652.,6288.
653.,6288.
654.,6287.
655.,6287.
656.,6287.
657.,6288.
658.,6287.
659.,6286.
660.,6286.
661.,6288.
662.,6289.
663.,6289.
664.,6290.
665.,6290.
666.,6291.
667.,6291.
668.,6292.
669.,6292.
670.,6293.
671.,6294.
672.,6294.
673.,6295.
674.,6296.
675.,6295.
676.,6297.
677.,6300.
678.,6300.
679.,6301.
680.,6301.
681.,6303.
682.,6305.
683.,6305.
684.,6305.
685.,6306.
686.,6306.
687.,6306.
688.,6306.
689.,6306.
690.,6308.
691.,6307.
692.,6310.
693.,6310.
694.,6311.
695.,6311.
696.,6311.
697.,6312.
698.,6312.
699.,6311.
700.,6313.
701.,6314.
702.,6315.
703.,6316.
704.,6317.
705.,6318.
706.,6319.
707.,6322.
708.,6324.
709.,6324.
710.,6326.
711.,6327.
712.,6330.
713.,6331.
714.,6330.
715.,6330.
716.,6333.
717.,6336.
718.,6339.
719.,6342.
720.,6344.
721.,6343.
722.,6345.
723.,6346.
724.,6348.
725.,6348.
726.,6348.
727.,6351.
728.,6351.
729.,6351.
730.,6352.
731.,6353.
732.,6355.
733.,6357.
734.,6357.
735.,6358.
736.,6360.
737.,6361.
738.,6361.
739.,6362.
740.,6363.
741.,6365.
742.,6366.
743.,6369.
744.,6371.
745.,6373.
746.,6374.
747.,6375.
748.,6375.
749.,6376.
750.,6376.
751.,6380.
752.,6380.
753.,6381.
754.,6383.
755.,6385.
756.,6389.
757.,6390.
758.,6390.
759.,6391.
760.,6391.
761.,6390.
762.,6393.
763.,6394.
764.,6393.
765.,6394.
766.,6393.
767.,6393.
768.,6393.
769.,6394.
770.,6394.
771.,6393.
772.,6393.
773.,6393.
774.,6393.
775.,6393.
776.,6393.
777.,6395.
778.,6395.
779.,6396.
780.,6396.
781.,6396.
782.,6396.
783.,6396.
784.,6396.
785.,6396.
786.,6396.
787.,6397.
788.,6396.
789.,6396.
790.,6396.
791.,6396.
792.,6396.
793.,6396.
794.,6396.
795.,6395.
796.,6395.
797.,6397.
798.,6398.
799.,6398.
800.,6400.
801.,6398.
802.,6398.
803.,6399.
804.,6398.
805.,6398.
806.,6399.
807.,6399.
808.,6398.
809.,6397.
810.,6397.
811.,6397.
812.,6399.
813.,6399.
814.,6399.
815.,6399.
816.,6401.
817.,6400.
818.,6400.
819.,6400.
820.,6400.
821.,6402.
822.,6401.
823.,6401.
824.,6401.
825.,6401.
826.,6401.
827.,6403.
828.,6403.
829.,6404.
830.,6405.
831.,6405.
832.,6405.
833.,6404.
834.,6404.
835.,6404.
836.,6403.
837.,6405.
838.,6405.
839.,6405.
840.,6405.
841.,6405.
842.,6405.
843.,6405.
844.,6406.
845.,6407.
846.,6407.
847.,6407.
848.,6407.
849.,6407.
850.,6408.
851.,6409.
852.,6409.
853.,6410.
854.,6411.
855.,6411.
856.,6411.
857.,6409.
858.,6411.
859.,6414.
860.,6414.
861.,6415.
862.,6416.
863.,6416.
864.,6416.
865.,6416.
866.,6416.
867.,6416.
868.,6417.
869.,6417.
870.,6417.
871.,6417.
872.,6416.
873.,6419.
874.,6421.
875.,6422.
876.,6422.
877.,6422.
878.,6422.
879.,6423.
880.,6424.
881.,6424.
882.,6426.
883.,6426.
884.,6426.
885.,6429.
886.,6430.
887.,6430.
888.,6431.
889.,6431.
890.,6431.
891.,6431.
892.,6431.
893.,6430.
894.,6432.
895.,6432.
896.,6433.
897.,6433.
898.,6432.
899.,6434.
900.,6434.
901.,6436.
902.,6435.
903.,6437.
904.,6437.
905.,6438.
906.,6438.
907.,6437.
908.,6438.
909.,6439.
910.,6439.
911.,6440.
912.,6440.
913.,6442.
914.,6442.
915.,6442.
916.,6441.
917.,6440.
918.,6440.
919.,6440.
920.,6441.
921.,6439.
922.,6440.
923.,6441.
924.,6441.
925.,6441.
926.,6441.
927.,6442.
928.,6443.
929.,6444.
930.,6444.
931.,6445.
932.,6445.
933.,6445.
934.,6445.
935.,6445.
936.,6445.
937.,6445.
938.,6445.
939.,6445.
940.,6446.
941.,6446.
942.,6445.
943.,6445.
944.,6446.
945.,6446.
946.,6447.
947.,6447.
948.,6447.
949.,6447.
950.,6447.
951.,6447.
952.,6447.
953.,6447.
954.,6447.
955.,6447.
956.,6447.
957.,6446.
958.,6446.
959.,6446.
960.,6446.
961.,6447.
962.,6448.
963.,6448.
964.,6448.
965.,6449.
966.,6449.
967.,6449.
968.,6449.
969.,6449.
970.,6451.
971.,6451.
972.,6451.
973.,6451.
974.,6451.
975.,6451.
976.,6452.
977.,6452.
978.,6452.
979.,6452.
980.,6452.
981.,6453.
982.,6454.
983.,6454.
984.,6456.
985.,6457.
986.,6460.
987.,6462.
988.,6461.
989.,6464.
990.,6464.
991.,6463.
992.,6462.
993.,6462.
994.,6463.
995.,6464.
996.,6467.
997.,6470.
998.,6475.
999.,6477.
1000.,6474.
1001.,6475.
1002.,6472.
1003.,6475.
1004.,6474.
1005.,6474.
1006.,6475.
1007.,6476.
1008.,6476.
1009.,6475.
1010.,6475.
1011.,6477.
1012.,6477.
1013.,6477.
1014.,6478.
1015.,6478.
1016.,6479.
1017.,6481.
1018.,6484.
1019.,6485.
1020.,6487.
1021.,6486.
1022.,6487.
1023.,6488.
1024.,6488.
1025.,6488.
1026.,6488.
1027.,6489.
1028.,6489.
1029.,6489.
1030.,6492.
1031.,6493.
1032.,6497.
1033.,6497.
1034.,6497.
1035.,6498.
1036.,6501.
1037.,6500.
1038.,6500.
1039.,6503.
1040.,6504.
1041.,6504.
1042.,6505.
1043.,6507.
1044.,6506.
