TotalArea_x,TotalArea_y
0.,2457.
1.,2472.
2.,2493.
3.,2518.
4.,2991.
5.,3564.
6.,3942.
7.,4342.
8.,4788.
9.,5229.
10.,5622.
11.,5836.
12.,5937.
13.,5987.
14.,6031.
15.,6059.
16.,6077.
17.,6088.
18.,6092.
19.,6091.
20.,6096.
21.,6094.
22.,6093.
23.,6086.
24.,6080.
25.,6089.
26.,6091.
27.,6089.
28.,6094.
29.,6092.
30.,6092.
31.,6094.
32.,6093.
33.,6096.
34.,6095.
35.,6097.
36.,6096.
37.,6098.
38.,6099.
39.,6101.
40.,6102.
41.,6106.
42.,6108.
43.,6109.
44.,6107.
45.,6108.
46.,6106.
47.,6100.
48.,6105.
49.,6107.
50.,6113.
51.,6109.
52.,6108.
53.,6112.
54.,6112.
55.,6113.
56.,6110.
57.,6113.
58.,6112.
59.,6113.
60.,6116.
61.,6118.
62.,6117.
63.,6117.
64.,6116.
65.,6119.
66.,6118.
67.,6118.
68.,6121.
69.,6125.
70.,6129.
71.,6130.
72.,6132.
73.,6133.
74.,6136.
75.,6136.
76.,6139.
77.,6140.
78.,6140.
79.,6138.
80.,6138.
81.,6138.
82.,6136.
83.,6137.
84.,6137.
85.,6141.
86.,6138.
87.,6141.
88.,6140.
89.,6142.
90.,6146.
91.,6147.
92.,6145.
93.,6145.
94.,6147.
95.,6149.
96.,6151.
97.,6155.
98.,6161.
99.,6165.
100.,6166.
101.,6163.
102.,6167.
103.,6166.
104.,6166.
105.,6165.
106.,6168.
107.,6166.
108.,6167.
109.,6166.
110.,6166.
111.,6171.
112.,6173.
113.,6170.
114.,6174.
115.,6175.
116.,6176.
117.,6181.
118.,6184.
119.,6181.
120.,6183.
121.,6187.
122.,6186.
123.,6186.
124.,6186.
125.,6189.
126.,6189.
127.,6186.
128.,6186.
129.,6187.
130.,6188.
131.,6187.
132.,6181.
133.,6183.
134.,6183.
135.,6182.
136.,6180.
137.,6186.
138.,6190.
139.,6189.
140.,6190.
141.,6187.
142.,6190.
143.,6194.
144.,6195.
145.,6196.
146.,6200.
147.,6203.
148.,6202.
149.,6206.
150.,6210.
151.,6208.
152.,6214.
153.,6218.
154.,6222.
155.,6225.
156.,6227.
157.,6228.
158.,6232.
159.,6235.
160.,6235.
161.,6236.
162.,6238.
163.,6240.
164.,6241.
165.,6241.
166.,6240.
167.,6241.
168.,6240.
169.,6241.
170.,6240.
171.,6243.
172.,6245.
173.,6243.
174.,6244.
175.,6245.
176.,6245.
177.,6246.
178.,6247.
179.,6247.
180.,6249.
181.,6251.
182.,6248.
183.,6250.
184.,6254.
185.,6256.
186.,6257.
187.,6257.
188.,6257.
189.,6257.
190.,6255.
191.,6254.
192.,6259.
193.,6258.
194.,6257.
195.,6258.
196.,6260.
197.,6261.
198.,6264.
199.,6264.
200.,6263.
201.,6263.
202.,6263.
203.,6263.
204.,6263.
205.,6263.
206.,6264.
207.,6268.
208.,6269.
209.,6270.
210.,6271.
211.,6269.
212.,6266.
213.,6265.
214.,6267.
215.,6264.
216.,6265.
217.,6262.
218.,6260.
219.,6259.
220.,6259.
221.,6259.
222.,6253.
223.,6246.
224.,6242.
225.,6241.
226.,6236.
227.,6232.
228.,6229.
229.,6224.
230.,6221.
231.,6216.
232.,6215.
233.,6211.
234.,6215.
235.,6214.
236.,6216.
237.,6213.
238.,6212.
239.,6209.
240.,6210.
241.,6209.
242.,6210.
243.,6210.
244.,6203.
245.,6203.
246.,6204.
247.,6202.
248.,6199.
249.,6200.
250.,6194.
251.,6184.
252.,6182.
253.,6180.
254.,6180.
255.,6177.
256.,6175.
257.,6173.
258.,6170.
259.,6168.
260.,6168.
261.,6164.
262.,6163.
263.,6159.
264.,6156.
265.,6156.
266.,6155.
267.,6151.
268.,6153.
269.,6148.
270.,6151.
271.,6151.
272.,6150.
273.,6147.
274.,6147.
275.,6150.
276.,6148.
277.,6147.
278.,6151.
279.,6147.
280.,6148.
281.,6150.
282.,6150.
283.,6150.
284.,6154.
285.,6151.
286.,6149.
287.,6147.
288.,6144.
289.,6142.
290.,6143.
291.,6140.
292.,6140.
293.,6135.
294.,6134.
295.,6134.
296.,6135.
297.,6133.
298.,6134.
299.,6130.
300.,6132.
301.,6131.
302.,6131.
303.,6133.
304.,6135.
305.,6133.
306.,6140.
307.,6143.
308.,6142.
309.,6141.
310.,6144.
311.,6148.
312.,6147.
313.,6147.
314.,6146.
315.,6144.
316.,6147.
317.,6148.
318.,6147.
319.,6147.
320.,6146.
321.,6148.
322.,6150.
323.,6148.
324.,6148.
325.,6156.
326.,6157.
327.,6158.
328.,6165.
329.,6162.
330.,6162.
331.,6164.
332.,6170.
333.,6169.
334.,6168.
335.,6170.
336.,6171.
337.,6172.
338.,6170.
339.,6171.
340.,6169.
341.,6170.
342.,6170.
343.,6170.
344.,6173.
345.,6173.
346.,6179.
347.,6181.
348.,6184.
349.,6184.
350.,6184.
351.,6187.
352.,6188.
353.,6191.
354.,6194.
355.,6193.
356.,6195.
357.,6193.
358.,6189.
359.,6190.
360.,6188.
361.,6184.
362.,6188.
363.,6191.
364.,6194.
365.,6199.
366.,6195.
367.,6200.
368.,6203.
369.,6202.
370.,6201.
371.,6201.
372.,6206.
373.,6206.
374.,6209.
375.,6213.
376.,6213.
377.,6211.
378.,6212.
379.,6212.
380.,6211.
381.,6212.
382.,6217.
383.,6217.
384.,6216.
385.,6220.
386.,6220.
387.,6219.
388.,6226.
389.,6225.
390.,6222.
391.,6223.
392.,6225.
393.,6223.
394.,6224.
395.,6223.
396.,6224.
397.,6227.
398.,6229.
399.,6229.
400.,6237.
401.,6234.
402.,6235.
403.,6234.
404.,6231.
405.,6231.
406.,6229.
407.,6229.
408.,6230.
409.,6228.
410.,6227.
411.,6226.
412.,6228.
413.,6234.
414.,6232.
415.,6235.
416.,6238.
417.,6244.
418.,6247.
419.,6244.
420.,6247.
421.,6247.
422.,6246.
423.,6246.
424.,6242.
425.,6239.
426.,6235.
427.,6237.
428.,6235.
429.,6237.
430.,6232.
431.,6234.
432.,6239.
433.,6236.
434.,6236.
435.,6237.
436.,6239.
437.,6242.
438.,6242.
439.,6246.
440.,6248.
441.,6250.
442.,6251.
443.,6251.
444.,6252.
445.,6253.
446.,6254.
447.,6256.
448.,6259.
449.,6263.
450.,6263.
451.,6261.
452.,6263.
453.,6265.
454.,6267.
455.,6273.
456.,6271.
457.,6269.
458.,6268.
459.,6269.
460.,6269.
461.,6271.
462.,6270.
463.,6268.
464.,6271.
465.,6271.
466.,6276.
467.,6276.
468.,6278.
469.,6278.
470.,6280.
471.,6279.
472.,6278.
473.,6276.
474.,6277.
475.,6278.
476.,6274.
477.,6275.
478.,6273.
479.,6272.
480.,6272.
481.,6274.
482.,6281.
483.,6278.
484.,6280.
485.,6281.
486.,6283.
487.,6285.
488.,6288.
489.,6287.
490.,6291.
491.,6294.
492.,6295.
493.,6295.
494.,6299.
495.,6300.
496.,6298.
497.,6304.
498.,6301.
499.,6305.
500.,6300.
501.,6299.
502.,6304.
503.,6304.
504.,6311.
505.,6313.
506.,6311.
507.,6312.
508.,6313.
509.,6314.
510.,6318.
511.,6317.
512.,6321.
513.,6321.
514.,6316.
515.,6317.
516.,6319.
517.,6324.
518.,6325.
519.,6329.
520.,6329.
521.,6332.
522.,6335.
523.,6334.
524.,6332.
525.,6333.
526.,6328.
527.,6330.
528.,6332.
529.,6331.
530.,6335.
531.,6336.
532.,6339.
533.,6338.
534.,6339.
535.,6340.
536.,6344.
537.,6341.
538.,6345.
539.,6349.
540.,6348.
541.,6349.
542.,6351.
543.,6352.
544.,6350.
545.,6353.
546.,6350.
547.,6353.
548.,6354.
549.,6355.
550.,6356.
551.,6357.
552.,6358.
553.,6357.
554.,6358.
555.,6358.
556.,6359.
557.,6359.
558.,6359.
559.,6358.
560.,6360.
561.,6362.
562.,6359.
563.,6362.
564.,6363.
565.,6363.
566.,6362.
567.,6360.
568.,6364.
569.,6363.
570.,6361.
571.,6359.
572.,6360.
573.,6360.
574.,6358.
575.,6361.
576.,6363.
577.,6363.
578.,6364.
579.,6364.
580.,6367.
581.,6366.
582.,6367.
583.,6367.
584.,6368.
585.,6367.
586.,6369.
587.,6370.
588.,6371.
589.,6372.
590.,6371.
591.,6373.
592.,6373.
593.,6374.
594.,6375.
595.,6374.
596.,6373.
597.,6373.
598.,6374.
599.,6374.
600.,6375.
601.,6377.
602.,6376.
603.,6377.
604.,6378.
605.,6379.
606.,6379.
607.,6379.
608.,6381.
609.,6381.
610.,6381.
611.,6380.
612.,6380.
613.,6380.
614.,6380.
615.,6380.
616.,6382.
617.,6381.
618.,6381.
619.,6381.
620.,6382.
621.,6381.
622.,6383.
623.,6384.
624.,6384.
625.,6385.
626.,6386.
627.,6388.
628.,6387.
629.,6389.
630.,6391.
631.,6392.
632.,6394.
633.,6395.
634.,6398.
635.,6397.
636.,6398.
637.,6399.
638.,6400.
639.,6401.
640.,6401.
641.,6402.
642.,6402.
643.,6404.
644.,6404.
645.,6406.
646.,6407.
647.,6408.
648.,6408.
649.,6409.
650.,6410.
651.,6410.
652.,6408.
653.,6409.
654.,6410.
655.,6409.
656.,6409.
657.,6409.
658.,6409.
659.,6409.
660.,6409.
661.,6410.
662.,6409.
663.,6410.
664.,6410.
665.,6411.
666.,6413.
667.,6412.
668.,6408.
669.,6409.
670.,6409.
671.,6406.
672.,6406.
673.,6407.
674.,6407.
675.,6409.
676.,6407.
677.,6406.
678.,6407.
679.,6407.
680.,6406.
681.,6407.
682.,6408.
683.,6409.
684.,6410.
685.,6410.
686.,6408.
687.,6411.
688.,6411.
689.,6410.
690.,6410.
691.,6413.
692.,6413.
693.,6412.
694.,6412.
695.,6412.
696.,6411.
697.,6411.
698.,6411.
699.,6410.
700.,6410.
701.,6411.
702.,6411.
703.,6414.
704.,6412.
705.,6414.
706.,6413.
707.,6413.
708.,6415.
709.,6414.
710.,6415.
711.,6415.
712.,6414.
713.,6412.
714.,6410.
715.,6410.
716.,6404.
717.,6404.
718.,6406.
719.,6406.
720.,6412.
721.,6409.
722.,6414.
723.,6414.
724.,6415.
725.,6416.
726.,6417.
727.,6422.
728.,6423.
729.,6421.
730.,6420.
731.,6421.
732.,6424.
733.,6427.
734.,6426.
735.,6427.
736.,6430.
737.,6430.
738.,6430.
739.,6430.
740.,6431.
741.,6432.
742.,6432.
743.,6431.
744.,6436.
745.,6438.
746.,6440.
747.,6440.
748.,6443.
749.,6443.
750.,6444.
751.,6445.
752.,6444.
753.,6445.
754.,6445.
755.,6447.
756.,6451.
757.,6450.
758.,6452.
759.,6456.
760.,6458.
761.,6458.
762.,6460.
763.,6461.
764.,6460.
765.,6459.
766.,6459.
767.,6459.
768.,6460.
769.,6464.
770.,6464.
771.,6464.
772.,6465.
773.,6468.
774.,6468.
775.,6472.
776.,6473.
777.,6474.
778.,6474.
779.,6476.
780.,6476.
781.,6472.
782.,6474.
783.,6476.
784.,6478.
785.,6477.
786.,6477.
787.,6479.
788.,6480.
789.,6481.
790.,6480.
791.,6481.
792.,6483.
793.,6482.
794.,6482.
795.,6483.
796.,6484.
797.,6482.
798.,6482.
799.,6482.
800.,6483.
801.,6483.
802.,6484.
803.,6484.
804.,6485.
805.,6487.
806.,6487.
807.,6487.
808.,6486.
809.,6485.
810.,6486.
811.,6486.
812.,6487.
813.,6490.
814.,6492.
815.,6491.
816.,6491.
817.,6491.
818.,6489.
819.,6489.
820.,6489.
821.,6488.
822.,6492.
823.,6492.
824.,6490.
825.,6491.
826.,6493.
827.,6492.
828.,6493.
829.,6492.
830.,6494.
831.,6494.
832.,6494.
833.,6492.
834.,6491.
835.,6492.
836.,6495.
837.,6491.
838.,6491.
839.,6491.
840.,6490.
841.,6493.
842.,6494.
843.,6494.
844.,6493.
845.,6491.
846.,6490.
847.,6484.
848.,6485.
849.,6488.
850.,6484.
851.,6484.
852.,6485.
853.,6485.
854.,6486.
855.,6484.
856.,6483.
857.,6485.
858.,6485.
859.,6485.
860.,6488.
861.,6488.
862.,6488.
863.,6491.
864.,6490.
865.,6491.
866.,6492.
867.,6493.
868.,6493.
869.,6492.
870.,6492.
871.,6492.
872.,6492.
