TotalArea_x,TotalArea_y
0.,2457.
1.,2475.
2.,2499.
3.,2522.
4.,2982.
5.,3494.
6.,3882.
7.,4313.
8.,4807.
9.,5241.
10.,5658.
11.,5840.
12.,5947.
13.,5998.
14.,6050.
15.,6083.
16.,6077.
17.,6087.
18.,6091.
19.,6098.
20.,6100.
21.,6105.
22.,6106.
23.,6109.
24.,6104.
25.,6101.
26.,6102.
27.,6105.
28.,6112.
29.,6111.
30.,6112.
31.,6109.
32.,6111.
33.,6108.
34.,6107.
35.,6109.
36.,6108.
37.,6110.
38.,6104.
39.,6100.
40.,6106.
41.,6109.
42.,6112.
43.,6115.
44.,6119.
45.,6120.
46.,6116.
47.,6115.
48.,6117.
49.,6117.
50.,6120.
51.,6123.
52.,6120.
53.,6121.
54.,6121.
55.,6122.
56.,6123.
57.,6125.
58.,6123.
59.,6127.
60.,6127.
61.,6125.
62.,6127.
63.,6129.
64.,6128.
65.,6127.
66.,6128.
67.,6128.
68.,6129.
69.,6131.
70.,6133.
71.,6136.
72.,6136.
73.,6138.
74.,6140.
75.,6140.
76.,6139.
77.,6139.
78.,6141.
79.,6142.
80.,6141.
81.,6139.
82.,6139.
83.,6139.
84.,6140.
85.,6141.
86.,6143.
87.,6143.
88.,6144.
89.,6145.
90.,6146.
91.,6146.
92.,6146.
93.,6148.
94.,6150.
95.,6150.
96.,6153.
97.,6153.
98.,6152.
99.,6153.
100.,6157.
101.,6157.
102.,6157.
103.,6158.
104.,6159.
105.,6158.
106.,6159.
107.,6159.
108.,6158.
109.,6158.
110.,6158.
111.,6158.
112.,6156.
113.,6156.
114.,6157.
115.,6157.
116.,6161.
117.,6163.
118.,6163.
119.,6163.
120.,6164.
121.,6164.
122.,6163.
123.,6166.
124.,6160.
125.,6163.
126.,6164.
127.,6163.
128.,6163.
129.,6163.
130.,6168.
131.,6168.
132.,6168.
133.,6171.
134.,6171.
135.,6170.
136.,6175.
137.,6172.
138.,6172.
139.,6173.
140.,6172.
141.,6171.
142.,6173.
143.,6174.
144.,6173.
145.,6175.
146.,6175.
147.,6176.
148.,6176.
149.,6177.
150.,6178.
151.,6180.
152.,6178.
153.,6180.
154.,6178.
155.,6182.
156.,6186.
157.,6188.
158.,6189.
159.,6190.
160.,6191.
161.,6188.
162.,6191.
163.,6193.
164.,6194.
165.,6199.
166.,6200.
167.,6199.
168.,6200.
169.,6200.
170.,6204.
171.,6205.
172.,6207.
173.,6209.
174.,6207.
175.,6209.
176.,6213.
177.,6213.
178.,6212.
179.,6216.
180.,6219.
181.,6219.
182.,6222.
183.,6222.
184.,6221.
185.,6221.
186.,6223.
187.,6222.
188.,6224.
189.,6226.
190.,6226.
191.,6227.
192.,6227.
193.,6228.
194.,6230.
195.,6233.
196.,6238.
197.,6235.
198.,6237.
199.,6235.
200.,6236.
201.,6237.
202.,6237.
203.,6236.
204.,6237.
205.,6237.
206.,6237.
207.,6235.
208.,6236.
209.,6230.
210.,6228.
211.,6226.
212.,6227.
213.,6230.
214.,6230.
215.,6229.
216.,6229.
217.,6225.
218.,6224.
219.,6224.
220.,6224.
221.,6224.
222.,6223.
223.,6225.
224.,6224.
225.,6225.
226.,6223.
227.,6222.
228.,6222.
229.,6223.
230.,6224.
231.,6226.
232.,6224.
233.,6224.
234.,6223.
235.,6221.
236.,6217.
237.,6215.
238.,6214.
239.,6209.
240.,6211.
241.,6211.
242.,6211.
243.,6211.
244.,6208.
245.,6208.
246.,6207.
247.,6207.
248.,6207.
249.,6206.
250.,6206.
251.,6205.
252.,6206.
253.,6204.
254.,6205.
255.,6205.
256.,6202.
257.,6203.
258.,6202.
259.,6200.
260.,6196.
261.,6194.
262.,6192.
263.,6191.
264.,6191.
265.,6192.
266.,6187.
267.,6186.
268.,6180.
269.,6178.
270.,6178.
271.,6177.
272.,6173.
273.,6172.
274.,6172.
275.,6170.
276.,6170.
277.,6172.
278.,6170.
