TotalArea_x,TotalArea_y
0.,2457.
1.,2479.
2.,2505.
3.,2531.
4.,2987.
5.,3537.
6.,3938.
7.,4375.
8.,4848.
9.,5277.
10.,5673.
11.,5892.
12.,5972.
13.,6010.
14.,6062.
15.,6086.
16.,6098.
17.,6099.
18.,6106.
19.,6120.
20.,6118.
21.,6125.
22.,6133.
23.,6139.
24.,6136.
25.,6132.
26.,6139.
27.,6139.
28.,6138.
29.,6138.
30.,6137.
31.,6142.
32.,6143.
33.,6143.
34.,6142.
35.,6142.
36.,6147.
37.,6144.
38.,6141.
39.,6144.
40.,6147.
41.,6148.
42.,6145.
43.,6144.
44.,6144.
45.,6144.
46.,6146.
47.,6146.
48.,6144.
49.,6148.
50.,6149.
51.,6147.
52.,6148.
53.,6151.
54.,6150.
55.,6152.
56.,6153.
57.,6151.
58.,6149.
59.,6150.
60.,6151.
61.,6152.
62.,6152.
63.,6154.
64.,6155.
65.,6154.
66.,6151.
67.,6155.
68.,6157.
69.,6159.
70.,6158.
71.,6156.
72.,6154.
73.,6155.
74.,6156.
75.,6157.
76.,6158.
77.,6159.
78.,6162.
79.,6161.
80.,6163.
81.,6162.
82.,6162.
83.,6161.
84.,6161.
85.,6163.
86.,6165.
87.,6166.
88.,6166.
89.,6163.
90.,6166.
91.,6168.
92.,6165.
93.,6165.
94.,6163.
95.,6166.
96.,6168.
97.,6167.
98.,6167.
99.,6169.
100.,6168.
101.,6173.
102.,6174.
103.,6175.
104.,6176.
105.,6175.
106.,6180.
107.,6181.
108.,6182.
109.,6183.
110.,6182.
111.,6182.
112.,6181.
113.,6182.
114.,6183.
115.,6180.
116.,6183.
117.,6186.
118.,6185.
119.,6185.
120.,6183.
121.,6182.
122.,6181.
123.,6182.
124.,6183.
125.,6184.
126.,6185.
127.,6184.
128.,6184.
129.,6185.
130.,6187.
131.,6188.
132.,6190.
133.,6189.
134.,6189.
135.,6190.
136.,6191.
137.,6190.
138.,6190.
139.,6192.
140.,6193.
141.,6194.
142.,6195.
143.,6195.
144.,6196.
145.,6197.
146.,6198.
147.,6197.
148.,6197.
149.,6198.
150.,6198.
151.,6199.
152.,6200.
153.,6200.
154.,6200.
155.,6201.
156.,6201.
157.,6203.
158.,6203.
159.,6205.
160.,6204.
161.,6203.
162.,6203.
163.,6204.
164.,6205.
165.,6205.
166.,6208.
167.,6208.
168.,6208.
169.,6210.
170.,6211.
171.,6210.
172.,6210.
173.,6211.
174.,6211.
175.,6212.
176.,6213.
177.,6213.
178.,6213.
179.,6211.
180.,6212.
181.,6213.
182.,6216.
183.,6218.
184.,6218.
185.,6223.
186.,6222.
187.,6220.
188.,6223.
189.,6225.
190.,6227.
191.,6228.
192.,6230.
193.,6229.
194.,6227.
195.,6227.
196.,6228.
197.,6226.
198.,6226.
199.,6227.
200.,6228.
201.,6229.
202.,6227.
203.,6227.
204.,6227.
205.,6229.
206.,6231.
207.,6233.
208.,6235.
209.,6238.
210.,6235.
211.,6234.
212.,6235.
213.,6235.
214.,6236.
215.,6237.
216.,6236.
217.,6236.
218.,6236.
219.,6238.
220.,6237.
221.,6238.
222.,6238.
223.,6239.
224.,6236.
225.,6235.
226.,6237.
227.,6238.
228.,6240.
229.,6240.
230.,6242.
231.,6241.
232.,6243.
233.,6244.
234.,6244.
235.,6246.
236.,6246.
237.,6245.
238.,6245.
239.,6247.
240.,6252.
241.,6253.
242.,6254.
243.,6255.
244.,6258.
245.,6258.
246.,6261.
247.,6261.
248.,6262.
249.,6266.
250.,6267.
251.,6267.
252.,6266.
253.,6265.
254.,6265.
255.,6265.
256.,6265.
257.,6265.
258.,6269.
259.,6271.
260.,6272.
261.,6270.
262.,6272.
263.,6271.
264.,6271.
265.,6272.
266.,6273.
267.,6274.
268.,6276.
269.,6277.
270.,6277.
271.,6280.
272.,6282.
273.,6286.
274.,6287.
275.,6289.
276.,6290.
277.,6290.
278.,6290.
279.,6290.
280.,6290.
281.,6290.
282.,6292.
283.,6293.
284.,6293.
285.,6293.
286.,6294.
287.,6294.
288.,6297.
289.,6297.
290.,6297.
291.,6297.
292.,6298.
293.,6298.
294.,6299.
295.,6299.
296.,6299.
297.,6300.
298.,6302.
299.,6302.
300.,6302.
301.,6302.
302.,6301.
303.,6302.
304.,6304.
305.,6304.
306.,6306.
307.,6307.
308.,6308.
309.,6308.
310.,6309.
311.,6310.
312.,6309.
313.,6309.
314.,6312.
315.,6315.
316.,6316.
317.,6317.
318.,6317.
319.,6318.
320.,6319.
321.,6319.
322.,6319.
323.,6321.
324.,6321.
325.,6324.
326.,6324.
327.,6325.
328.,6325.
329.,6326.
330.,6327.
331.,6329.
332.,6329.
333.,6330.
334.,6330.
335.,6329.
336.,6329.
337.,6330.
338.,6331.
339.,6332.
340.,6332.
341.,6332.
342.,6331.
343.,6333.
344.,6333.
345.,6332.
346.,6335.
347.,6336.
348.,6336.
349.,6337.
350.,6337.
351.,6337.
352.,6337.
353.,6337.
354.,6337.
355.,6340.
356.,6341.
357.,6343.
358.,6345.
359.,6346.
360.,6347.
361.,6347.
362.,6345.
363.,6345.
364.,6348.
365.,6345.
366.,6344.
367.,6346.
368.,6347.
369.,6347.
370.,6347.
371.,6348.
372.,6350.
373.,6349.
374.,6351.
375.,6350.
376.,6351.
377.,6352.
378.,6350.
379.,6353.
380.,6353.
381.,6358.
382.,6359.
383.,6360.
384.,6360.
385.,6360.
386.,6361.
387.,6361.
388.,6359.
389.,6358.
390.,6357.
391.,6357.
392.,6359.
393.,6357.
394.,6358.
395.,6358.
396.,6358.
397.,6358.
398.,6360.
399.,6361.
400.,6361.
401.,6363.
402.,6363.
403.,6363.
404.,6362.
405.,6362.
406.,6364.
407.,6365.
408.,6367.
409.,6366.
410.,6367.
411.,6367.
412.,6366.
413.,6364.
414.,6365.
415.,6365.
416.,6364.
417.,6367.
418.,6370.
419.,6370.
420.,6370.
421.,6369.
422.,6372.
423.,6377.
424.,6379.
425.,6379.
426.,6381.
427.,6381.
428.,6378.
429.,6380.
430.,6382.
431.,6382.
432.,6383.
433.,6389.
434.,6389.
435.,6390.
436.,6393.
437.,6394.
438.,6396.
439.,6398.
440.,6399.
441.,6402.
442.,6403.
443.,6403.
444.,6402.
445.,6402.
446.,6402.
447.,6402.
448.,6403.
449.,6402.
450.,6402.
451.,6404.
452.,6404.
453.,6404.
454.,6403.
455.,6404.
456.,6405.
457.,6406.
458.,6407.
459.,6408.
460.,6407.
461.,6408.
462.,6408.
463.,6409.
464.,6409.
465.,6411.
466.,6414.
467.,6416.
468.,6417.
469.,6418.
470.,6418.
471.,6418.
472.,6418.
473.,6420.
474.,6422.
475.,6420.
476.,6422.
477.,6422.
478.,6425.
479.,6426.
480.,6425.
481.,6428.
482.,6433.
483.,6434.
484.,6436.
485.,6437.
486.,6437.
487.,6439.
488.,6438.
489.,6437.
490.,6437.
491.,6437.
492.,6437.
493.,6438.
