TotalArea_x,TotalArea_y
0.,2457.
1.,2482.
2.,2503.
3.,2521.
4.,3001.
5.,3498.
6.,3892.
7.,4321.
8.,4792.
9.,5244.
10.,5670.
11.,5860.
12.,5962.
13.,6019.
14.,6045.
15.,6079.
16.,6092.
17.,6093.
18.,6102.
19.,6101.
20.,6096.
21.,6109.
22.,6117.
23.,6121.
24.,6119.
25.,6127.
26.,6126.
27.,6128.
28.,6128.
29.,6129.
30.,6125.
31.,6122.
32.,6122.
33.,6123.
34.,6123.
35.,6124.
36.,6126.
37.,6127.
38.,6126.
39.,6128.
40.,6130.
41.,6132.
42.,6133.
43.,6133.
44.,6132.
45.,6134.
46.,6134.
47.,6135.
48.,6137.
49.,6138.
50.,6139.
51.,6139.
52.,6141.
53.,6141.
54.,6140.
55.,6141.
56.,6144.
57.,6147.
58.,6151.
59.,6150.
60.,6149.
61.,6152.
62.,6153.
63.,6156.
64.,6157.
65.,6161.
66.,6165.
67.,6164.
68.,6166.
69.,6168.
70.,6170.
71.,6168.
72.,6169.
73.,6169.
74.,6170.
75.,6169.
76.,6169.
77.,6169.
78.,6170.
79.,6171.
80.,6172.
81.,6174.
82.,6175.
83.,6175.
84.,6175.
85.,6174.
86.,6174.
87.,6175.
88.,6175.
89.,6177.
90.,6179.
91.,6180.
92.,6182.
93.,6182.
94.,6184.
95.,6185.
96.,6184.
97.,6183.
98.,6183.
99.,6185.
100.,6187.
101.,6185.
102.,6187.
103.,6186.
104.,6187.
105.,6187.
106.,6186.
107.,6186.
108.,6188.
109.,6187.
110.,6187.
111.,6189.
112.,6188.
113.,6188.
114.,6187.
115.,6187.
116.,6187.
117.,6187.
118.,6187.
119.,6187.
120.,6187.
121.,6188.
122.,6189.
123.,6189.
124.,6189.
125.,6189.
126.,6189.
127.,6190.
128.,6190.
129.,6192.
130.,6191.
131.,6192.
132.,6192.
133.,6193.
134.,6193.
135.,6193.
136.,6193.
137.,6193.
138.,6192.
139.,6193.
140.,6192.
141.,6192.
142.,6192.
143.,6192.
144.,6194.
145.,6195.
146.,6196.
147.,6195.
148.,6194.
149.,6195.
150.,6196.
151.,6196.
152.,6196.
153.,6197.
154.,6197.
155.,6198.
156.,6197.
157.,6197.
158.,6197.
159.,6198.
160.,6197.
161.,6200.
162.,6200.
163.,6202.
164.,6201.
165.,6204.
166.,6202.
167.,6202.
168.,6201.
169.,6201.
170.,6203.
171.,6203.
172.,6203.
173.,6203.
174.,6204.
175.,6204.
176.,6204.
177.,6206.
178.,6206.
179.,6205.
180.,6204.
181.,6205.
182.,6205.
183.,6205.
184.,6203.
185.,6203.
186.,6202.
187.,6201.
188.,6201.
189.,6203.
190.,6203.
191.,6204.
192.,6204.
193.,6204.
194.,6206.
195.,6206.
196.,6206.
197.,6207.
198.,6205.
199.,6205.
200.,6204.
201.,6204.
202.,6204.
203.,6205.
204.,6206.
205.,6206.
206.,6207.
207.,6207.
208.,6205.
209.,6207.
210.,6208.
211.,6209.
212.,6209.
213.,6211.
214.,6211.
215.,6212.
216.,6211.
217.,6210.
218.,6211.
219.,6210.
220.,6211.
221.,6212.
222.,6212.
