TotalArea_x,TotalArea_y
0.,2457.
1.,2470.
2.,2497.
3.,2530.
4.,3006.
5.,3514.
6.,3907.
7.,4350.
8.,4791.
9.,5217.
10.,5632.
11.,5841.
12.,5937.
13.,5992.
14.,6039.
15.,6044.
16.,6053.
17.,6067.
18.,6074.
19.,6075.
20.,6076.
21.,6075.
22.,6075.
23.,6078.
24.,6083.
25.,6086.
26.,6083.
27.,6086.
28.,6090.
29.,6093.
30.,6088.
31.,6086.
32.,6090.
33.,6090.
34.,6092.
35.,6093.
36.,6094.
37.,6095.
38.,6096.
39.,6097.
40.,6096.
41.,6096.
42.,6098.
43.,6099.
44.,6099.
45.,6099.
46.,6101.
47.,6099.
48.,6101.
49.,6101.
50.,6103.
51.,6103.
52.,6105.
53.,6107.
54.,6106.
55.,6105.
56.,6105.
57.,6106.
58.,6106.
59.,6106.
60.,6106.
61.,6108.
62.,6108.
63.,6111.
64.,6111.
65.,6115.
66.,6115.
67.,6115.
68.,6119.
69.,6120.
70.,6123.
71.,6124.
72.,6126.
73.,6128.
74.,6129.
75.,6129.
76.,6130.
77.,6134.
78.,6134.
79.,6137.
80.,6141.
81.,6141.
82.,6143.
83.,6143.
84.,6146.
85.,6146.
86.,6147.
87.,6148.
88.,6149.
89.,6149.
90.,6150.
91.,6150.
92.,6151.
93.,6155.
94.,6156.
95.,6158.
96.,6160.
97.,6159.
98.,6159.
99.,6162.
100.,6160.
101.,6161.
102.,6162.
103.,6162.
104.,6162.
105.,6159.
106.,6158.
107.,6158.
108.,6160.
109.,6164.
110.,6164.
111.,6166.
112.,6167.
113.,6167.
114.,6166.
115.,6168.
116.,6172.
117.,6175.
118.,6174.
119.,6176.
120.,6176.
121.,6180.
122.,6178.
123.,6177.
124.,6179.
125.,6179.
126.,6179.
127.,6180.
128.,6184.
129.,6185.
130.,6184.
131.,6183.
132.,6184.
133.,6184.
134.,6185.
135.,6183.
136.,6184.
137.,6189.
138.,6189.
139.,6188.
140.,6190.
141.,6190.
142.,6191.
143.,6195.
144.,6198.
145.,6197.
146.,6199.
147.,6198.
148.,6198.
149.,6198.
150.,6197.
151.,6198.
152.,6201.
153.,6199.
154.,6199.
155.,6200.
156.,6199.
157.,6201.
158.,6202.
159.,6202.
160.,6202.
161.,6204.
162.,6204.
163.,6204.
164.,6206.
165.,6206.
166.,6205.
167.,6206.
168.,6207.
169.,6209.
170.,6210.
171.,6210.
172.,6213.
173.,6215.
174.,6214.
175.,6214.
176.,6215.
177.,6214.
178.,6215.
179.,6215.
180.,6215.
181.,6216.
182.,6216.
183.,6217.
184.,6217.
185.,6217.
186.,6216.
187.,6218.
188.,6220.
189.,6221.
190.,6220.
191.,6220.
192.,6220.
193.,6221.
194.,6222.
195.,6223.
196.,6223.
197.,6223.
198.,6223.
199.,6223.
200.,6225.
201.,6225.
202.,6226.
203.,6226.
204.,6227.
205.,6228.
206.,6229.
207.,6230.
208.,6230.
209.,6233.
210.,6235.
211.,6236.
212.,6234.
213.,6233.
214.,6235.
215.,6236.
216.,6238.
217.,6238.
218.,6238.
219.,6238.
220.,6240.
221.,6239.
222.,6240.
223.,6244.
224.,6243.
225.,6243.
226.,6245.
227.,6243.
228.,6245.
229.,6245.
230.,6247.
231.,6246.
232.,6245.
233.,6245.
234.,6245.
235.,6247.
236.,6247.
237.,6248.
238.,6247.
239.,6248.
240.,6248.
241.,6249.
242.,6250.
243.,6249.
244.,6248.
245.,6249.
246.,6248.
247.,6248.
248.,6251.
249.,6252.
250.,6252.
251.,6251.
252.,6253.
253.,6253.
254.,6253.
255.,6253.
256.,6252.
257.,6253.
258.,6253.
259.,6253.
260.,6252.
261.,6253.
262.,6253.
263.,6253.
264.,6253.
265.,6253.
266.,6253.
267.,6253.
268.,6253.
269.,6253.
270.,6253.
271.,6253.
272.,6253.
273.,6253.
274.,6253.
275.,6253.
276.,6252.
277.,6252.
278.,6252.
279.,6252.
280.,6252.
281.,6252.
282.,6252.
283.,6252.
284.,6252.
285.,6252.
286.,6252.
287.,6251.
288.,6250.
289.,6250.
290.,6250.
291.,6250.
292.,6250.
293.,6250.
294.,6250.
295.,6250.
296.,6250.
297.,6250.
298.,6250.
299.,6250.
300.,6250.
301.,6250.
302.,6250.
303.,6250.
304.,6250.
305.,6250.
306.,6250.
307.,6250.
308.,6250.
309.,6250.
310.,6250.
311.,6250.
312.,6250.
313.,6250.
314.,6250.
315.,6250.
316.,6250.
317.,6250.
318.,6250.
319.,6250.
320.,6250.
321.,6250.
322.,6250.
323.,6250.
324.,6250.
325.,6250.
326.,6250.
327.,6250.
328.,6250.
329.,6250.
330.,6250.
331.,6250.
332.,6250.
333.,6250.
334.,6250.
335.,6250.
336.,6250.
337.,6250.
338.,6250.
339.,6250.
340.,6250.
341.,6250.
342.,6250.
343.,6250.
344.,6250.
345.,6250.
346.,6250.
347.,6250.
348.,6250.
349.,6250.
350.,6250.
351.,6250.
352.,6250.
353.,6250.
354.,6250.
355.,6250.
356.,6250.
357.,6250.
358.,6250.
359.,6250.
360.,6250.
361.,6250.
362.,6250.
363.,6250.
364.,6250.
365.,6250.
366.,6250.
367.,6250.
368.,6250.
369.,6250.
370.,6250.
371.,6250.
372.,6250.
373.,6250.
374.,6250.
375.,6250.
376.,6250.
377.,6250.
378.,6250.
379.,6250.
380.,6250.
381.,6250.
382.,6250.
383.,6250.
384.,6250.
385.,6250.
386.,6250.
387.,6250.
388.,6250.
389.,6250.
390.,6250.
391.,6250.
392.,6250.
393.,6250.
394.,6250.
395.,6251.
396.,6251.
397.,6251.
398.,6251.
399.,6251.
400.,6251.
401.,6251.
402.,6251.
403.,6251.
404.,6251.
405.,6251.
406.,6251.
407.,6251.
408.,6251.
409.,6251.
410.,6251.
411.,6251.
412.,6251.
413.,6251.
414.,6252.
415.,6253.
416.,6253.
417.,6253.
418.,6253.
419.,6254.
420.,6254.
421.,6254.
422.,6254.
423.,6254.
424.,6254.
425.,6255.
426.,6255.
427.,6256.
428.,6256.
429.,6256.
430.,6256.
431.,6256.
432.,6256.
433.,6256.
434.,6256.
435.,6257.
436.,6257.
437.,6257.
438.,6256.
439.,6257.
440.,6258.
441.,6259.
442.,6261.
443.,6260.
444.,6261.
445.,6263.
446.,6265.
447.,6265.
448.,6267.
449.,6267.
450.,6267.
451.,6268.
452.,6269.
453.,6269.
454.,6269.
455.,6269.
456.,6269.
457.,6269.
458.,6271.
459.,6270.
460.,6270.
461.,6271.
462.,6270.
463.,6270.
464.,6269.
465.,6266.
466.,6265.
467.,6264.
468.,6262.
469.,6261.
470.,6262.
471.,6262.
472.,6262.
473.,6261.
474.,6261.
475.,6260.
476.,6259.
477.,6260.
478.,6262.
479.,6262.
480.,6259.
481.,6258.
482.,6258.
483.,6260.
484.,6261.
485.,6260.
486.,6256.
487.,6256.
488.,6257.
489.,6254.
490.,6253.
491.,6254.
492.,6255.
493.,6253.
494.,6254.
495.,6253.
496.,6251.
497.,6249.
498.,6250.
499.,6251.
500.,6249.
501.,6248.
502.,6247.
503.,6245.
504.,6247.
505.,6248.
506.,6248.
507.,6247.
508.,6245.
509.,6247.
510.,6247.
511.,6246.
512.,6246.
513.,6244.
514.,6245.
515.,6245.
516.,6244.
517.,6246.
518.,6241.
519.,6243.
520.,6246.
521.,6247.
522.,6246.
523.,6246.
524.,6248.
525.,6248.
526.,6248.
527.,6249.
528.,6253.
529.,6255.
530.,6254.
531.,6253.
532.,6255.
533.,6255.
534.,6252.
535.,6253.
536.,6253.
537.,6253.
538.,6253.
539.,6253.
540.,6253.
541.,6253.
542.,6253.
543.,6255.
544.,6254.
545.,6254.
546.,6256.
547.,6256.
548.,6256.
549.,6255.
550.,6254.
551.,6254.
552.,6253.
553.,6253.
554.,6254.
555.,6253.
556.,6254.
557.,6252.
558.,6252.
559.,6255.
560.,6254.
561.,6255.
562.,6257.
563.,6256.
564.,6257.
565.,6255.
566.,6257.
567.,6259.
568.,6258.
569.,6260.
570.,6258.
571.,6257.
572.,6257.
573.,6255.
574.,6256.
575.,6253.
576.,6253.
577.,6253.
578.,6253.
579.,6254.
580.,6252.
581.,6253.
582.,6250.
583.,6245.
584.,6244.
585.,6243.
586.,6246.
587.,6241.
588.,6241.
589.,6243.
590.,6243.
591.,6243.
592.,6242.
593.,6243.
594.,6242.
595.,6242.
596.,6241.
597.,6240.
598.,6238.
599.,6238.
600.,6238.
601.,6240.
602.,6240.
603.,6239.
604.,6240.
605.,6240.
606.,6240.
607.,6241.
608.,6244.
609.,6245.
610.,6244.
611.,6245.
612.,6244.
613.,6244.
614.,6244.
615.,6244.
616.,6245.
617.,6246.
618.,6246.
619.,6248.
620.,6249.
621.,6249.
622.,6252.
623.,6252.
624.,6252.
625.,6252.
626.,6254.
627.,6253.
628.,6253.
629.,6253.
630.,6253.
631.,6252.
632.,6253.
633.,6250.
634.,6251.
635.,6251.
636.,6253.
637.,6253.
638.,6253.
639.,6255.
640.,6256.
641.,6257.
642.,6258.
643.,6258.
644.,6259.
645.,6260.
646.,6260.
647.,6258.
648.,6258.
649.,6260.
650.,6260.
651.,6260.
652.,6260.
653.,6260.
654.,6260.
655.,6260.
656.,6259.
657.,6259.
658.,6260.
659.,6260.
660.,6260.
661.,6261.
662.,6259.
663.,6259.
664.,6259.
665.,6260.
666.,6261.
667.,6261.
668.,6261.
669.,6262.
670.,6262.
671.,6263.
672.,6263.
673.,6263.
674.,6263.
675.,6263.
676.,6262.
677.,6263.
678.,6263.
679.,6263.
680.,6263.
681.,6261.
682.,6261.
683.,6261.
684.,6262.
685.,6262.
686.,6262.
687.,6261.
688.,6261.
689.,6261.
690.,6260.
691.,6261.
692.,6260.
693.,6258.
694.,6256.
695.,6257.
696.,6256.
697.,6256.
698.,6252.
699.,6250.
700.,6250.
701.,6250.
702.,6249.
703.,6250.
704.,6249.
705.,6249.
706.,6248.
707.,6248.
708.,6247.
709.,6244.
710.,6245.
711.,6244.
712.,6243.
713.,6242.
714.,6242.
715.,6242.
716.,6239.
717.,6239.
718.,6236.
719.,6236.
720.,6238.
721.,6239.
722.,6241.
723.,6241.
724.,6241.
725.,6240.
726.,6242.
727.,6243.
728.,6241.
729.,6241.
730.,6242.
731.,6243.
732.,6245.
733.,6245.
734.,6245.
735.,6243.
736.,6246.
737.,6246.
738.,6247.
739.,6246.
740.,6247.
741.,6249.
742.,6248.
743.,6248.
744.,6248.
745.,6245.
746.,6244.
747.,6248.
748.,6245.
749.,6245.
750.,6246.
751.,6244.
752.,6242.
753.,6242.
754.,6241.
755.,6238.
756.,6240.
757.,6240.
758.,6240.
759.,6241.
760.,6240.
761.,6241.
762.,6241.
763.,6242.
764.,6243.
765.,6241.
766.,6242.
767.,6245.
768.,6245.
769.,6245.
770.,6245.
771.,6245.
772.,6245.
773.,6245.
774.,6245.
775.,6245.
776.,6246.
777.,6247.
778.,6247.
779.,6247.
780.,6247.
781.,6246.
782.,6247.
783.,6247.
784.,6247.
785.,6247.
786.,6248.
787.,6248.
788.,6248.
789.,6248.
790.,6249.
791.,6249.
792.,6249.
793.,6250.
794.,6251.
795.,6249.
796.,6250.
797.,6250.
798.,6251.
799.,6249.
800.,6249.
801.,6252.
802.,6251.
803.,6252.
804.,6251.
805.,6252.
806.,6252.
807.,6252.
808.,6253.
809.,6253.
810.,6253.
811.,6251.
812.,6252.
813.,6253.
814.,6253.
815.,6253.
816.,6254.
817.,6256.
818.,6255.
819.,6255.
820.,6255.
821.,6256.
822.,6256.
823.,6257.
824.,6257.
825.,6256.
826.,6260.
827.,6259.
828.,6260.
829.,6262.
830.,6262.
831.,6264.
832.,6263.
833.,6262.
834.,6261.
835.,6261.
836.,6262.
837.,6262.
838.,6263.
839.,6262.
840.,6262.
841.,6263.
842.,6264.
843.,6264.
844.,6262.
845.,6265.
846.,6266.
847.,6264.
848.,6266.
849.,6269.
850.,6269.
851.,6269.
852.,6270.
853.,6268.
854.,6268.
855.,6270.
856.,6270.
857.,6270.
858.,6269.
859.,6265.
860.,6263.
861.,6262.
862.,6260.
863.,6258.
864.,6258.
865.,6257.
866.,6259.
867.,6259.
868.,6259.
869.,6261.
870.,6262.
871.,6262.
872.,6262.
873.,6261.
874.,6261.
875.,6263.
876.,6263.
877.,6264.
878.,6266.
879.,6265.
880.,6263.
881.,6264.
882.,6263.
883.,6264.
884.,6269.
885.,6268.
886.,6268.
887.,6267.
888.,6267.
889.,6268.
890.,6265.
891.,6268.
892.,6270.
893.,6268.
894.,6265.
895.,6265.
896.,6266.
897.,6265.
898.,6263.
899.,6263.
900.,6263.
901.,6266.
902.,6272.
903.,6274.
904.,6274.
905.,6275.
906.,6276.
907.,6276.
908.,6276.
909.,6278.
910.,6278.
911.,6278.
912.,6280.
913.,6281.
914.,6283.
915.,6281.
916.,6282.
917.,6281.
918.,6282.
919.,6282.
920.,6280.
921.,6283.
922.,6287.
923.,6288.
924.,6287.
925.,6286.
926.,6286.
927.,6285.
928.,6285.
929.,6286.
930.,6286.
931.,6288.
932.,6289.
933.,6290.
934.,6291.
935.,6291.
936.,6292.
937.,6290.
938.,6286.
939.,6286.
940.,6282.
941.,6282.
942.,6285.
943.,6285.
944.,6281.
945.,6280.
946.,6280.
947.,6281.
948.,6281.
949.,6279.
950.,6282.
951.,6281.
952.,6282.
953.,6282.
954.,6284.
955.,6286.
956.,6289.
957.,6289.
958.,6290.
959.,6291.
960.,6291.
961.,6292.
962.,6294.
963.,6294.
964.,6294.
965.,6295.
966.,6295.
967.,6295.
968.,6294.
969.,6295.
970.,6295.
971.,6295.
972.,6297.
973.,6296.
974.,6294.
975.,6293.
976.,6290.
977.,6288.
978.,6289.
979.,6289.
980.,6287.
981.,6289.
982.,6288.
983.,6288.
984.,6291.
985.,6293.
986.,6294.
987.,6296.
988.,6298.
989.,6298.
990.,6296.
991.,6297.
992.,6298.
993.,6294.
994.,6294.
995.,6295.
996.,6297.
997.,6297.
998.,6297.
999.,6296.
1000.,6294.
1001.,6296.
1002.,6297.
1003.,6297.
1004.,6300.
1005.,6299.
1006.,6300.
1007.,6303.
1008.,6304.
1009.,6302.
1010.,6303.
1011.,6303.
1012.,6304.
1013.,6302.
1014.,6302.
1015.,6301.
1016.,6304.
1017.,6303.
1018.,6302.
1019.,6304.
1020.,6305.
1021.,6308.
1022.,6310.
1023.,6308.
1024.,6308.
1025.,6309.
1026.,6310.
1027.,6309.
1028.,6308.
1029.,6307.
1030.,6304.
1031.,6306.
1032.,6305.
1033.,6307.
1034.,6310.
1035.,6309.
1036.,6313.
1037.,6312.
1038.,6312.
1039.,6312.
1040.,6315.
1041.,6315.
1042.,6316.
1043.,6316.
1044.,6317.
1045.,6317.
1046.,6318.
1047.,6320.
1048.,6320.
1049.,6321.
1050.,6322.
1051.,6321.
1052.,6321.
1053.,6321.
1054.,6320.
1055.,6321.
1056.,6321.
1057.,6322.
1058.,6322.
1059.,6322.
1060.,6324.
1061.,6328.
1062.,6328.
1063.,6326.
1064.,6325.
1065.,6325.
1066.,6322.
1067.,6321.
1068.,6317.
1069.,6314.
1070.,6315.
1071.,6312.
1072.,6307.
1073.,6306.
1074.,6308.
1075.,6308.
1076.,6306.
1077.,6305.
1078.,6303.
1079.,6303.
1080.,6304.
1081.,6304.
1082.,6306.
1083.,6305.
1084.,6305.
1085.,6305.
1086.,6305.
1087.,6308.
1088.,6307.
1089.,6305.
1090.,6308.
1091.,6309.
1092.,6308.
1093.,6311.
1094.,6309.
1095.,6312.
1096.,6311.
1097.,6310.
1098.,6311.
1099.,6312.
1100.,6312.
1101.,6313.
1102.,6314.
1103.,6310.
1104.,6306.
1105.,6304.
1106.,6305.
1107.,6303.
1108.,6304.
1109.,6304.
1110.,6303.
1111.,6302.
1112.,6301.
1113.,6304.
1114.,6306.
1115.,6308.
1116.,6301.
1117.,6300.
1118.,6300.
1119.,6300.
1120.,6298.
1121.,6294.
1122.,6297.
1123.,6295.
1124.,6295.
1125.,6297.
1126.,6298.
1127.,6300.
1128.,6298.
1129.,6299.
1130.,6290.
1131.,6283.
1132.,6281.
1133.,6281.
1134.,6279.
1135.,6280.
1136.,6278.
1137.,6281.
1138.,6280.
1139.,6282.
1140.,6282.
1141.,6282.
1142.,6282.
1143.,6283.
1144.,6284.
1145.,6283.
1146.,6284.
1147.,6286.
1148.,6286.
1149.,6285.
1150.,6288.
1151.,6287.
1152.,6289.
1153.,6291.
1154.,6289.
1155.,6298.
1156.,6300.
1157.,6299.
1158.,6298.
1159.,6300.
1160.,6300.
1161.,6297.
1162.,6299.
1163.,6300.
1164.,6303.
1165.,6302.
1166.,6301.
1167.,6298.
1168.,6301.
1169.,6301.
1170.,6302.
1171.,6301.
1172.,6302.
1173.,6302.
1174.,6303.
1175.,6303.
1176.,6305.
1177.,6305.
1178.,6307.
1179.,6306.
1180.,6305.
1181.,6306.
1182.,6308.
1183.,6308.
1184.,6308.
1185.,6309.
1186.,6309.
1187.,6311.
1188.,6314.
1189.,6314.
1190.,6314.
1191.,6318.
1192.,6315.
1193.,6316.
1194.,6315.
1195.,6314.
1196.,6316.
1197.,6313.
1198.,6312.
1199.,6314.
1200.,6315.
1201.,6311.
1202.,6311.
1203.,6310.
1204.,6311.
1205.,6312.
1206.,6312.
1207.,6312.
1208.,6312.
1209.,6313.
1210.,6313.
1211.,6311.
1212.,6312.
1213.,6314.
1214.,6315.
1215.,6313.
1216.,6314.
1217.,6314.
1218.,6315.
1219.,6317.
1220.,6319.
1221.,6318.
1222.,6318.
1223.,6319.
1224.,6320.
1225.,6321.
1226.,6320.
1227.,6321.
1228.,6320.
1229.,6320.
1230.,6320.
1231.,6321.
1232.,6322.
1233.,6323.
1234.,6323.
1235.,6323.
1236.,6323.
1237.,6323.
1238.,6323.
1239.,6323.
1240.,6322.
1241.,6321.
1242.,6323.
1243.,6323.
1244.,6325.
1245.,6325.
1246.,6327.
1247.,6327.
1248.,6328.
1249.,6330.
1250.,6331.
1251.,6331.
1252.,6331.
1253.,6331.
1254.,6332.
1255.,6332.
1256.,6333.
1257.,6333.
1258.,6333.
1259.,6332.
1260.,6332.
1261.,6330.
1262.,6333.
1263.,6334.
1264.,6335.
1265.,6334.
1266.,6335.
1267.,6333.
1268.,6333.
1269.,6332.
1270.,6333.
1271.,6334.
1272.,6333.
1273.,6332.
1274.,6329.
1275.,6331.
1276.,6329.
1277.,6330.
1278.,6330.
1279.,6330.
1280.,6332.
1281.,6331.
1282.,6331.
1283.,6332.
1284.,6333.
1285.,6334.
1286.,6332.
1287.,6334.
1288.,6339.
1289.,6335.
1290.,6337.
1291.,6338.
1292.,6339.
1293.,6342.
1294.,6342.
1295.,6344.
1296.,6346.
1297.,6346.
1298.,6348.
1299.,6344.
1300.,6345.
1301.,6343.
1302.,6345.
1303.,6348.
1304.,6349.
1305.,6348.
1306.,6347.
1307.,6347.
1308.,6347.
1309.,6350.
1310.,6350.
1311.,6349.
1312.,6348.
1313.,6349.
1314.,6349.
1315.,6349.
1316.,6350.
1317.,6351.
1318.,6350.
1319.,6350.
1320.,6350.
1321.,6351.
1322.,6351.
1323.,6351.
1324.,6351.
1325.,6351.
1326.,6351.
1327.,6352.
1328.,6351.
1329.,6353.
1330.,6354.
1331.,6355.
1332.,6355.
1333.,6355.
1334.,6354.
1335.,6355.
1336.,6352.
1337.,6352.
1338.,6352.
1339.,6353.
1340.,6353.
1341.,6354.
1342.,6355.
1343.,6355.
1344.,6355.
1345.,6355.
1346.,6355.
1347.,6356.
1348.,6358.
1349.,6358.
1350.,6360.
1351.,6362.
1352.,6364.
1353.,6363.
1354.,6363.
1355.,6365.
1356.,6364.
1357.,6365.
1358.,6365.
1359.,6365.
1360.,6365.
1361.,6365.
1362.,6365.
1363.,6366.
1364.,6366.
1365.,6367.
1366.,6367.
1367.,6368.
1368.,6368.
1369.,6370.
1370.,6370.
1371.,6371.
1372.,6371.
1373.,6372.
1374.,6371.
1375.,6371.
1376.,6372.
1377.,6372.
1378.,6372.
1379.,6372.
1380.,6372.
1381.,6371.
1382.,6372.
1383.,6372.
1384.,6370.
1385.,6368.
1386.,6369.
1387.,6369.
1388.,6368.
1389.,6367.
1390.,6369.
1391.,6370.
1392.,6369.
