TotalArea_x,TotalArea_y
0.,2457.
1.,2490.
2.,2508.
3.,2531.
4.,3008.
5.,3544.
6.,3925.
7.,4378.
8.,4815.
9.,5216.
10.,5617.
11.,5835.
12.,5934.
13.,6014.
14.,6042.
15.,6062.
16.,6083.
17.,6089.
18.,6091.
19.,6108.
20.,6109.
21.,6116.
22.,6110.
23.,6115.
24.,6116.
25.,6119.
26.,6113.
27.,6113.
28.,6113.
29.,6114.
30.,6123.
31.,6125.
32.,6126.
33.,6125.
34.,6124.
35.,6127.
36.,6128.
37.,6133.
38.,6136.
39.,6135.
40.,6133.
41.,6135.
42.,6135.
43.,6135.
44.,6135.
45.,6136.
46.,6135.
47.,6133.
48.,6133.
49.,6132.
50.,6133.
51.,6134.
52.,6137.
53.,6140.
54.,6142.
55.,6144.
56.,6146.
57.,6147.
58.,6147.
59.,6148.
60.,6149.
61.,6150.
62.,6151.
63.,6151.
64.,6151.
65.,6151.
66.,6150.
67.,6151.
68.,6153.
69.,6151.
70.,6151.
71.,6151.
72.,6153.
73.,6150.
74.,6150.
75.,6151.
76.,6149.
77.,6150.
78.,6151.
79.,6152.
80.,6153.
81.,6152.
82.,6153.
83.,6155.
84.,6155.
85.,6156.
86.,6155.
87.,6157.
88.,6156.
89.,6155.
90.,6157.
91.,6156.
92.,6155.
93.,6155.
94.,6155.
95.,6155.
96.,6156.
97.,6154.
98.,6154.
99.,6156.
100.,6155.
101.,6156.
102.,6155.
103.,6156.
104.,6154.
105.,6155.
106.,6155.
107.,6155.
108.,6156.
109.,6156.
110.,6157.
111.,6158.
112.,6158.
113.,6158.
114.,6158.
115.,6158.
116.,6160.
117.,6165.
118.,6164.
119.,6166.
120.,6166.
121.,6166.
122.,6165.
123.,6167.
124.,6166.
125.,6166.
126.,6170.
127.,6170.
128.,6172.
129.,6172.
130.,6172.
131.,6172.
132.,6172.
133.,6170.
134.,6170.
135.,6172.
136.,6172.
137.,6173.
138.,6172.
139.,6170.
140.,6171.
141.,6174.
142.,6172.
143.,6173.
144.,6174.
145.,6173.
146.,6173.
147.,6175.
148.,6175.
149.,6174.
150.,6172.
151.,6174.
152.,6174.
153.,6171.
154.,6172.
155.,6171.
156.,6172.
157.,6175.
158.,6174.
159.,6176.
160.,6178.
161.,6175.
162.,6177.
163.,6178.
164.,6178.
165.,6179.
166.,6179.
167.,6183.
168.,6185.
169.,6186.
170.,6188.
171.,6185.
172.,6184.
173.,6184.
174.,6183.
175.,6185.
176.,6184.
177.,6184.
178.,6184.
179.,6186.
180.,6182.
181.,6183.
182.,6182.
183.,6182.
184.,6184.
185.,6187.
186.,6190.
187.,6187.
188.,6189.
189.,6187.
190.,6188.
191.,6187.
192.,6187.
193.,6187.
194.,6189.
195.,6186.
196.,6186.
197.,6190.
198.,6189.
199.,6192.
200.,6194.
201.,6196.
202.,6194.
203.,6195.
204.,6193.
205.,6194.
206.,6197.
207.,6200.
208.,6200.
209.,6202.
210.,6204.
211.,6202.
212.,6205.
213.,6206.
214.,6206.
215.,6206.
216.,6207.
217.,6210.
218.,6211.
219.,6210.
220.,6212.
221.,6213.
222.,6211.
223.,6211.
224.,6211.
225.,6209.
226.,6205.
227.,6206.
228.,6207.
229.,6206.
230.,6206.
231.,6206.
232.,6206.
233.,6205.
234.,6204.
235.,6202.
236.,6203.
237.,6204.
238.,6203.
239.,6204.
240.,6203.
241.,6204.
242.,6202.
243.,6201.
244.,6201.
245.,6201.
246.,6201.
247.,6201.
248.,6202.
249.,6204.
250.,6206.
251.,6206.
252.,6206.
253.,6207.
254.,6207.
255.,6207.
256.,6207.
257.,6209.
258.,6208.
259.,6209.
260.,6209.
261.,6207.
262.,6207.
263.,6207.
264.,6208.
265.,6208.
266.,6207.
267.,6208.
268.,6208.
269.,6207.
270.,6207.
271.,6208.
272.,6208.
273.,6208.
274.,6208.
275.,6207.
276.,6206.
277.,6205.
278.,6203.
279.,6202.
280.,6201.
281.,6197.
282.,6195.
283.,6194.
284.,6187.
285.,6179.
286.,6170.
287.,6162.
288.,6158.
289.,6156.
290.,6153.
291.,6152.
292.,6149.
293.,6148.
294.,6145.
295.,6145.
296.,6143.
297.,6142.
298.,6140.
299.,6138.
300.,6138.
301.,6137.
302.,6136.
303.,6134.
304.,6134.
305.,6133.
306.,6134.
307.,6134.
308.,6132.
309.,6132.
310.,6132.
311.,6130.
312.,6130.
313.,6129.
314.,6128.
315.,6127.
316.,6127.
317.,6126.
318.,6125.
319.,6123.
320.,6123.
321.,6123.
322.,6122.
323.,6123.
324.,6123.
325.,6120.
326.,6120.
327.,6120.
328.,6120.
329.,6120.
330.,6123.
