TotalArea_x,TotalArea_y
0.,2457.
1.,2483.
2.,2506.
3.,2528.
4.,3009.
5.,3541.
6.,3939.
7.,4372.
8.,4841.
9.,5259.
10.,5656.
11.,5870.
12.,5961.
13.,6018.
14.,6042.
15.,6060.
16.,6075.
17.,6077.
18.,6084.
19.,6086.
20.,6088.
21.,6093.
22.,6103.
23.,6108.
24.,6108.
25.,6107.
26.,6108.
27.,6110.
28.,6108.
29.,6109.
30.,6111.
31.,6108.
32.,6110.
33.,6108.
34.,6109.
35.,6110.
36.,6112.
37.,6111.
38.,6111.
39.,6111.
40.,6112.
41.,6111.
42.,6113.
43.,6114.
44.,6114.
45.,6115.
46.,6116.
47.,6119.
48.,6120.
49.,6123.
50.,6123.
51.,6124.
52.,6124.
53.,6124.
54.,6127.
55.,6127.
56.,6127.
57.,6127.
58.,6127.
59.,6127.
60.,6127.
61.,6127.
62.,6127.
63.,6127.
64.,6127.
65.,6126.
66.,6126.
67.,6126.
68.,6126.
69.,6125.
70.,6125.
71.,6126.
72.,6124.
73.,6125.
74.,6125.
75.,6126.
76.,6127.
77.,6127.
78.,6128.
79.,6127.
80.,6127.
81.,6127.
82.,6127.
83.,6128.
84.,6130.
85.,6131.
86.,6131.
87.,6131.
88.,6131.
89.,6131.
90.,6131.
91.,6130.
92.,6129.
93.,6128.
94.,6129.
95.,6130.
96.,6133.
97.,6134.
98.,6134.
99.,6136.
100.,6134.
101.,6136.
102.,6136.
103.,6139.
104.,6141.
105.,6141.
106.,6141.
107.,6142.
108.,6143.
109.,6144.
110.,6145.
111.,6146.
112.,6145.
113.,6147.
114.,6146.
115.,6148.
116.,6146.
117.,6146.
118.,6147.
119.,6148.
120.,6150.
121.,6151.
122.,6154.
123.,6154.
124.,6157.
125.,6154.
126.,6157.
127.,6157.
128.,6158.
129.,6158.
130.,6161.
131.,6161.
132.,6160.
133.,6160.
134.,6157.
135.,6158.
136.,6160.
137.,6161.
138.,6161.
139.,6158.
140.,6159.
141.,6159.
142.,6159.
143.,6158.
144.,6158.
145.,6159.
146.,6159.
147.,6160.
148.,6159.
149.,6160.
150.,6159.
151.,6160.
152.,6161.
153.,6160.
154.,6162.
155.,6161.
156.,6160.
157.,6165.
158.,6166.
159.,6166.
160.,6168.
161.,6168.
162.,6169.
163.,6168.
164.,6169.
165.,6170.
166.,6170.
167.,6170.
168.,6171.
169.,6171.
170.,6176.
171.,6176.
172.,6179.
173.,6179.
174.,6181.
175.,6182.
176.,6184.
177.,6186.
178.,6188.
179.,6188.
180.,6188.
181.,6190.
182.,6191.
183.,6192.
184.,6192.
185.,6194.
186.,6193.
187.,6193.
188.,6194.
189.,6195.
190.,6195.
191.,6195.
192.,6191.
193.,6194.
194.,6200.
195.,6205.
196.,6208.
197.,6211.
198.,6211.
199.,6211.
200.,6212.
201.,6211.
202.,6209.
203.,6209.
204.,6207.
205.,6208.
206.,6210.
207.,6213.
208.,6216.
209.,6216.
210.,6216.
211.,6215.
212.,6215.
213.,6221.
214.,6223.
215.,6225.
216.,6228.
217.,6227.
218.,6231.
219.,6232.
220.,6232.
221.,6230.
222.,6233.
223.,6234.
224.,6240.
225.,6241.
226.,6244.
227.,6244.
228.,6242.
229.,6248.
230.,6246.
231.,6245.
232.,6248.
233.,6247.
234.,6244.
235.,6242.
236.,6241.
237.,6238.
238.,6238.
239.,6238.
240.,6238.
241.,6236.
242.,6238.
243.,6236.
244.,6237.
245.,6239.
246.,6239.
247.,6238.
248.,6236.
249.,6233.
250.,6233.
251.,6231.
252.,6231.
253.,6229.
254.,6229.
255.,6226.
256.,6225.
257.,6227.
