TotalArea_x,TotalArea_y
0.,2457.
1.,2480.
2.,2502.
3.,2522.
4.,3009.
5.,3531.
6.,3914.
7.,4348.
8.,4793.
9.,5245.
10.,5663.
11.,5854.
12.,5963.
13.,6032.
14.,6048.
15.,6077.
16.,6104.
17.,6104.
18.,6111.
19.,6114.
20.,6108.
21.,6106.
22.,6107.
23.,6101.
24.,6098.
25.,6098.
26.,6096.
27.,6092.
28.,6101.
29.,6103.
30.,6105.
31.,6110.
32.,6110.
33.,6113.
34.,6115.
35.,6114.
36.,6113.
37.,6116.
38.,6116.
39.,6116.
40.,6115.
41.,6118.
42.,6118.
43.,6117.
44.,6118.
45.,6118.
46.,6119.
47.,6120.
48.,6121.
49.,6122.
50.,6123.
51.,6127.
52.,6129.
53.,6128.
54.,6130.
55.,6129.
56.,6130.
57.,6131.
58.,6131.
59.,6129.
60.,6132.
61.,6131.
62.,6131.
63.,6131.
64.,6134.
65.,6136.
66.,6135.
67.,6136.
68.,6135.
69.,6135.
70.,6135.
71.,6135.
72.,6137.
73.,6140.
74.,6142.
75.,6141.
76.,6141.
77.,6141.
78.,6141.
79.,6141.
80.,6141.
81.,6141.
82.,6141.
83.,6141.
84.,6141.
85.,6141.
86.,6141.
87.,6141.
88.,6141.
89.,6142.
90.,6142.
91.,6143.
92.,6146.
93.,6147.
94.,6147.
95.,6148.
96.,6148.
97.,6149.
98.,6150.
99.,6151.
100.,6153.
101.,6154.
102.,6157.
103.,6160.
104.,6161.
105.,6165.
106.,6166.
107.,6164.
108.,6164.
109.,6166.
110.,6166.
111.,6166.
112.,6168.
113.,6169.
114.,6170.
115.,6170.
116.,6170.
117.,6170.
118.,6172.
119.,6176.
120.,6176.
121.,6177.
122.,6178.
123.,6178.
124.,6178.
125.,6175.
126.,6174.
127.,6177.
128.,6177.
129.,6180.
130.,6184.
131.,6189.
132.,6184.
133.,6185.
134.,6186.
135.,6186.
136.,6186.
137.,6186.
138.,6184.
139.,6187.
140.,6188.
141.,6188.
142.,6191.
143.,6193.
144.,6193.
145.,6192.
146.,6193.
147.,6192.
148.,6192.
149.,6192.
150.,6194.
151.,6194.
152.,6194.
153.,6195.
154.,6195.
155.,6196.
156.,6197.
157.,6198.
158.,6198.
159.,6198.
160.,6197.
161.,6197.
162.,6200.
163.,6201.
164.,6200.
165.,6200.
166.,6200.
167.,6201.
168.,6201.
169.,6201.
170.,6201.
171.,6202.
172.,6202.
173.,6202.
174.,6202.
175.,6202.
176.,6202.
177.,6204.
178.,6205.
179.,6206.
180.,6206.
181.,6206.
182.,6206.
183.,6206.
184.,6206.
185.,6206.
186.,6206.
187.,6206.
188.,6206.
189.,6206.
190.,6206.
191.,6206.
192.,6206.
193.,6206.
194.,6206.
195.,6206.
196.,6207.
197.,6207.
198.,6208.
199.,6208.
200.,6209.
201.,6210.
202.,6211.
203.,6212.
204.,6212.
205.,6211.
206.,6211.
207.,6211.
208.,6212.
209.,6212.
210.,6212.
211.,6212.
212.,6213.
213.,6213.
214.,6213.
215.,6213.
216.,6213.
217.,6214.
218.,6214.
219.,6214.
220.,6214.
221.,6214.
222.,6214.
223.,6214.
224.,6214.
225.,6214.
226.,6213.
227.,6213.
228.,6213.
229.,6214.
230.,6214.
231.,6214.
232.,6214.
233.,6215.
234.,6215.
235.,6215.
236.,6215.
237.,6217.
238.,6217.
