TotalArea_x,TotalArea_y
0.,2457.
1.,2478.
2.,2504.
3.,2527.
4.,2988.
5.,3512.
6.,3943.
7.,4347.
8.,4798.
9.,5246.
10.,5648.
11.,5879.
12.,5978.
13.,6033.
14.,6066.
15.,6087.
16.,6115.
17.,6126.
18.,6131.
19.,6139.
20.,6141.
21.,6138.
22.,6136.
23.,6131.
24.,6131.
25.,6129.
26.,6134.
27.,6134.
28.,6133.
29.,6140.
30.,6140.
31.,6141.
32.,6144.
33.,6141.
34.,6144.
35.,6145.
36.,6146.
37.,6149.
38.,6148.
39.,6148.
40.,6151.
41.,6152.
42.,6151.
43.,6154.
44.,6154.
45.,6151.
46.,6150.
47.,6150.
48.,6152.
49.,6153.
50.,6152.
51.,6152.
52.,6149.
53.,6151.
54.,6150.
55.,6153.
56.,6153.
57.,6154.
58.,6158.
59.,6157.
60.,6159.
61.,6159.
62.,6161.
63.,6160.
64.,6160.
65.,6160.
66.,6160.
67.,6157.
68.,6157.
69.,6157.
70.,6159.
71.,6161.
72.,6163.
73.,6165.
74.,6162.
75.,6162.
76.,6161.
77.,6159.
78.,6157.
79.,6156.
80.,6155.
81.,6156.
82.,6155.
83.,6156.
84.,6156.
85.,6160.
86.,6158.
87.,6160.
88.,6162.
89.,6166.
90.,6168.
91.,6169.
92.,6168.
93.,6167.
94.,6168.
95.,6170.
96.,6166.
97.,6165.
98.,6164.
99.,6165.
100.,6165.
101.,6164.
102.,6164.
103.,6161.
104.,6164.
105.,6162.
106.,6162.
107.,6164.
108.,6165.
109.,6163.
110.,6163.
111.,6165.
112.,6165.
113.,6168.
114.,6169.
115.,6169.
116.,6170.
117.,6171.
118.,6171.
119.,6169.
120.,6170.
121.,6169.
122.,6170.
123.,6173.
124.,6177.
125.,6175.
126.,6177.
127.,6176.
128.,6174.
129.,6174.
130.,6173.
131.,6172.
132.,6172.
133.,6172.
134.,6174.
135.,6175.
136.,6175.
137.,6177.
138.,6177.
139.,6180.
140.,6178.
141.,6181.
142.,6180.
143.,6179.
144.,6181.
145.,6180.
146.,6181.
147.,6182.
148.,6182.
149.,6181.
150.,6180.
151.,6178.
152.,6180.
153.,6180.
154.,6184.
155.,6185.
156.,6185.
157.,6187.
158.,6186.
159.,6189.
160.,6188.
161.,6186.
162.,6189.
163.,6189.
164.,6189.
165.,6188.
166.,6187.
167.,6188.
168.,6190.
169.,6191.
170.,6190.
171.,6188.
172.,6190.
173.,6189.
174.,6189.
175.,6191.
176.,6192.
177.,6192.
178.,6191.
179.,6192.
180.,6194.
181.,6192.
182.,6192.
183.,6195.
184.,6194.
185.,6196.
186.,6194.
187.,6194.
188.,6197.
189.,6196.
190.,6196.
191.,6196.
192.,6196.
193.,6198.
194.,6198.
195.,6199.
196.,6199.
197.,6199.
198.,6199.
199.,6199.
200.,6198.
201.,6199.
202.,6199.
203.,6198.
204.,6200.
205.,6200.
206.,6199.
207.,6199.
208.,6203.
209.,6201.
210.,6202.
211.,6203.
212.,6206.
213.,6210.
214.,6210.
215.,6212.
216.,6214.
217.,6214.
218.,6216.
219.,6214.
220.,6216.
221.,6216.
222.,6217.
223.,6216.
224.,6216.
225.,6216.
226.,6217.
227.,6217.
228.,6217.
229.,6216.
230.,6216.
231.,6216.
232.,6216.
233.,6216.
234.,6217.
235.,6217.
236.,6217.
237.,6217.
238.,6217.
239.,6217.
240.,6217.
241.,6217.
242.,6217.
243.,6217.
244.,6217.
245.,6217.
246.,6217.
247.,6217.
248.,6217.
249.,6217.
250.,6217.
251.,6217.
252.,6217.
253.,6218.
254.,6219.
255.,6219.
256.,6219.
257.,6219.
258.,6219.
259.,6219.
260.,6219.
261.,6219.
262.,6220.
263.,6220.
264.,6221.
265.,6222.
266.,6222.
267.,6223.
268.,6223.
269.,6223.
270.,6223.
271.,6224.
272.,6224.
273.,6224.
274.,6224.
275.,6224.
276.,6224.
277.,6224.
278.,6224.
279.,6225.
280.,6226.
281.,6226.
282.,6228.
283.,6228.
284.,6228.
285.,6228.
286.,6229.
287.,6230.
288.,6230.
289.,6230.
290.,6231.
291.,6231.
292.,6231.
293.,6231.
294.,6231.
295.,6231.
296.,6231.
297.,6231.
298.,6231.
299.,6232.
300.,6232.
301.,6233.
302.,6233.
303.,6233.
304.,6233.
305.,6233.
306.,6234.
307.,6234.
308.,6235.
309.,6235.
310.,6235.
311.,6235.
312.,6235.
313.,6235.
314.,6235.
315.,6235.
316.,6235.
317.,6235.
318.,6235.
319.,6236.
320.,6236.
321.,6236.
322.,6236.
323.,6236.
324.,6236.
325.,6236.
326.,6237.
327.,6236.
328.,6236.
329.,6237.
330.,6237.
331.,6237.
332.,6237.
333.,6237.
334.,6237.
335.,6237.
336.,6237.
337.,6237.
338.,6237.
339.,6237.
340.,6237.
341.,6237.
342.,6237.
343.,6237.
344.,6237.
345.,6237.
346.,6237.
347.,6237.
348.,6237.
349.,6237.
350.,6237.
351.,6237.
352.,6237.
353.,6237.
354.,6237.
355.,6237.
356.,6237.
357.,6237.
358.,6237.
359.,6237.
360.,6237.
361.,6237.
362.,6237.
363.,6237.
364.,6237.
365.,6237.
366.,6237.
367.,6237.
368.,6237.
369.,6237.
370.,6237.
371.,6237.
372.,6237.
373.,6237.
374.,6237.
375.,6237.
376.,6237.
377.,6237.
378.,6237.
379.,6237.
380.,6237.
381.,6237.
382.,6237.
383.,6237.
384.,6237.
385.,6237.
386.,6237.
387.,6237.
388.,6237.
389.,6237.
390.,6237.
391.,6237.
392.,6237.
393.,6237.
394.,6239.
395.,6239.
396.,6237.
397.,6237.
398.,6238.
399.,6238.
400.,6239.
401.,6239.
402.,6239.
403.,6240.
404.,6240.
405.,6241.
406.,6241.
407.,6242.
408.,6242.
409.,6243.
410.,6243.
411.,6243.
412.,6243.
413.,6243.
414.,6243.
415.,6243.
416.,6244.
417.,6246.
418.,6246.
419.,6247.
420.,6247.
421.,6247.
422.,6247.
423.,6247.
424.,6248.
425.,6248.
426.,6249.
427.,6250.
428.,6250.
429.,6251.
430.,6252.
431.,6252.
432.,6252.
433.,6252.
434.,6253.
435.,6254.
436.,6254.
437.,6255.
438.,6255.
439.,6257.
440.,6256.
441.,6256.
442.,6256.
443.,6256.
444.,6256.
445.,6257.
446.,6258.
447.,6258.
448.,6258.
449.,6258.
450.,6258.
451.,6258.
452.,6258.
453.,6258.
454.,6258.
455.,6258.
456.,6258.
457.,6258.
458.,6258.
459.,6260.
460.,6260.
461.,6261.
462.,6261.
463.,6261.
464.,6261.
465.,6261.
466.,6261.
467.,6261.
468.,6261.
469.,6261.
470.,6261.
471.,6262.
472.,6262.
473.,6262.
474.,6262.
475.,6262.
476.,6263.
477.,6265.
478.,6265.
479.,6265.
480.,6266.
481.,6266.
482.,6266.
483.,6266.
484.,6266.
485.,6266.
486.,6266.
487.,6266.
488.,6266.
489.,6268.
490.,6268.
491.,6269.
492.,6269.
493.,6269.
494.,6269.
495.,6268.
496.,6268.
497.,6270.
498.,6270.
499.,6270.
500.,6270.
501.,6269.
502.,6269.
503.,6269.
504.,6270.
505.,6271.
506.,6271.
507.,6272.
508.,6269.
509.,6269.
510.,6269.
511.,6267.
512.,6269.
513.,6269.
514.,6270.
515.,6271.
516.,6271.
517.,6274.
518.,6274.
519.,6277.
520.,6278.
521.,6278.
522.,6277.
523.,6276.
524.,6278.
525.,6278.
526.,6278.
527.,6278.
528.,6279.
529.,6282.
530.,6283.
531.,6284.
532.,6286.
533.,6288.
534.,6289.
535.,6290.
536.,6292.
537.,6292.
538.,6292.
539.,6292.
540.,6293.
541.,6293.
542.,6293.
543.,6293.
544.,6292.
545.,6294.
546.,6294.
547.,6295.
548.,6294.
549.,6296.
550.,6296.
551.,6296.
552.,6297.
553.,6298.
554.,6299.
555.,6299.
556.,6298.
557.,6298.
558.,6297.
559.,6298.
560.,6295.
561.,6294.
562.,6295.
563.,6295.
564.,6295.
565.,6295.
566.,6293.
567.,6297.
568.,6297.
569.,6296.
570.,6296.
571.,6296.
572.,6298.
573.,6299.
574.,6300.
575.,6306.
576.,6307.
577.,6308.
578.,6314.
579.,6315.
580.,6316.
581.,6316.
582.,6318.
583.,6318.
584.,6319.
585.,6318.
586.,6318.
587.,6319.
588.,6318.
589.,6320.
590.,6320.
591.,6320.
592.,6319.
593.,6316.
594.,6314.
595.,6313.
596.,6314.
597.,6312.
598.,6308.
599.,6308.
600.,6305.
601.,6306.
602.,6305.
603.,6304.
604.,6304.
605.,6303.
606.,6304.
607.,6305.
608.,6306.
609.,6310.
610.,6312.
611.,6313.
612.,6312.
613.,6312.
614.,6311.
615.,6310.
616.,6309.
617.,6309.
618.,6309.
619.,6310.
620.,6312.
621.,6311.
622.,6311.
623.,6311.
624.,6311.
625.,6311.
626.,6311.
627.,6311.
628.,6311.
629.,6312.
630.,6312.
631.,6312.
632.,6313.
633.,6312.
634.,6312.
635.,6312.
636.,6310.
637.,6309.
638.,6310.
639.,6309.
640.,6309.
641.,6309.
642.,6309.
643.,6309.
644.,6310.
645.,6310.
646.,6309.
647.,6310.
648.,6309.
649.,6309.
650.,6309.
651.,6310.
652.,6310.
653.,6309.
654.,6309.
655.,6310.
656.,6310.
657.,6309.
658.,6309.
659.,6309.
660.,6309.
661.,6309.
662.,6309.
663.,6309.
664.,6309.
665.,6308.
666.,6309.
667.,6309.
668.,6309.
669.,6309.
670.,6309.
671.,6309.
672.,6309.
673.,6309.
674.,6308.
675.,6308.
676.,6308.
677.,6307.
678.,6308.
679.,6308.
680.,6307.
681.,6307.
682.,6307.
683.,6307.
684.,6308.
685.,6307.
686.,6306.
687.,6304.
688.,6303.
689.,6303.
690.,6303.
691.,6302.
692.,6302.
693.,6302.
694.,6302.
695.,6300.
696.,6298.
697.,6298.
698.,6298.
699.,6297.
700.,6296.
701.,6297.
702.,6297.
703.,6297.
704.,6298.
705.,6298.
706.,6298.
707.,6298.
708.,6298.
709.,6298.
710.,6299.
711.,6299.
712.,6298.
713.,6298.
714.,6297.
715.,6297.
716.,6297.
717.,6297.
718.,6298.
719.,6297.
720.,6297.
721.,6298.
722.,6298.
723.,6298.
724.,6298.
725.,6298.
726.,6297.
727.,6297.
728.,6298.
729.,6298.
730.,6299.
731.,6299.
732.,6299.
733.,6299.
734.,6299.
735.,6300.
736.,6299.
737.,6299.
738.,6300.
739.,6300.
740.,6300.
741.,6299.
742.,6300.
743.,6300.
744.,6300.
745.,6299.
746.,6300.
747.,6299.
748.,6299.
749.,6299.
750.,6299.
751.,6299.
752.,6299.
753.,6299.
754.,6299.
755.,6299.
756.,6299.
757.,6300.
758.,6299.
759.,6299.
760.,6299.
761.,6300.
762.,6300.
763.,6299.
764.,6299.
765.,6297.
766.,6296.
767.,6296.
768.,6295.
769.,6294.
770.,6294.
771.,6292.
772.,6291.
773.,6290.
774.,6287.
775.,6289.
776.,6288.
777.,6287.
778.,6285.
779.,6283.
780.,6282.
781.,6282.
782.,6282.
783.,6281.
784.,6282.
785.,6282.
786.,6285.
787.,6283.
788.,6281.
789.,6284.
790.,6283.
791.,6285.
792.,6287.
793.,6284.
794.,6285.
795.,6283.
796.,6281.
797.,6285.
798.,6286.
799.,6282.
800.,6279.
801.,6279.
802.,6282.
803.,6285.
804.,6282.
805.,6279.
806.,6280.
807.,6279.
808.,6281.
809.,6280.
810.,6281.
811.,6285.
812.,6285.
813.,6287.
814.,6287.
815.,6288.
816.,6289.
817.,6288.
818.,6287.
819.,6284.
820.,6283.
821.,6283.
822.,6279.
823.,6279.
824.,6280.
825.,6277.
826.,6283.
827.,6282.
828.,6284.
829.,6282.
830.,6285.
831.,6284.
832.,6284.
833.,6284.
834.,6285.
835.,6284.
836.,6284.
837.,6284.
838.,6283.
839.,6278.
840.,6277.
841.,6274.
842.,6276.
843.,6275.
844.,6275.
845.,6273.
846.,6274.
847.,6273.
848.,6275.
849.,6273.
850.,6272.
851.,6272.
852.,6271.
853.,6274.
854.,6272.
855.,6271.
856.,6269.
857.,6270.
858.,6268.
859.,6267.
860.,6265.
861.,6267.
862.,6262.
863.,6262.
864.,6260.
865.,6258.
866.,6255.
867.,6254.
868.,6253.
869.,6251.
870.,6252.
871.,6253.
872.,6257.
873.,6258.
874.,6257.
875.,6256.
876.,6253.
877.,6252.
878.,6253.
879.,6254.
880.,6252.
881.,6255.
882.,6254.
883.,6252.
884.,6252.
885.,6252.
886.,6251.
887.,6252.
888.,6254.
889.,6254.
890.,6254.
891.,6252.
892.,6251.
893.,6253.
894.,6253.
895.,6251.
896.,6252.
897.,6252.
898.,6253.
899.,6251.
900.,6252.
901.,6254.
902.,6252.
903.,6249.
904.,6248.
905.,6246.
906.,6246.
907.,6243.
908.,6245.
909.,6240.
910.,6239.
911.,6242.
912.,6241.
913.,6242.
914.,6241.
915.,6239.
916.,6237.
917.,6236.
918.,6235.
919.,6233.
920.,6233.
921.,6230.
922.,6228.
923.,6227.
924.,6229.
925.,6227.
926.,6225.
927.,6223.
928.,6220.
929.,6219.
