TotalArea_x,TotalArea_y
0.,2457.
1.,2473.
2.,2500.
3.,2522.
4.,2991.
5.,3523.
6.,3900.
7.,4302.
8.,4801.
9.,5265.
10.,5678.
11.,5866.
12.,5984.
13.,6018.
14.,6050.
15.,6073.
16.,6071.
17.,6078.
18.,6077.
19.,6078.
20.,6075.
21.,6083.
22.,6092.
23.,6094.
24.,6099.
25.,6093.
26.,6097.
27.,6102.
28.,6108.
29.,6117.
30.,6111.
31.,6115.
32.,6118.
33.,6120.
34.,6117.
35.,6116.
36.,6119.
37.,6117.
38.,6116.
39.,6116.
40.,6118.
41.,6116.
42.,6119.
43.,6118.
44.,6124.
45.,6123.
46.,6125.
47.,6127.
48.,6128.
49.,6130.
50.,6131.
51.,6133.
52.,6137.
53.,6137.
54.,6137.
55.,6137.
56.,6138.
57.,6138.
58.,6137.
59.,6137.
60.,6137.
61.,6138.
62.,6140.
63.,6141.
64.,6140.
65.,6139.
66.,6140.
67.,6140.
68.,6139.
69.,6143.
70.,6142.
71.,6143.
72.,6142.
73.,6142.
74.,6141.
75.,6144.
76.,6144.
77.,6147.
78.,6149.
79.,6149.
80.,6153.
81.,6155.
82.,6154.
83.,6155.
84.,6157.
85.,6156.
86.,6160.
87.,6163.
88.,6164.
89.,6166.
90.,6170.
91.,6170.
92.,6171.
93.,6170.
94.,6172.
95.,6173.
96.,6177.
97.,6176.
98.,6176.
99.,6178.
100.,6179.
101.,6179.
102.,6179.
103.,6179.
104.,6180.
105.,6182.
106.,6180.
107.,6178.
108.,6179.
109.,6178.
110.,6178.
111.,6180.
112.,6181.
113.,6182.
114.,6183.
115.,6183.
116.,6183.
117.,6182.
118.,6182.
119.,6182.
120.,6182.
121.,6183.
122.,6184.
123.,6186.
124.,6186.
125.,6187.
126.,6185.
127.,6186.
128.,6187.
129.,6188.
130.,6188.
131.,6188.
132.,6189.
133.,6190.
134.,6190.
135.,6190.
136.,6189.
137.,6189.
138.,6191.
139.,6192.
140.,6191.
141.,6191.
142.,6189.
143.,6193.
144.,6196.
145.,6195.
146.,6194.
147.,6194.
148.,6192.
149.,6195.
150.,6195.
151.,6196.
152.,6195.
153.,6195.
154.,6195.
155.,6194.
156.,6193.
157.,6192.
158.,6192.
159.,6191.
160.,6191.
161.,6192.
162.,6194.
163.,6195.
164.,6195.
165.,6196.
166.,6197.
167.,6194.
168.,6195.
169.,6195.
170.,6196.
171.,6196.
172.,6197.
173.,6197.
174.,6196.
175.,6198.
176.,6198.
177.,6201.
178.,6201.
179.,6201.
180.,6202.
181.,6202.
182.,6202.
183.,6204.
184.,6203.
185.,6203.
186.,6203.
187.,6202.
188.,6204.
189.,6205.
190.,6205.
191.,6204.
192.,6204.
193.,6204.
194.,6205.
195.,6205.
196.,6207.
197.,6209.
198.,6209.
199.,6209.
200.,6210.
201.,6210.
202.,6210.
203.,6210.
204.,6213.
205.,6214.
206.,6215.
207.,6215.
208.,6216.
209.,6219.
210.,6221.
211.,6221.
212.,6225.
213.,6224.
214.,6226.
215.,6226.
216.,6227.
217.,6227.
218.,6228.
219.,6227.
220.,6229.
221.,6227.
222.,6228.
223.,6228.
224.,6230.
225.,6232.
226.,6233.
227.,6234.
228.,6233.
229.,6234.
230.,6235.
231.,6235.
232.,6235.
233.,6233.
234.,6235.
235.,6235.
236.,6234.
237.,6234.
238.,6235.
239.,6233.
240.,6234.
241.,6233.
242.,6233.
243.,6233.
244.,6231.
245.,6230.
246.,6228.
247.,6227.
248.,6225.
249.,6227.
250.,6225.
251.,6224.
252.,6225.
253.,6225.
254.,6224.
255.,6226.
256.,6227.
257.,6225.
258.,6225.
259.,6226.
260.,6226.
261.,6225.
262.,6223.
263.,6223.
264.,6221.
265.,6221.
266.,6220.
267.,6220.
268.,6217.
269.,6214.
270.,6210.
271.,6209.
272.,6209.
273.,6206.
274.,6204.
275.,6205.
276.,6207.
277.,6205.
278.,6204.
279.,6202.
280.,6202.
281.,6199.
282.,6200.
283.,6200.
284.,6198.
285.,6198.
286.,6196.
287.,6195.
288.,6199.
289.,6197.
290.,6197.
291.,6196.
292.,6195.
293.,6195.
294.,6191.
295.,6188.
296.,6187.
297.,6185.
298.,6183.
299.,6179.
300.,6177.
301.,6175.
302.,6173.
303.,6170.
304.,6168.
305.,6165.
306.,6163.
307.,6160.
308.,6158.
309.,6154.
310.,6152.
311.,6151.
312.,6148.
313.,6147.
314.,6148.
315.,6148.
316.,6146.
317.,6143.
318.,6141.
319.,6139.
320.,6137.
321.,6131.
322.,6128.
323.,6124.
324.,6121.
325.,6116.
326.,6114.
327.,6112.
328.,6108.
329.,6109.
330.,6109.
331.,6109.
332.,6108.
333.,6108.
334.,6106.
335.,6104.
336.,6105.
337.,6108.
338.,6108.
339.,6109.
340.,6109.
341.,6108.
342.,6108.
343.,6108.
344.,6109.
345.,6108.
346.,6109.
347.,6108.
348.,6109.
349.,6109.
350.,6111.
351.,6111.
352.,6110.
353.,6113.
354.,6114.
355.,6113.
356.,6112.
357.,6112.
358.,6114.
359.,6112.
360.,6115.
361.,6117.
362.,6116.
363.,6112.
364.,6112.
365.,6113.
366.,6113.
367.,6115.
368.,6114.
369.,6116.
370.,6116.
371.,6117.
372.,6117.
373.,6117.
374.,6117.
375.,6118.
376.,6119.
377.,6121.
378.,6121.
379.,6121.
380.,6123.
381.,6123.
382.,6123.
383.,6123.
384.,6123.
385.,6122.
386.,6123.
387.,6123.
388.,6125.
389.,6126.
390.,6126.
391.,6126.
392.,6127.
393.,6127.
394.,6125.
395.,6126.
396.,6127.
397.,6127.
398.,6127.
399.,6127.
400.,6128.
401.,6128.
402.,6129.
403.,6128.
404.,6129.
405.,6129.
406.,6129.
407.,6129.
408.,6131.
409.,6130.
410.,6130.
411.,6131.
412.,6132.
413.,6132.
414.,6132.
415.,6132.
416.,6132.
417.,6132.
418.,6133.
419.,6133.
420.,6133.
421.,6132.
422.,6132.
423.,6132.
424.,6132.
425.,6132.
426.,6132.
427.,6132.
428.,6133.
429.,6132.
430.,6133.
431.,6134.
432.,6135.
433.,6135.
434.,6134.
435.,6135.
436.,6135.
437.,6135.
438.,6134.
439.,6133.
440.,6134.
441.,6135.
442.,6135.
443.,6135.
444.,6135.
445.,6135.
446.,6136.
447.,6136.
448.,6136.
449.,6135.
450.,6136.
451.,6138.
452.,6137.
453.,6139.
454.,6138.
455.,6140.
456.,6140.
457.,6140.
458.,6141.
459.,6141.
460.,6140.
461.,6138.
462.,6140.
463.,6139.
464.,6138.
465.,6135.
466.,6135.
467.,6136.
468.,6135.
469.,6135.
470.,6136.
471.,6136.
472.,6137.
473.,6135.
474.,6135.
475.,6135.
476.,6135.
477.,6135.
478.,6136.
479.,6136.
480.,6133.
481.,6134.
482.,6134.
483.,6132.
484.,6131.
485.,6130.
486.,6129.
487.,6126.
488.,6126.
489.,6128.
490.,6130.
491.,6130.
492.,6128.
493.,6130.
494.,6130.
495.,6132.
496.,6129.
497.,6129.
498.,6129.
499.,6128.
500.,6126.
501.,6125.
502.,6123.
503.,6123.
504.,6126.
505.,6127.
506.,6127.
507.,6124.
508.,6124.
509.,6124.
510.,6127.
511.,6129.
512.,6130.
513.,6131.
514.,6133.
515.,6133.
516.,6135.
517.,6135.
518.,6137.
519.,6138.
520.,6137.
521.,6132.
522.,6133.
523.,6133.
524.,6133.
525.,6134.
526.,6135.
527.,6138.
528.,6138.
529.,6138.
530.,6140.
531.,6144.
532.,6146.
533.,6147.
534.,6146.
535.,6147.
536.,6148.
537.,6149.
538.,6151.
539.,6151.
540.,6152.
541.,6151.
542.,6151.
543.,6151.
544.,6152.
545.,6152.
546.,6152.
547.,6153.
548.,6153.
549.,6153.
550.,6154.
551.,6154.
552.,6154.
553.,6155.
554.,6156.
555.,6156.
556.,6156.
557.,6156.
558.,6156.
559.,6156.
560.,6156.
561.,6155.
562.,6154.
563.,6157.
564.,6158.
565.,6160.
566.,6160.
567.,6162.
568.,6165.
569.,6164.
570.,6163.
571.,6165.
572.,6164.
573.,6165.
574.,6168.
575.,6170.
576.,6169.
577.,6169.
578.,6168.
579.,6168.
580.,6167.
581.,6167.
582.,6169.
583.,6170.
584.,6169.
585.,6168.
586.,6169.
587.,6169.
588.,6169.
589.,6169.
590.,6169.
591.,6169.
592.,6169.
593.,6171.
594.,6170.
595.,6171.
596.,6172.
597.,6171.
598.,6170.
599.,6169.
600.,6169.
601.,6170.
602.,6170.
603.,6169.
604.,6171.
605.,6169.
606.,6168.
607.,6169.
608.,6170.
609.,6171.
610.,6169.
611.,6171.
612.,6171.
613.,6173.
614.,6171.
615.,6172.
616.,6172.
617.,6172.
618.,6173.
619.,6173.
620.,6174.
621.,6174.
622.,6174.
623.,6174.
624.,6175.
625.,6175.
626.,6175.
627.,6177.
628.,6177.
629.,6178.
630.,6178.
631.,6179.
632.,6178.
633.,6178.
634.,6179.
635.,6179.
636.,6179.
637.,6180.
638.,6180.
639.,6180.
640.,6180.
641.,6180.
642.,6181.
643.,6180.
644.,6182.
645.,6185.
646.,6185.
647.,6185.
648.,6186.
649.,6186.
650.,6186.
651.,6187.
652.,6188.
653.,6189.
654.,6191.
655.,6191.
656.,6191.
657.,6193.
658.,6194.
659.,6195.
660.,6195.
661.,6197.
662.,6196.
663.,6196.
664.,6197.
665.,6197.
666.,6198.
667.,6198.
668.,6200.
669.,6200.
670.,6198.
671.,6196.
672.,6198.
673.,6199.
674.,6198.
675.,6199.
676.,6199.
677.,6201.
678.,6200.
679.,6199.
680.,6200.
681.,6204.
682.,6204.
683.,6204.
684.,6205.
685.,6207.
686.,6207.
687.,6207.
688.,6210.
689.,6208.
690.,6208.
691.,6212.
692.,6211.
693.,6210.
694.,6211.
695.,6212.
696.,6212.
697.,6214.
698.,6216.
699.,6217.
700.,6219.
701.,6221.
702.,6222.
703.,6221.
704.,6224.
705.,6223.
706.,6224.
707.,6225.
708.,6224.
709.,6223.
710.,6224.
711.,6223.
712.,6223.
713.,6224.
714.,6225.
715.,6225.
716.,6228.
717.,6231.
718.,6231.
719.,6230.
720.,6233.
721.,6233.
722.,6235.
723.,6234.
724.,6235.
725.,6235.
726.,6235.
727.,6234.
728.,6236.
729.,6236.
730.,6237.
731.,6236.
732.,6236.
733.,6237.
734.,6236.
735.,6236.
736.,6235.
737.,6237.
738.,6238.
739.,6237.
740.,6238.
741.,6238.
742.,6238.
743.,6238.
744.,6238.
745.,6238.
746.,6238.
747.,6239.
748.,6239.
749.,6239.
750.,6239.
751.,6238.
752.,6242.
753.,6244.
754.,6248.
755.,6250.
756.,6251.
757.,6251.
758.,6250.
759.,6248.
760.,6246.
761.,6246.
