TotalArea_x,TotalArea_y
0.,2457.
1.,2480.
2.,2500.
3.,2528.
4.,3009.
5.,3525.
6.,3936.
7.,4373.
8.,4810.
9.,5240.
10.,5638.
11.,5839.
12.,5923.
13.,5984.
14.,6016.
15.,6039.
16.,6064.
17.,6062.
18.,6069.
19.,6068.
20.,6067.
21.,6072.
22.,6075.
23.,6079.
24.,6081.
25.,6078.
26.,6078.
27.,6079.
28.,6081.
29.,6081.
30.,6084.
31.,6084.
32.,6086.
33.,6089.
34.,6088.
35.,6087.
36.,6092.
37.,6092.
38.,6095.
39.,6097.
40.,6098.
41.,6097.
42.,6096.
43.,6098.
44.,6097.
45.,6098.
46.,6101.
47.,6101.
48.,6102.
49.,6104.
50.,6104.
51.,6107.
52.,6107.
53.,6109.
54.,6108.
55.,6107.
56.,6108.
57.,6108.
58.,6106.
59.,6105.
60.,6104.
61.,6105.
62.,6104.
63.,6104.
64.,6103.
65.,6102.
66.,6101.
67.,6101.
68.,6101.
69.,6100.
70.,6102.
71.,6104.
72.,6104.
73.,6104.
74.,6104.
75.,6103.
76.,6103.
77.,6104.
78.,6104.
79.,6104.
80.,6104.
81.,6105.
82.,6105.
83.,6105.
84.,6104.
85.,6105.
86.,6105.
87.,6106.
88.,6107.
89.,6107.
90.,6109.
91.,6108.
92.,6110.
93.,6111.
94.,6112.
95.,6113.
96.,6113.
97.,6114.
98.,6115.
99.,6114.
100.,6114.
101.,6114.
102.,6115.
103.,6115.
104.,6118.
105.,6118.
106.,6119.
107.,6119.
108.,6121.
109.,6123.
110.,6124.
111.,6125.
112.,6125.
113.,6128.
114.,6128.
115.,6130.
116.,6135.
117.,6136.
118.,6136.
119.,6136.
120.,6134.
121.,6135.
122.,6135.
123.,6136.
124.,6135.
125.,6135.
126.,6136.
127.,6137.
128.,6138.
129.,6138.
130.,6137.
131.,6137.
132.,6137.
133.,6138.
134.,6137.
135.,6138.
136.,6139.
137.,6140.
138.,6140.
139.,6140.
140.,6138.
141.,6140.
142.,6142.
143.,6142.
144.,6143.
145.,6143.
146.,6143.
147.,6144.
148.,6144.
149.,6144.
150.,6144.
151.,6144.
152.,6144.
153.,6145.
154.,6145.
155.,6144.
156.,6144.
157.,6143.
158.,6145.
159.,6147.
160.,6148.
161.,6150.
162.,6150.
163.,6149.
164.,6148.
165.,6149.
166.,6151.
167.,6151.
168.,6152.
169.,6154.
170.,6156.
171.,6158.
172.,6158.
173.,6160.
174.,6160.
175.,6162.
176.,6162.
177.,6163.
178.,6164.
179.,6164.
180.,6164.
181.,6164.
182.,6164.
183.,6164.
184.,6165.
185.,6165.
186.,6166.
187.,6166.
188.,6166.
189.,6166.
190.,6166.
191.,6167.
192.,6167.
193.,6167.
194.,6167.
195.,6167.
196.,6167.
197.,6167.
198.,6166.
199.,6166.
200.,6166.
201.,6167.
202.,6167.
203.,6167.
204.,6168.
205.,6168.
206.,6168.
207.,6169.
208.,6169.
209.,6169.
210.,6169.
211.,6169.
212.,6169.
213.,6170.
214.,6171.
215.,6171.
216.,6172.
217.,6172.
218.,6172.
219.,6172.
220.,6173.
221.,6174.
222.,6174.
223.,6176.
224.,6178.
225.,6180.
226.,6182.
227.,6183.
228.,6183.
229.,6183.
230.,6183.
231.,6184.
232.,6184.
233.,6184.
234.,6185.
235.,6186.
236.,6186.
237.,6186.
238.,6186.
