TotalArea_x,TotalArea_y
0.,2457.
1.,2483.
2.,2511.
3.,2535.
4.,2996.
5.,3487.
6.,3890.
7.,4379.
8.,4850.
9.,5270.
10.,5697.
11.,5888.
12.,5976.
13.,6021.
14.,6049.
15.,6056.
16.,6048.
17.,6060.
18.,6079.
19.,6082.
20.,6087.
21.,6091.
22.,6091.
23.,6102.
24.,6106.
25.,6103.
26.,6110.
27.,6113.
28.,6109.
29.,6108.
30.,6112.
31.,6115.
32.,6118.
33.,6123.
34.,6126.
35.,6130.
36.,6126.
37.,6126.
38.,6130.
39.,6130.
40.,6132.
41.,6132.
42.,6135.
43.,6141.
44.,6140.
45.,6137.
46.,6137.
47.,6137.
48.,6138.
49.,6140.
50.,6143.
51.,6148.
52.,6148.
53.,6147.
54.,6149.
55.,6151.
56.,6151.
57.,6150.
58.,6152.
59.,6153.
60.,6154.
61.,6153.
62.,6154.
63.,6153.
64.,6154.
65.,6157.
66.,6157.
67.,6157.
68.,6158.
69.,6159.
70.,6161.
71.,6160.
72.,6161.
73.,6161.
74.,6161.
75.,6162.
76.,6164.
77.,6164.
78.,6164.
79.,6167.
80.,6168.
81.,6170.
82.,6170.
83.,6171.
84.,6173.
85.,6174.
86.,6175.
87.,6177.
88.,6176.
89.,6178.
90.,6177.
91.,6178.
92.,6177.
93.,6176.
94.,6177.
95.,6176.
96.,6178.
97.,6178.
98.,6179.
99.,6179.
100.,6179.
101.,6179.
102.,6177.
103.,6177.
104.,6177.
105.,6178.
106.,6179.
107.,6179.
108.,6180.
109.,6185.
110.,6183.
111.,6183.
112.,6183.
113.,6179.
114.,6181.
115.,6180.
116.,6184.
117.,6183.
118.,6181.
119.,6181.
120.,6181.
121.,6183.
122.,6182.
123.,6186.
124.,6187.
125.,6191.
126.,6187.
127.,6190.
128.,6194.
129.,6194.
130.,6194.
131.,6195.
132.,6194.
133.,6195.
134.,6194.
135.,6195.
136.,6197.
137.,6196.
138.,6191.
139.,6190.
140.,6192.
141.,6190.
142.,6190.
143.,6190.
144.,6190.
145.,6190.
146.,6191.
147.,6195.
148.,6196.
149.,6199.
150.,6198.
151.,6201.
152.,6202.
153.,6202.
154.,6203.
155.,6205.
156.,6205.
157.,6205.
158.,6206.
159.,6206.
160.,6207.
161.,6207.
162.,6206.
163.,6207.
164.,6207.
165.,6208.
166.,6208.
167.,6209.
168.,6211.
169.,6211.
170.,6211.
171.,6211.
172.,6212.
173.,6212.
174.,6215.
175.,6214.
176.,6213.
177.,6214.
178.,6215.
179.,6215.
180.,6216.
181.,6218.
182.,6219.
183.,6220.
184.,6220.
185.,6223.
186.,6223.
187.,6223.
188.,6224.
189.,6224.
190.,6223.
191.,6224.
192.,6224.
193.,6224.
194.,6225.
195.,6225.
196.,6227.
197.,6228.
198.,6228.
199.,6228.
200.,6227.
201.,6227.
202.,6227.
203.,6227.
204.,6229.
205.,6231.
206.,6233.
207.,6236.
208.,6238.
209.,6240.
210.,6242.
211.,6242.
212.,6243.
213.,6242.
214.,6242.
215.,6244.
216.,6242.
217.,6242.
218.,6240.
219.,6235.
220.,6236.
221.,6234.
222.,6232.
223.,6234.
224.,6235.
225.,6235.
226.,6237.
227.,6239.
228.,6240.
229.,6238.
230.,6238.
231.,6238.
232.,6239.
233.,6240.
234.,6242.
235.,6243.
236.,6242.
237.,6242.
238.,6241.
239.,6240.
240.,6240.
241.,6238.
242.,6238.
243.,6239.
244.,6240.
245.,6241.
246.,6241.
247.,6242.
248.,6244.
249.,6244.
250.,6241.
251.,6242.
252.,6240.
253.,6240.
254.,6240.
255.,6237.
256.,6236.
257.,6237.
