TotalArea_x,TotalArea_y
0.,2457.
1.,2483.
2.,2507.
3.,2530.
4.,3014.
5.,3563.
6.,3964.
7.,4371.
8.,4823.
9.,5225.
10.,5639.
11.,5844.
12.,5955.
13.,6025.
14.,6071.
15.,6082.
16.,6093.
17.,6103.
18.,6099.
19.,6098.
20.,6114.
21.,6112.
22.,6118.
23.,6121.
24.,6115.
25.,6112.
26.,6118.
27.,6121.
28.,6124.
29.,6124.
30.,6127.
31.,6123.
32.,6120.
33.,6119.
34.,6120.
35.,6126.
36.,6124.
37.,6123.
38.,6126.
39.,6127.
40.,6129.
41.,6131.
42.,6129.
43.,6132.
44.,6132.
45.,6133.
46.,6133.
47.,6131.
48.,6129.
49.,6130.
50.,6133.
51.,6133.
52.,6135.
53.,6137.
54.,6138.
55.,6138.
56.,6138.
57.,6140.
58.,6140.
59.,6140.
60.,6140.
61.,6143.
62.,6140.
63.,6143.
64.,6145.
65.,6147.
66.,6148.
67.,6150.
68.,6152.
69.,6153.
70.,6155.
71.,6158.
72.,6158.
73.,6158.
74.,6158.
75.,6158.
76.,6158.
77.,6158.
78.,6156.
79.,6156.
80.,6156.
81.,6158.
82.,6159.
83.,6159.
84.,6159.
85.,6160.
86.,6159.
87.,6159.
88.,6159.
89.,6159.
90.,6159.
91.,6159.
92.,6159.
93.,6159.
94.,6159.
95.,6158.
96.,6158.
97.,6159.
98.,6158.
99.,6159.
100.,6159.
101.,6160.
102.,6161.
103.,6161.
104.,6161.
105.,6161.
106.,6162.
107.,6162.
108.,6163.
109.,6163.
110.,6162.
111.,6161.
112.,6159.
113.,6159.
114.,6159.
115.,6158.
116.,6159.
117.,6159.
118.,6162.
119.,6161.
120.,6161.
121.,6162.
122.,6163.
123.,6164.
124.,6164.
125.,6163.
126.,6164.
127.,6164.
128.,6164.
129.,6164.
130.,6163.
131.,6163.
132.,6163.
133.,6161.
134.,6162.
135.,6162.
136.,6162.
137.,6163.
138.,6162.
139.,6162.
140.,6163.
141.,6165.
142.,6165.
143.,6165.
144.,6165.
145.,6168.
146.,6169.
147.,6169.
148.,6169.
149.,6169.
150.,6169.
151.,6170.
152.,6171.
153.,6171.
154.,6172.
155.,6172.
156.,6172.
157.,6172.
158.,6172.
159.,6173.
160.,6172.
161.,6173.
162.,6173.
163.,6173.
164.,6175.
165.,6175.
166.,6175.
167.,6175.
168.,6175.
169.,6175.
170.,6178.
171.,6178.
172.,6179.
173.,6181.
174.,6181.
175.,6180.
176.,6182.
177.,6184.
178.,6184.
179.,6185.
180.,6186.
181.,6187.
182.,6186.
183.,6186.
184.,6187.
185.,6189.
186.,6191.
187.,6194.
188.,6196.
189.,6196.
190.,6195.
191.,6194.
192.,6195.
193.,6195.
194.,6197.
195.,6198.
196.,6200.
197.,6201.
198.,6199.
199.,6200.
200.,6202.
201.,6199.
202.,6203.
203.,6203.
204.,6203.
205.,6204.
206.,6205.
207.,6205.
208.,6206.
209.,6209.
210.,6211.
211.,6214.
212.,6214.
213.,6215.
214.,6214.
215.,6215.
216.,6216.
217.,6217.
218.,6217.
219.,6219.
220.,6222.
221.,6222.
222.,6225.
223.,6223.
224.,6225.
225.,6223.
226.,6224.
227.,6224.
228.,6226.
229.,6227.
230.,6227.
231.,6227.
232.,6231.
233.,6230.
234.,6230.
235.,6230.
236.,6231.
237.,6231.
238.,6229.
239.,6228.
240.,6227.
241.,6228.
242.,6227.
243.,6228.
244.,6228.
245.,6229.
246.,6229.
247.,6230.
248.,6231.
249.,6231.
250.,6230.
251.,6227.
252.,6225.
253.,6226.
254.,6227.
255.,6226.
256.,6227.
257.,6228.
