TotalArea_x,TotalArea_y
0.,2457.
1.,2476.
2.,2499.
3.,2516.
4.,2994.
5.,3566.
6.,3963.
7.,4371.
8.,4842.
9.,5248.
10.,5671.
11.,5859.
12.,5968.
13.,6017.
14.,6059.
15.,6080.
16.,6097.
17.,6116.
18.,6125.
19.,6127.
20.,6127.
21.,6125.
22.,6124.
23.,6123.
24.,6130.
25.,6136.
26.,6136.
27.,6141.
28.,6144.
29.,6140.
30.,6139.
31.,6140.
32.,6141.
33.,6142.
34.,6144.
35.,6142.
36.,6139.
37.,6137.
38.,6137.
39.,6138.
40.,6139.
41.,6142.
42.,6142.
43.,6142.
44.,6143.
45.,6143.
46.,6144.
47.,6145.
48.,6145.
49.,6145.
50.,6145.
51.,6145.
52.,6145.
53.,6146.
54.,6146.
55.,6146.
56.,6146.
57.,6146.
58.,6145.
59.,6145.
60.,6145.
61.,6144.
62.,6145.
63.,6144.
64.,6144.
65.,6145.
66.,6148.
67.,6149.
68.,6150.
69.,6150.
70.,6152.
71.,6152.
72.,6153.
73.,6154.
74.,6155.
75.,6156.
76.,6155.
77.,6156.
78.,6160.
79.,6159.
80.,6159.
81.,6159.
82.,6159.
83.,6160.
84.,6160.
85.,6162.
86.,6162.
87.,6163.
88.,6163.
89.,6164.
90.,6162.
91.,6163.
92.,6163.
93.,6160.
94.,6159.
95.,6159.
96.,6159.
97.,6161.
98.,6160.
99.,6161.
100.,6163.
101.,6163.
102.,6168.
103.,6169.
104.,6173.
105.,6173.
106.,6174.
107.,6179.
108.,6180.
109.,6179.
110.,6179.
111.,6180.
112.,6183.
113.,6184.
114.,6185.
115.,6185.
116.,6183.
117.,6180.
118.,6181.
119.,6181.
120.,6182.
121.,6185.
122.,6185.
123.,6185.
124.,6184.
125.,6186.
126.,6186.
127.,6187.
128.,6188.
129.,6188.
130.,6188.
131.,6189.
132.,6191.
133.,6191.
134.,6191.
135.,6191.
136.,6187.
137.,6189.
138.,6187.
139.,6192.
140.,6191.
141.,6189.
142.,6190.
143.,6191.
144.,6191.
145.,6192.
146.,6192.
147.,6191.
148.,6194.
149.,6196.
150.,6195.
151.,6197.
152.,6196.
153.,6197.
154.,6197.
155.,6196.
156.,6200.
157.,6201.
158.,6200.
159.,6201.
160.,6203.
161.,6202.
162.,6204.
163.,6203.
164.,6202.
165.,6204.
166.,6204.
167.,6206.
168.,6206.
169.,6205.
170.,6206.
171.,6207.
172.,6206.
173.,6206.
174.,6207.
175.,6207.
176.,6208.
177.,6210.
178.,6210.
179.,6210.
180.,6211.
181.,6211.
182.,6213.
183.,6214.
184.,6215.
185.,6215.
186.,6217.
187.,6215.
188.,6216.
189.,6218.
190.,6217.
191.,6221.
192.,6222.
193.,6226.
194.,6227.
195.,6227.
196.,6227.
197.,6228.
198.,6229.
199.,6229.
200.,6230.
201.,6231.
202.,6229.
203.,6229.
204.,6231.
205.,6229.
206.,6228.
207.,6227.
208.,6227.
209.,6227.
210.,6229.
211.,6229.
212.,6229.
213.,6229.
214.,6230.
215.,6230.
216.,6231.
217.,6230.
218.,6230.
219.,6232.
220.,6232.
221.,6232.
222.,6232.
223.,6233.
224.,6233.
225.,6234.
226.,6234.
227.,6234.
228.,6234.
229.,6234.
230.,6234.
231.,6234.
232.,6233.
233.,6233.
234.,6234.
235.,6235.
236.,6235.
237.,6235.
238.,6234.
239.,6233.
240.,6233.
241.,6232.
242.,6233.
243.,6231.
244.,6233.
245.,6234.
246.,6234.
247.,6232.
248.,6233.
249.,6233.
250.,6233.
251.,6233.
252.,6232.
253.,6231.
254.,6231.
255.,6231.
256.,6232.
257.,6232.
258.,6232.
259.,6232.
260.,6232.
261.,6232.
262.,6235.
263.,6235.
264.,6235.
265.,6236.
266.,6238.
267.,6239.
268.,6240.
269.,6241.
270.,6241.
271.,6240.
272.,6238.
273.,6237.
274.,6240.
275.,6240.
276.,6242.
277.,6246.
278.,6245.
279.,6245.
280.,6247.
281.,6248.
282.,6249.
283.,6249.
284.,6248.
285.,6248.
286.,6250.
287.,6250.
288.,6249.
289.,6252.
290.,6255.
291.,6257.
292.,6258.
293.,6257.
294.,6257.
295.,6258.
296.,6261.
297.,6261.
298.,6261.
299.,6263.
300.,6263.
301.,6262.
302.,6263.
303.,6263.
304.,6266.
305.,6266.
306.,6269.
307.,6270.
308.,6271.
309.,6271.
310.,6272.
311.,6273.
312.,6273.
313.,6273.
314.,6273.
315.,6275.
316.,6276.
317.,6276.
318.,6278.
319.,6277.
320.,6278.
321.,6278.
322.,6279.
323.,6280.
324.,6280.
325.,6282.
326.,6282.
327.,6282.
328.,6282.
329.,6282.
330.,6282.
331.,6282.
332.,6282.
333.,6281.
334.,6281.
335.,6282.
336.,6284.
337.,6284.
338.,6283.
339.,6283.
340.,6286.
341.,6287.
342.,6288.
343.,6289.
344.,6290.
345.,6290.
346.,6290.
347.,6290.
348.,6290.
349.,6290.
350.,6290.
351.,6290.
352.,6291.
353.,6290.
354.,6291.
355.,6291.
356.,6291.
357.,6291.
358.,6291.
359.,6291.
360.,6291.
361.,6291.
362.,6290.
363.,6290.
364.,6290.
365.,6290.
366.,6290.
367.,6290.
368.,6290.
369.,6290.
370.,6290.
371.,6290.
372.,6290.
373.,6289.
374.,6289.
375.,6289.
376.,6289.
377.,6288.
378.,6289.
379.,6290.
380.,6290.
381.,6291.
382.,6291.
383.,6291.
384.,6291.
385.,6291.
386.,6291.
387.,6291.
388.,6290.
389.,6290.
390.,6290.
391.,6290.
392.,6290.
393.,6289.
394.,6289.
395.,6290.
396.,6291.
397.,6292.
398.,6292.
399.,6292.
400.,6292.
401.,6294.
402.,6294.
403.,6294.
404.,6294.
405.,6294.
406.,6294.
407.,6294.
408.,6294.
409.,6294.
410.,6294.
411.,6294.
412.,6294.
413.,6294.
414.,6294.
415.,6294.
416.,6295.
417.,6295.
418.,6295.
419.,6295.
420.,6295.
421.,6296.
422.,6296.
423.,6297.
424.,6297.
425.,6297.
426.,6297.
427.,6297.
428.,6297.
429.,6297.
430.,6297.
431.,6297.
432.,6297.
433.,6298.
434.,6298.
435.,6298.
436.,6298.
437.,6298.
438.,6298.
439.,6298.
440.,6298.
441.,6297.
442.,6298.
443.,6298.
444.,6298.
445.,6298.
446.,6298.
447.,6299.
448.,6301.
449.,6301.
450.,6301.
451.,6301.
