TotalArea_x,TotalArea_y
0.,2457.
1.,2483.
2.,2505.
3.,2531.
4.,2989.
5.,3503.
6.,3915.
7.,4348.
8.,4831.
9.,5244.
10.,5655.
11.,5868.
12.,5975.
13.,6043.
14.,6068.
15.,6070.
16.,6083.
17.,6092.
18.,6088.
19.,6108.
20.,6106.
21.,6102.
22.,6107.
23.,6115.
24.,6113.
25.,6114.
26.,6115.
27.,6115.
28.,6113.
29.,6115.
30.,6118.
31.,6119.
32.,6117.
33.,6117.
34.,6119.
35.,6121.
36.,6124.
37.,6123.
38.,6122.
39.,6121.
40.,6120.
41.,6122.
42.,6124.
43.,6122.
44.,6122.
45.,6122.
46.,6121.
47.,6122.
48.,6123.
49.,6126.
50.,6128.
51.,6127.
52.,6130.
53.,6128.
54.,6130.
55.,6132.
56.,6135.
57.,6137.
58.,6137.
59.,6137.
60.,6139.
61.,6141.
62.,6142.
63.,6145.
64.,6144.
65.,6143.
66.,6144.
67.,6144.
68.,6145.
69.,6146.
70.,6147.
71.,6147.
72.,6148.
73.,6145.
74.,6146.
75.,6147.
76.,6150.
77.,6148.
78.,6152.
79.,6153.
80.,6155.
81.,6155.
82.,6158.
83.,6158.
84.,6159.
85.,6163.
86.,6159.
87.,6160.
88.,6158.
89.,6157.
90.,6159.
91.,6159.
92.,6163.
93.,6163.
94.,6165.
95.,6167.
96.,6166.
97.,6164.
98.,6160.
99.,6160.
100.,6160.
101.,6160.
102.,6162.
103.,6161.
104.,6161.
105.,6162.
106.,6161.
107.,6161.
108.,6163.
109.,6162.
110.,6162.
111.,6162.
112.,6162.
113.,6163.
114.,6163.
115.,6162.
116.,6161.
117.,6162.
118.,6164.
119.,6165.
120.,6166.
121.,6170.
122.,6168.
123.,6170.
124.,6170.
125.,6169.
126.,6169.
127.,6170.
128.,6170.
129.,6172.
130.,6172.
131.,6173.
132.,6173.
133.,6172.
134.,6173.
135.,6174.
136.,6176.
137.,6178.
138.,6179.
139.,6179.
140.,6179.
141.,6179.
142.,6179.
143.,6179.
144.,6180.
145.,6180.
146.,6180.
147.,6179.
148.,6179.
149.,6179.
150.,6179.
151.,6179.
152.,6179.
153.,6179.
154.,6180.
155.,6180.
156.,6180.
157.,6181.
158.,6183.
159.,6185.
160.,6187.
161.,6187.
162.,6187.
163.,6187.
164.,6187.
165.,6189.
166.,6190.
167.,6190.
168.,6191.
169.,6191.
170.,6189.
171.,6189.
172.,6190.
173.,6188.
174.,6187.
175.,6188.
176.,6190.
177.,6191.
178.,6191.
179.,6191.
180.,6192.
181.,6192.
182.,6192.
183.,6192.
184.,6192.
185.,6192.
186.,6192.
187.,6193.
188.,6194.
189.,6194.
190.,6192.
191.,6192.
192.,6192.
193.,6195.
194.,6196.
195.,6196.
196.,6197.
197.,6197.
198.,6197.
199.,6199.
200.,6200.
201.,6200.
202.,6200.
203.,6200.
204.,6200.
205.,6201.
206.,6201.
207.,6201.
208.,6201.
209.,6201.
210.,6202.
211.,6202.
212.,6203.
213.,6203.
214.,6205.
215.,6206.
216.,6207.
217.,6208.
218.,6209.
219.,6209.
220.,6209.
221.,6209.
222.,6209.
223.,6209.
224.,6209.
225.,6209.
226.,6210.
227.,6210.
228.,6210.
229.,6210.
230.,6210.
231.,6210.
232.,6210.
233.,6209.
234.,6208.
235.,6207.
236.,6207.
237.,6206.
238.,6206.
239.,6205.
240.,6205.
241.,6204.
242.,6204.
243.,6204.
244.,6205.
245.,6205.
246.,6205.
247.,6203.
248.,6203.
249.,6204.
250.,6205.
251.,6204.
252.,6205.
253.,6205.
254.,6204.
255.,6203.
256.,6202.
257.,6199.
