TotalArea_x,TotalArea_y
0.,2457.
1.,2479.
2.,2505.
3.,2522.
4.,2993.
5.,3522.
6.,3909.
7.,4349.
8.,4831.
9.,5258.
10.,5643.
11.,5860.
12.,5954.
13.,5991.
14.,6035.
15.,6052.
16.,6056.
17.,6076.
18.,6089.
19.,6091.
20.,6096.
21.,6104.
22.,6106.
23.,6104.
24.,6109.
25.,6109.
26.,6114.
27.,6111.
28.,6111.
29.,6111.
30.,6110.
31.,6116.
32.,6118.
33.,6120.
34.,6120.
35.,6122.
36.,6124.
37.,6129.
38.,6131.
39.,6133.
40.,6130.
41.,6134.
42.,6130.
43.,6129.
44.,6128.
45.,6129.
46.,6124.
47.,6125.
48.,6126.
49.,6128.
50.,6129.
51.,6128.
52.,6126.
53.,6128.
54.,6127.
55.,6127.
56.,6127.
57.,6128.
58.,6127.
59.,6129.
60.,6129.
61.,6131.
62.,6131.
63.,6132.
64.,6134.
65.,6137.
66.,6137.
67.,6136.
68.,6136.
69.,6140.
70.,6144.
71.,6147.
72.,6148.
73.,6151.
74.,6155.
75.,6156.
76.,6156.
77.,6161.
78.,6161.
79.,6166.
80.,6168.
81.,6170.
82.,6172.
83.,6171.
84.,6172.
85.,6173.
86.,6174.
87.,6174.
88.,6174.
89.,6176.
90.,6178.
91.,6176.
92.,6176.
93.,6177.
94.,6177.
95.,6177.
96.,6179.
97.,6180.
98.,6180.
99.,6179.
100.,6181.
101.,6182.
102.,6182.
103.,6183.
104.,6183.
105.,6183.
106.,6185.
107.,6184.
108.,6184.
109.,6185.
110.,6187.
111.,6188.
112.,6189.
113.,6189.
114.,6189.
115.,6189.
116.,6190.
117.,6190.
118.,6192.
119.,6191.
120.,6190.
121.,6193.
122.,6195.
123.,6199.
124.,6200.
125.,6199.
126.,6199.
127.,6200.
128.,6200.
129.,6200.
130.,6201.
131.,6201.
132.,6202.
133.,6202.
134.,6202.
135.,6201.
136.,6201.
137.,6200.
138.,6200.
139.,6200.
140.,6200.
141.,6200.
142.,6205.
143.,6211.
144.,6211.
145.,6214.
146.,6218.
147.,6219.
148.,6221.
149.,6222.
150.,6222.
151.,6221.
152.,6222.
153.,6222.
154.,6222.
155.,6222.
156.,6223.
157.,6222.
158.,6222.
159.,6222.
160.,6221.
161.,6221.
162.,6220.
163.,6223.
164.,6223.
165.,6223.
166.,6224.
167.,6223.
168.,6223.
169.,6224.
170.,6223.
171.,6224.
172.,6222.
173.,6222.
174.,6222.
175.,6223.
176.,6225.
177.,6225.
178.,6225.
179.,6225.
180.,6225.
181.,6227.
182.,6228.
183.,6227.
184.,6227.
185.,6227.
186.,6226.
187.,6226.
188.,6225.
189.,6225.
190.,6224.
191.,6225.
192.,6225.
193.,6225.
194.,6224.
195.,6225.
196.,6227.
197.,6227.
198.,6227.
199.,6230.
200.,6229.
201.,6229.
202.,6233.
203.,6233.
204.,6234.
205.,6235.
206.,6235.
207.,6235.
208.,6236.
209.,6240.
210.,6241.
211.,6240.
212.,6245.
213.,6245.
214.,6246.
215.,6247.
216.,6250.
217.,6251.
218.,6253.
219.,6253.
220.,6253.
221.,6254.
222.,6255.
223.,6255.
224.,6255.
225.,6255.
226.,6255.
227.,6256.
228.,6256.
229.,6256.
230.,6256.
231.,6257.
232.,6257.
233.,6258.
234.,6259.
235.,6260.
236.,6263.
237.,6265.
238.,6265.
239.,6265.
240.,6265.
241.,6265.
242.,6264.
243.,6264.
244.,6264.
245.,6264.
246.,6265.
247.,6265.
248.,6265.
249.,6267.
250.,6267.
251.,6267.
252.,6267.
253.,6267.
254.,6268.
255.,6268.
256.,6268.
257.,6268.
258.,6268.
259.,6267.
260.,6268.
261.,6269.
262.,6271.
263.,6271.
264.,6271.
265.,6272.
266.,6271.
267.,6271.
268.,6271.
269.,6271.
270.,6272.
271.,6271.
272.,6272.
273.,6272.
274.,6273.
275.,6271.
276.,6271.
277.,6272.
278.,6275.
279.,6275.
280.,6274.
281.,6276.
282.,6276.
283.,6274.
284.,6275.
285.,6277.
286.,6278.
287.,6278.
288.,6278.
289.,6278.
290.,6279.
291.,6280.
292.,6280.
293.,6280.
294.,6279.
295.,6279.
296.,6279.
297.,6279.
298.,6279.
299.,6279.
300.,6280.
301.,6279.
302.,6280.
303.,6280.
304.,6282.
305.,6281.
306.,6280.
307.,6280.
308.,6280.
309.,6280.
310.,6280.
311.,6280.
312.,6279.
313.,6279.
314.,6279.
315.,6279.
316.,6279.
317.,6279.
318.,6279.
319.,6279.
320.,6281.
321.,6281.
322.,6281.
323.,6281.
324.,6281.
325.,6281.
326.,6281.
327.,6281.
328.,6281.
329.,6281.
330.,6281.
331.,6282.
332.,6282.
333.,6282.
334.,6285.
335.,6286.
336.,6286.
337.,6286.
338.,6286.
339.,6287.
340.,6287.
341.,6287.
342.,6287.
343.,6287.
344.,6287.
345.,6287.
346.,6287.
347.,6288.
348.,6288.
349.,6288.
350.,6288.
351.,6288.
352.,6288.
353.,6287.
354.,6288.
355.,6289.
356.,6289.
357.,6289.
358.,6289.
359.,6289.
360.,6290.
361.,6290.
362.,6291.
363.,6291.
364.,6291.
365.,6291.
366.,6291.
367.,6291.
368.,6291.
369.,6292.
370.,6293.
371.,6294.
372.,6294.
373.,6294.
374.,6296.
375.,6297.
376.,6298.
377.,6298.
378.,6298.
379.,6298.
380.,6299.
381.,6299.
382.,6300.
383.,6301.
384.,6302.
385.,6302.
386.,6303.
387.,6303.
388.,6303.
389.,6303.
390.,6303.
391.,6303.
392.,6303.
393.,6303.
394.,6304.
395.,6304.
396.,6304.
397.,6306.
398.,6306.
399.,6306.
400.,6306.
401.,6306.
402.,6306.
403.,6307.
404.,6307.
405.,6307.
406.,6307.
407.,6308.
408.,6308.
409.,6309.
410.,6309.
411.,6309.
412.,6309.
413.,6309.
414.,6309.
415.,6309.
416.,6309.
417.,6309.
418.,6309.
419.,6309.
420.,6309.
421.,6310.
422.,6310.
423.,6310.
424.,6310.
425.,6310.
426.,6311.
427.,6312.
428.,6312.
429.,6312.
430.,6312.
431.,6312.
432.,6315.
433.,6316.
434.,6317.
435.,6316.
436.,6318.
437.,6318.
438.,6317.
439.,6317.
440.,6319.
441.,6319.
442.,6320.
443.,6322.
444.,6323.
445.,6325.
446.,6326.
447.,6328.
448.,6327.
449.,6327.
450.,6325.
451.,6325.
452.,6325.
453.,6324.
454.,6323.
455.,6323.
456.,6321.
457.,6320.
458.,6319.
459.,6322.
460.,6324.
461.,6322.
462.,6322.
463.,6321.
464.,6323.
465.,6323.
466.,6324.
467.,6327.
468.,6327.
469.,6327.
470.,6327.
471.,6328.
472.,6328.
473.,6328.
474.,6327.
475.,6328.
476.,6329.
477.,6329.
478.,6329.
479.,6330.
480.,6329.
481.,6329.
482.,6329.
483.,6330.
484.,6330.
485.,6330.
486.,6332.
487.,6332.
488.,6332.
489.,6332.
490.,6332.
491.,6332.
492.,6332.
493.,6332.
