TotalArea_x,TotalArea_y
0.,2457.
1.,2479.
2.,2501.
3.,2528.
4.,2985.
5.,3528.
6.,3964.
7.,4378.
8.,4824.
9.,5217.
10.,5621.
11.,5818.
12.,5953.
13.,5998.
14.,6034.
15.,6064.
16.,6072.
17.,6080.
18.,6086.
19.,6093.
20.,6086.
21.,6090.
22.,6087.
23.,6088.
24.,6091.
25.,6093.
26.,6094.
27.,6099.
28.,6103.
29.,6097.
30.,6097.
31.,6094.
32.,6093.
33.,6098.
34.,6098.
35.,6098.
36.,6104.
37.,6104.
38.,6102.
39.,6103.
40.,6102.
41.,6102.
42.,6104.
43.,6107.
44.,6106.
45.,6110.
46.,6111.
47.,6112.
48.,6116.
49.,6117.
50.,6116.
51.,6116.
52.,6117.
53.,6117.
54.,6118.
55.,6118.
56.,6116.
57.,6114.
58.,6114.
59.,6115.
60.,6116.
61.,6116.
62.,6116.
63.,6118.
64.,6118.
65.,6119.
66.,6118.
67.,6118.
68.,6118.
69.,6119.
70.,6118.
71.,6121.
72.,6124.
73.,6124.
74.,6124.
75.,6122.
76.,6124.
77.,6122.
78.,6122.
79.,6124.
80.,6126.
81.,6126.
82.,6127.
83.,6127.
84.,6130.
85.,6134.
86.,6135.
87.,6137.
88.,6139.
89.,6139.
90.,6140.
91.,6140.
92.,6142.
93.,6142.
94.,6142.
95.,6143.
96.,6143.
97.,6143.
98.,6144.
99.,6144.
100.,6144.
101.,6144.
102.,6143.
103.,6147.
104.,6147.
105.,6147.
106.,6148.
107.,6147.
108.,6149.
109.,6149.
110.,6149.
111.,6150.
112.,6150.
113.,6151.
114.,6152.
115.,6154.
116.,6154.
117.,6154.
118.,6155.
119.,6156.
120.,6157.
121.,6156.
122.,6155.
123.,6154.
124.,6154.
125.,6153.
126.,6153.
127.,6153.
128.,6153.
129.,6154.
130.,6155.
131.,6156.
132.,6156.
133.,6155.
134.,6156.
135.,6156.
136.,6155.
137.,6154.
138.,6150.
139.,6151.
140.,6153.
141.,6153.
142.,6153.
143.,6150.
144.,6152.
145.,6153.
146.,6154.
147.,6158.
148.,6157.
149.,6159.
150.,6159.
151.,6159.
152.,6159.
153.,6159.
154.,6159.
155.,6159.
156.,6160.
157.,6161.
158.,6161.
159.,6162.
160.,6163.
161.,6164.
162.,6165.
163.,6165.
164.,6166.
165.,6166.
166.,6166.
167.,6166.
168.,6166.
169.,6166.
170.,6166.
171.,6167.
172.,6169.
173.,6169.
174.,6168.
175.,6169.
176.,6168.
177.,6167.
178.,6169.
179.,6169.
180.,6168.
181.,6168.
182.,6166.
183.,6166.
184.,6166.
185.,6167.
186.,6169.
187.,6170.
188.,6170.
189.,6171.
190.,6171.
191.,6171.
192.,6172.
193.,6173.
194.,6174.
195.,6174.
196.,6175.
197.,6174.
198.,6175.
199.,6174.
200.,6175.
201.,6178.
202.,6179.
203.,6177.
204.,6179.
205.,6181.
206.,6182.
207.,6182.
208.,6182.
209.,6183.
210.,6183.
211.,6183.
212.,6186.
213.,6187.
214.,6188.
215.,6189.
216.,6190.
217.,6189.
218.,6190.
219.,6193.
220.,6193.
221.,6193.
222.,6193.
223.,6193.
224.,6192.
225.,6193.
226.,6193.
227.,6193.
228.,6193.
229.,6193.
230.,6193.
231.,6195.
232.,6197.
233.,6198.
234.,6200.
235.,6199.
236.,6199.
237.,6199.
238.,6199.
239.,6198.
240.,6200.
241.,6200.
242.,6200.
243.,6200.
244.,6200.
245.,6200.
246.,6200.
247.,6200.
248.,6201.
249.,6202.
250.,6203.
251.,6202.
252.,6203.
253.,6202.
254.,6202.
255.,6202.
256.,6203.
257.,6203.
258.,6204.
259.,6204.
260.,6204.
261.,6204.
262.,6204.
263.,6204.
264.,6205.
265.,6207.
266.,6207.
267.,6207.
268.,6208.
269.,6208.
270.,6207.
271.,6208.
272.,6209.
273.,6208.
274.,6208.
275.,6208.
276.,6208.
277.,6208.
278.,6208.
279.,6208.
280.,6208.
281.,6208.
282.,6208.
283.,6208.
284.,6208.
285.,6207.
286.,6207.
287.,6207.
288.,6207.
289.,6207.
290.,6206.
291.,6206.
292.,6207.
293.,6206.
294.,6206.
295.,6206.
296.,6206.
297.,6206.
298.,6205.
299.,6205.
300.,6206.
301.,6206.
302.,6205.
303.,6204.
304.,6204.
305.,6204.
306.,6205.
307.,6204.
308.,6203.
309.,6201.
310.,6200.
311.,6202.
312.,6202.
313.,6201.
314.,6203.
315.,6203.
316.,6203.
317.,6203.
318.,6202.
319.,6201.
320.,6200.
321.,6200.
322.,6200.
323.,6199.
324.,6199.
325.,6199.
326.,6198.
327.,6198.
328.,6198.
329.,6198.
330.,6198.
331.,6198.
332.,6197.
333.,6197.
334.,6197.
335.,6196.
336.,6196.
337.,6193.
338.,6193.
339.,6193.
340.,6193.
341.,6194.
342.,6194.
343.,6193.
344.,6193.
345.,6193.
346.,6194.
347.,6192.
348.,6192.
349.,6191.
350.,6191.
351.,6191.
352.,6191.
353.,6190.
354.,6190.
355.,6191.
356.,6191.
357.,6191.
358.,6190.
359.,6190.
360.,6189.
361.,6191.
362.,6191.
363.,6190.
364.,6190.
365.,6190.
366.,6190.
367.,6190.
368.,6191.
369.,6191.
370.,6191.
371.,6191.
372.,6192.
373.,6192.
374.,6195.
375.,6193.
376.,6194.
377.,6193.
378.,6194.
379.,6193.
380.,6194.
381.,6196.
382.,6194.
383.,6194.
384.,6189.
385.,6190.
386.,6189.
387.,6189.
388.,6191.
389.,6191.
390.,6188.
391.,6188.
392.,6187.
393.,6187.
394.,6187.
395.,6188.
396.,6188.
397.,6188.
398.,6188.
399.,6187.
400.,6186.
401.,6185.
402.,6186.
403.,6186.
404.,6187.
405.,6185.
406.,6185.
407.,6185.
408.,6186.
409.,6184.
410.,6184.
411.,6185.
412.,6185.
413.,6186.
414.,6186.
415.,6187.
416.,6185.
417.,6185.
418.,6184.
419.,6187.
420.,6186.
421.,6187.
422.,6187.
423.,6187.
424.,6185.
425.,6184.
426.,6185.
427.,6186.
428.,6186.
429.,6187.
430.,6192.
431.,6191.
432.,6192.
433.,6189.
434.,6191.
435.,6192.
436.,6192.
437.,6191.
438.,6195.
439.,6196.
440.,6192.
441.,6190.
442.,6186.
443.,6187.
444.,6188.
445.,6188.
446.,6186.
447.,6186.
448.,6185.
449.,6189.
450.,6186.
451.,6185.
452.,6184.
453.,6186.
454.,6185.
455.,6181.
456.,6183.
457.,6184.
458.,6184.
459.,6181.
460.,6180.
461.,6182.
462.,6182.
463.,6183.
464.,6182.
465.,6182.
466.,6184.
467.,6182.
468.,6182.
469.,6181.
470.,6182.
471.,6181.
472.,6178.
473.,6176.
474.,6171.
475.,6166.
476.,6161.
477.,6158.
478.,6158.
479.,6153.
480.,6148.
481.,6146.
482.,6143.
483.,6141.
484.,6137.
485.,6134.
486.,6136.
487.,6134.
488.,6130.
489.,6127.
490.,6121.
491.,6112.
492.,6108.
493.,6103.
