TotalArea_x,TotalArea_y
0.,2457.
1.,2483.
2.,2505.
3.,2528.
4.,3004.
5.,3538.
6.,3951.
7.,4340.
8.,4820.
9.,5305.
10.,5710.
11.,5917.
12.,6020.
13.,6057.
14.,6065.
15.,6079.
16.,6083.
17.,6098.
18.,6104.
19.,6116.
20.,6114.
21.,6119.
22.,6128.
23.,6127.
24.,6127.
25.,6130.
26.,6129.
27.,6126.
28.,6123.
29.,6126.
30.,6127.
31.,6124.
32.,6127.
33.,6129.
34.,6133.
35.,6132.
36.,6133.
37.,6131.
38.,6131.
39.,6131.
40.,6132.
41.,6133.
42.,6134.
43.,6135.
44.,6135.
45.,6135.
46.,6135.
47.,6135.
48.,6134.
49.,6134.
50.,6134.
51.,6136.
52.,6136.
53.,6138.
54.,6137.
55.,6135.
56.,6134.
57.,6136.
58.,6137.
59.,6139.
60.,6138.
61.,6139.
62.,6140.
63.,6141.
64.,6142.
65.,6145.
66.,6147.
67.,6147.
68.,6147.
69.,6148.
70.,6147.
71.,6149.
72.,6150.
73.,6150.
74.,6150.
75.,6147.
76.,6150.
77.,6152.
78.,6152.
79.,6153.
80.,6152.
81.,6155.
82.,6156.
83.,6161.
84.,6159.
85.,6164.
86.,6167.
87.,6168.
88.,6168.
89.,6172.
90.,6167.
91.,6166.
92.,6167.
93.,6167.
94.,6168.
95.,6172.
96.,6173.
97.,6172.
98.,6169.
99.,6167.
100.,6171.
101.,6173.
102.,6176.
103.,6178.
104.,6179.
105.,6178.
106.,6176.
107.,6178.
108.,6178.
109.,6178.
110.,6174.
111.,6174.
112.,6174.
113.,6175.
114.,6172.
115.,6175.
116.,6177.
117.,6179.
118.,6180.
119.,6183.
120.,6187.
121.,6189.
122.,6189.
123.,6190.
124.,6191.
125.,6193.
126.,6195.
127.,6197.
128.,6194.
129.,6194.
130.,6195.
131.,6194.
132.,6194.
133.,6191.
134.,6194.
135.,6193.
136.,6195.
137.,6196.
138.,6198.
139.,6201.
140.,6200.
141.,6201.
142.,6196.
143.,6201.
144.,6203.
145.,6201.
146.,6202.
147.,6203.
148.,6203.
149.,6203.
150.,6202.
151.,6203.
152.,6201.
153.,6201.
154.,6200.
155.,6202.
156.,6204.
157.,6205.
158.,6204.
159.,6205.
160.,6202.
161.,6204.
162.,6203.
163.,6204.
164.,6205.
165.,6202.
166.,6207.
167.,6204.
168.,6203.
169.,6205.
170.,6207.
171.,6209.
172.,6208.
173.,6211.
174.,6212.
175.,6214.
176.,6215.
177.,6215.
178.,6215.
179.,6215.
180.,6214.
181.,6212.
182.,6212.
183.,6214.
184.,6214.
185.,6214.
186.,6213.
187.,6213.
188.,6215.
189.,6216.
190.,6217.
191.,6217.
192.,6219.
193.,6219.
194.,6219.
195.,6219.
196.,6220.
197.,6219.
198.,6219.
199.,6221.
200.,6224.
201.,6223.
202.,6225.
203.,6228.
204.,6227.
205.,6228.
206.,6229.
207.,6229.
208.,6230.
209.,6228.
210.,6227.
211.,6229.
212.,6228.
213.,6230.
214.,6230.
215.,6230.
216.,6230.
217.,6230.
218.,6230.
219.,6230.
220.,6229.
221.,6229.
222.,6227.
223.,6227.
224.,6226.
225.,6225.
226.,6223.
227.,6221.
228.,6221.
229.,6219.
230.,6217.
231.,6218.
232.,6218.
233.,6218.
234.,6217.
235.,6219.
236.,6220.
237.,6222.
238.,6224.
239.,6224.
240.,6224.
241.,6222.
242.,6222.
243.,6222.
244.,6225.
245.,6227.
246.,6228.
247.,6228.
248.,6228.
249.,6225.
250.,6227.
251.,6229.
252.,6229.
253.,6229.
254.,6229.
255.,6230.
256.,6230.
257.,6230.
