TotalArea_x,TotalArea_y
0.,2457.
1.,2485.
2.,2506.
3.,2526.
4.,2989.
5.,3513.
6.,3931.
7.,4368.
8.,4835.
9.,5285.
10.,5675.
11.,5887.
12.,5986.
13.,6039.
14.,6074.
15.,6085.
16.,6099.
17.,6106.
18.,6115.
19.,6123.
20.,6123.
21.,6126.
22.,6128.
23.,6131.
24.,6139.
25.,6134.
26.,6132.
27.,6129.
28.,6124.
29.,6126.
30.,6131.
31.,6135.
32.,6138.
33.,6137.
34.,6137.
35.,6137.
36.,6139.
37.,6139.
38.,6139.
39.,6139.
40.,6140.
41.,6139.
42.,6141.
43.,6146.
44.,6147.
45.,6147.
46.,6149.
47.,6151.
48.,6155.
49.,6153.
50.,6152.
51.,6152.
52.,6154.
53.,6154.
54.,6154.
55.,6155.
56.,6157.
57.,6158.
58.,6158.
59.,6159.
60.,6158.
61.,6161.
62.,6162.
63.,6162.
64.,6163.
65.,6166.
66.,6166.
67.,6166.
68.,6169.
69.,6172.
70.,6173.
71.,6174.
72.,6174.
73.,6175.
74.,6175.
75.,6176.
76.,6177.
77.,6177.
78.,6180.
79.,6180.
80.,6180.
81.,6180.
82.,6181.
83.,6183.
84.,6184.
85.,6188.
86.,6189.
87.,6189.
88.,6190.
89.,6190.
90.,6190.
91.,6189.
92.,6189.
93.,6187.
94.,6187.
95.,6187.
96.,6187.
97.,6188.
98.,6190.
99.,6190.
100.,6191.
101.,6191.
102.,6192.
103.,6193.
104.,6192.
105.,6192.
106.,6192.
107.,6192.
108.,6193.
109.,6193.
110.,6193.
111.,6194.
112.,6194.
113.,6195.
114.,6193.
115.,6193.
116.,6192.
117.,6192.
118.,6193.
119.,6193.
120.,6192.
121.,6193.
122.,6193.
123.,6193.
124.,6194.
125.,6194.
126.,6193.
127.,6196.
128.,6196.
129.,6197.
130.,6198.
131.,6202.
132.,6202.
133.,6203.
134.,6206.
135.,6206.
136.,6206.
137.,6206.
138.,6205.
139.,6205.
140.,6205.
141.,6206.
142.,6207.
143.,6210.
144.,6211.
145.,6211.
146.,6212.
147.,6213.
148.,6214.
149.,6214.
150.,6215.
151.,6215.
152.,6215.
153.,6215.
154.,6215.
155.,6215.
156.,6215.
157.,6215.
158.,6215.
159.,6215.
160.,6214.
161.,6214.
162.,6216.
