TotalArea_x,TotalArea_y
0.,2457.
1.,2480.
2.,2507.
3.,2534.
4.,3012.
5.,3513.
6.,3908.
7.,4368.
8.,4811.
9.,5237.
10.,5620.
11.,5844.
12.,5944.
13.,6007.
14.,6029.
15.,6049.
16.,6072.
17.,6074.
18.,6084.
19.,6083.
20.,6074.
21.,6070.
22.,6077.
23.,6077.
24.,6080.
25.,6082.
26.,6085.
27.,6083.
28.,6089.
29.,6093.
30.,6091.
31.,6093.
32.,6097.
33.,6097.
34.,6097.
35.,6101.
36.,6101.
37.,6102.
38.,6101.
39.,6105.
40.,6103.
41.,6108.
42.,6109.
43.,6109.
44.,6111.
45.,6110.
46.,6109.
47.,6109.
48.,6110.
49.,6111.
50.,6113.
51.,6115.
52.,6114.
53.,6115.
54.,6116.
55.,6114.
56.,6112.
57.,6114.
58.,6113.
59.,6116.
60.,6117.
61.,6120.
62.,6123.
63.,6124.
64.,6125.
65.,6126.
66.,6125.
67.,6130.
68.,6132.
69.,6133.
70.,6134.
71.,6134.
72.,6135.
73.,6136.
74.,6136.
75.,6135.
76.,6137.
77.,6137.
78.,6137.
79.,6138.
80.,6139.
81.,6140.
82.,6142.
83.,6142.
84.,6143.
85.,6145.
86.,6145.
87.,6146.
88.,6147.
89.,6148.
90.,6148.
91.,6151.
92.,6152.
93.,6151.
94.,6153.
95.,6153.
96.,6153.
97.,6158.
98.,6161.
99.,6163.
100.,6162.
101.,6162.
102.,6163.
103.,6164.
104.,6163.
105.,6162.
106.,6159.
107.,6160.
108.,6160.
109.,6163.
110.,6168.
111.,6170.
112.,6171.
113.,6172.
114.,6173.
115.,6175.
116.,6177.
117.,6175.
118.,6174.
119.,6174.
120.,6173.
121.,6172.
122.,6174.
123.,6175.
124.,6175.
125.,6176.
126.,6176.
127.,6176.
128.,6177.
129.,6177.
130.,6177.
131.,6177.
132.,6178.
133.,6178.
134.,6178.
135.,6178.
136.,6179.
137.,6177.
138.,6177.
139.,6177.
140.,6177.
141.,6176.
142.,6176.
143.,6176.
144.,6178.
145.,6176.
146.,6177.
147.,6181.
148.,6180.
149.,6180.
150.,6181.
151.,6182.
152.,6183.
153.,6183.
154.,6183.
155.,6184.
156.,6185.
157.,6185.
158.,6184.
159.,6186.
160.,6185.
161.,6186.
162.,6186.
163.,6186.
164.,6188.
165.,6190.
166.,6192.
167.,6194.
168.,6192.
169.,6192.
170.,6194.
171.,6197.
172.,6198.
173.,6198.
174.,6197.
175.,6198.
176.,6200.
177.,6201.
178.,6200.
179.,6199.
180.,6201.
181.,6201.
182.,6200.
183.,6201.
184.,6200.
185.,6201.
186.,6202.
187.,6204.
188.,6202.
189.,6203.
190.,6203.
191.,6205.
192.,6205.
193.,6205.
194.,6205.
195.,6205.
196.,6206.
197.,6205.
198.,6205.
199.,6205.
200.,6206.
201.,6206.
202.,6207.
203.,6207.
204.,6207.
205.,6207.
206.,6208.
207.,6208.
208.,6207.
209.,6208.
210.,6208.
211.,6208.
212.,6208.
213.,6208.
214.,6207.
215.,6207.
216.,6207.
217.,6208.
218.,6208.
219.,6208.
220.,6210.
221.,6211.
222.,6211.
223.,6211.
224.,6211.
225.,6211.
226.,6211.
227.,6211.
228.,6211.
229.,6211.
230.,6211.
231.,6211.
232.,6211.
233.,6211.
234.,6212.
235.,6212.
236.,6214.
237.,6213.
238.,6214.
