TotalArea_x,TotalArea_y
0.,2457.
1.,2484.
2.,2507.
3.,2534.
4.,3000.
5.,3539.
6.,3943.
7.,4366.
8.,4869.
9.,5285.
10.,5675.
11.,5874.
12.,5991.
13.,6032.
14.,6084.
15.,6079.
16.,6095.
17.,6097.
18.,6091.
19.,6082.
20.,6092.
21.,6097.
22.,6106.
23.,6104.
24.,6104.
25.,6101.
26.,6103.
27.,6107.
28.,6108.
29.,6110.
30.,6116.
31.,6113.
32.,6114.
33.,6115.
34.,6116.
35.,6111.
36.,6111.
37.,6112.
38.,6118.
39.,6116.
40.,6118.
41.,6119.
42.,6120.
43.,6125.
44.,6124.
45.,6122.
46.,6122.
47.,6122.
48.,6125.
49.,6127.
50.,6126.
51.,6125.
52.,6126.
53.,6125.
54.,6127.
55.,6126.
56.,6126.
57.,6127.
58.,6126.
59.,6124.
60.,6124.
61.,6126.
62.,6127.
63.,6128.
64.,6130.
65.,6129.
66.,6129.
67.,6131.
68.,6131.
69.,6131.
70.,6135.
71.,6139.
72.,6143.
73.,6145.
74.,6146.
75.,6146.
76.,6145.
77.,6143.
78.,6143.
79.,6142.
80.,6143.
81.,6143.
82.,6145.
83.,6147.
84.,6147.
85.,6147.
86.,6147.
87.,6147.
88.,6149.
89.,6149.
90.,6148.
91.,6149.
92.,6151.
93.,6151.
94.,6152.
95.,6152.
96.,6153.
97.,6154.
98.,6154.
99.,6155.
100.,6154.
101.,6156.
102.,6156.
103.,6156.
104.,6156.
105.,6156.
106.,6158.
107.,6161.
108.,6161.
109.,6164.
110.,6164.
111.,6163.
112.,6165.
113.,6164.
114.,6163.
115.,6164.
116.,6164.
117.,6164.
118.,6164.
119.,6164.
120.,6165.
121.,6165.
122.,6165.
123.,6166.
124.,6168.
125.,6170.
126.,6173.
127.,6174.
128.,6175.
129.,6175.
130.,6175.
131.,6176.
132.,6175.
133.,6174.
134.,6174.
135.,6176.
136.,6176.
137.,6177.
138.,6178.
139.,6177.
140.,6178.
141.,6178.
142.,6178.
143.,6177.
144.,6177.
145.,6177.
146.,6176.
147.,6176.
148.,6176.
149.,6177.
150.,6178.
151.,6180.
152.,6180.
153.,6181.
154.,6180.
155.,6182.
156.,6184.
157.,6184.
158.,6184.
159.,6184.
160.,6186.
161.,6186.
162.,6186.
163.,6185.
164.,6186.
165.,6188.
166.,6189.
167.,6191.
168.,6192.
169.,6193.
170.,6194.
171.,6196.
172.,6201.
173.,6202.
174.,6203.
175.,6204.
176.,6204.
177.,6205.
178.,6205.
179.,6207.
180.,6207.
181.,6208.
182.,6210.
183.,6210.
184.,6210.
185.,6211.
186.,6211.
187.,6211.
188.,6211.
189.,6211.
190.,6211.
191.,6211.
192.,6211.
193.,6212.
194.,6213.
195.,6214.
196.,6214.
197.,6215.
198.,6215.
199.,6215.
200.,6214.
201.,6214.
202.,6214.
203.,6215.
204.,6215.
205.,6215.
206.,6215.
207.,6215.
208.,6214.
209.,6215.
210.,6215.
211.,6216.
212.,6218.
213.,6218.
214.,6219.
215.,6220.
216.,6221.
217.,6221.
218.,6222.
219.,6222.
220.,6223.
221.,6223.
222.,6223.
223.,6223.
224.,6223.
225.,6223.
226.,6223.
227.,6223.
228.,6223.
229.,6223.
230.,6223.
231.,6224.
232.,6224.
233.,6224.
234.,6224.
235.,6224.
236.,6224.
237.,6224.
238.,6224.
239.,6223.
240.,6222.
241.,6222.
242.,6219.
243.,6216.
244.,6216.
245.,6217.
246.,6217.
247.,6218.
248.,6218.
249.,6216.
250.,6216.
251.,6215.
252.,6216.
253.,6216.
254.,6215.
255.,6216.
256.,6215.
257.,6214.
258.,6214.
259.,6214.
260.,6214.
261.,6214.
262.,6214.
263.,6214.
264.,6214.
265.,6215.
266.,6215.
267.,6215.
268.,6215.
269.,6215.
270.,6215.
271.,6215.
272.,6215.
273.,6213.
274.,6213.
275.,6214.
276.,6213.
277.,6212.
278.,6212.
279.,6213.
280.,6214.
281.,6213.
282.,6213.
283.,6210.
284.,6211.
285.,6210.
286.,6209.
287.,6207.
288.,6207.
289.,6208.
290.,6208.
291.,6208.
292.,6207.
293.,6206.
294.,6207.
295.,6206.
296.,6206.
297.,6206.
298.,6206.
299.,6207.
300.,6206.
301.,6206.
302.,6203.
303.,6203.
304.,6203.
305.,6203.
306.,6204.
307.,6203.
308.,6203.
309.,6202.
310.,6203.
311.,6203.
312.,6202.
313.,6202.
314.,6202.
315.,6201.
316.,6200.
317.,6200.
318.,6200.
319.,6199.
320.,6199.
321.,6199.
322.,6199.
323.,6195.
324.,6195.
325.,6195.
326.,6195.
327.,6195.
328.,6195.
329.,6196.
330.,6196.
331.,6196.
332.,6196.
333.,6196.
334.,6196.
335.,6196.
336.,6196.
337.,6196.
338.,6196.
339.,6196.
340.,6196.
341.,6194.
342.,6194.
343.,6194.
344.,6194.
345.,6194.
346.,6194.
347.,6194.
348.,6194.
349.,6193.
350.,6193.
351.,6192.
352.,6193.
353.,6193.
354.,6193.
355.,6193.
356.,6193.
357.,6193.
358.,6193.
359.,6194.
360.,6194.
361.,6194.
362.,6194.
363.,6192.
364.,6192.
365.,6191.
366.,6192.
367.,6192.
368.,6192.
369.,6192.
370.,6192.
371.,6192.
372.,6192.
373.,6191.
374.,6191.
375.,6191.
376.,6191.
377.,6191.
378.,6191.
379.,6191.
380.,6191.
381.,6191.
382.,6191.
383.,6191.
384.,6191.
385.,6191.
386.,6191.
387.,6191.
388.,6191.
389.,6191.
390.,6191.
391.,6191.
392.,6191.
393.,6191.
394.,6191.
395.,6191.
396.,6191.
397.,6191.
398.,6191.
399.,6191.
400.,6191.
401.,6191.
402.,6191.
403.,6191.
404.,6191.
405.,6191.
406.,6191.
407.,6191.
408.,6191.
409.,6192.
410.,6192.
411.,6192.
412.,6192.
413.,6192.
414.,6192.
415.,6192.
416.,6192.
417.,6192.
418.,6192.
419.,6192.
420.,6192.
421.,6192.
422.,6192.
423.,6192.
424.,6192.
425.,6192.
426.,6192.
427.,6192.
428.,6192.
429.,6192.
430.,6192.
431.,6192.
432.,6192.
433.,6192.
434.,6192.
435.,6192.
436.,6192.
437.,6192.
438.,6192.
439.,6193.
440.,6192.
441.,6192.
442.,6191.
443.,6191.
444.,6191.
445.,6191.
446.,6191.
447.,6191.
448.,6191.
449.,6191.
450.,6191.
451.,6191.
452.,6191.
453.,6190.
454.,6191.
455.,6191.
456.,6191.
457.,6191.
458.,6191.
459.,6191.
460.,6191.
461.,6191.
462.,6190.
463.,6190.
464.,6191.
465.,6191.
466.,6190.
467.,6190.
468.,6190.
469.,6190.
470.,6191.
471.,6190.
472.,6190.
473.,6191.
474.,6191.
475.,6190.
476.,6190.
477.,6190.
478.,6190.
479.,6190.
480.,6190.
481.,6191.
482.,6193.
483.,6191.
484.,6192.
485.,6193.
486.,6193.
487.,6191.
488.,6191.
489.,6192.
490.,6191.
491.,6190.
492.,6192.
493.,6191.
494.,6191.
495.,6192.
496.,6190.
497.,6190.
498.,6190.
499.,6190.
500.,6190.
501.,6190.
502.,6191.
503.,6190.
504.,6190.
505.,6190.
506.,6190.
507.,6191.
508.,6190.
509.,6190.
510.,6190.
511.,6190.
512.,6190.
513.,6190.
514.,6190.
515.,6190.
516.,6190.
517.,6190.
518.,6190.
519.,6191.
520.,6191.
521.,6191.
522.,6191.
523.,6190.
524.,6190.
525.,6190.
526.,6191.
527.,6191.
528.,6190.
529.,6190.
530.,6190.
531.,6190.
532.,6190.
533.,6190.
534.,6190.
535.,6191.
536.,6191.
537.,6191.
538.,6191.
539.,6191.
540.,6190.
541.,6190.
542.,6191.
543.,6191.
544.,6190.
545.,6190.
546.,6190.
547.,6190.
548.,6190.
549.,6190.
550.,6190.
551.,6190.
552.,6191.
553.,6191.
554.,6190.
555.,6191.
556.,6191.
557.,6191.
558.,6192.
559.,6191.
560.,6192.
561.,6191.
562.,6192.
563.,6192.
564.,6192.
565.,6191.
566.,6190.
567.,6189.
568.,6189.
569.,6188.
570.,6188.
571.,6188.
572.,6188.
573.,6187.
574.,6187.
575.,6187.
576.,6188.
577.,6189.
578.,6188.
579.,6188.
580.,6188.
581.,6189.
582.,6189.
583.,6189.
584.,6189.
585.,6189.
586.,6188.
587.,6189.
588.,6188.
589.,6189.
590.,6188.
591.,6188.
592.,6188.
593.,6189.
594.,6188.
595.,6189.
596.,6188.
597.,6188.
598.,6189.
599.,6188.
600.,6189.
601.,6188.
602.,6188.
603.,6188.
604.,6188.
605.,6189.
606.,6189.
607.,6188.
608.,6189.
609.,6189.
610.,6189.
611.,6189.
612.,6188.
613.,6188.
614.,6188.
615.,6188.
616.,6189.
617.,6188.
618.,6188.
619.,6188.
620.,6188.
621.,6188.
622.,6189.
623.,6188.
624.,6189.
625.,6188.
626.,6188.
627.,6188.
628.,6188.
629.,6188.
630.,6189.
631.,6188.
632.,6188.
633.,6188.
634.,6189.
635.,6189.
636.,6188.
637.,6188.
