TotalArea_x,TotalArea_y
0.,2457.
1.,2488.
2.,2511.
3.,2534.
4.,3019.
5.,3533.
6.,3926.
7.,4345.
8.,4778.
9.,5203.
10.,5619.
11.,5842.
12.,5972.
13.,6022.
14.,6040.
15.,6066.
16.,6076.
17.,6069.
18.,6085.
19.,6098.
20.,6100.
21.,6102.
22.,6103.
23.,6102.
24.,6107.
25.,6110.
26.,6112.
27.,6107.
28.,6101.
29.,6102.
30.,6101.
31.,6100.
32.,6099.
33.,6100.
34.,6101.
35.,6100.
36.,6099.
37.,6098.
38.,6097.
39.,6096.
40.,6099.
41.,6097.
42.,6100.
43.,6102.
44.,6102.
45.,6103.
46.,6103.
47.,6103.
48.,6104.
49.,6105.
50.,6105.
51.,6107.
52.,6108.
53.,6108.
54.,6109.
55.,6109.
56.,6110.
57.,6112.
58.,6113.
59.,6114.
60.,6118.
61.,6118.
62.,6118.
63.,6118.
64.,6120.
65.,6122.
66.,6121.
67.,6124.
68.,6126.
69.,6125.
70.,6128.
71.,6127.
72.,6126.
73.,6127.
74.,6128.
75.,6128.
76.,6132.
77.,6136.
78.,6135.
79.,6137.
80.,6136.
81.,6137.
82.,6136.
83.,6135.
84.,6135.
85.,6135.
86.,6137.
87.,6136.
88.,6134.
89.,6135.
90.,6133.
91.,6133.
92.,6133.
93.,6130.
94.,6131.
95.,6131.
96.,6133.
97.,6134.
98.,6133.
99.,6131.
100.,6129.
101.,6129.
102.,6129.
103.,6131.
104.,6131.
105.,6133.
106.,6134.
107.,6135.
108.,6136.
109.,6137.
110.,6137.
111.,6138.
112.,6138.
113.,6138.
114.,6138.
115.,6137.
116.,6138.
117.,6139.
118.,6139.
119.,6139.
120.,6140.
121.,6142.
122.,6142.
123.,6141.
124.,6141.
125.,6143.
126.,6142.
127.,6140.
128.,6143.
129.,6144.
130.,6144.
131.,6143.
132.,6144.
133.,6144.
134.,6146.
135.,6144.
136.,6143.
137.,6142.
138.,6145.
139.,6143.
140.,6144.
141.,6142.
142.,6145.
143.,6144.
144.,6146.
145.,6148.
146.,6148.
147.,6149.
148.,6150.
149.,6151.
150.,6150.
151.,6152.
152.,6151.
153.,6149.
154.,6151.
155.,6151.
156.,6151.
157.,6152.
158.,6155.
159.,6156.
160.,6155.
161.,6157.
162.,6158.
163.,6158.
164.,6159.
165.,6160.
166.,6161.
167.,6161.
168.,6160.
169.,6160.
170.,6160.
171.,6160.
172.,6160.
173.,6156.
174.,6157.
175.,6158.
176.,6160.
177.,6159.
178.,6160.
179.,6161.
180.,6161.
181.,6162.
182.,6162.
183.,6163.
184.,6163.
185.,6164.
186.,6164.
187.,6163.
188.,6164.
189.,6165.
190.,6165.
191.,6165.
192.,6165.
193.,6165.
194.,6165.
195.,6165.
196.,6165.
197.,6165.
198.,6165.
199.,6165.
200.,6165.
201.,6165.
202.,6165.
203.,6165.
204.,6165.
205.,6165.
206.,6165.
207.,6165.
208.,6165.
209.,6165.
210.,6165.
211.,6165.
212.,6165.
213.,6165.
214.,6165.
215.,6165.
216.,6165.
217.,6165.
218.,6165.
219.,6165.
220.,6165.
