TotalArea_x,TotalArea_y
0.,2457.
1.,2480.
2.,2510.
3.,2526.
4.,2996.
5.,3500.
6.,3934.
7.,4368.
8.,4843.
9.,5227.
10.,5640.
11.,5856.
12.,5958.
13.,6012.
14.,6048.
15.,6067.
16.,6078.
17.,6080.
18.,6088.
19.,6088.
20.,6091.
21.,6089.
22.,6096.
23.,6103.
24.,6099.
25.,6101.
26.,6102.
27.,6108.
28.,6107.
29.,6101.
30.,6105.
31.,6107.
32.,6102.
33.,6100.
34.,6097.
35.,6093.
36.,6095.
37.,6097.
38.,6098.
39.,6101.
40.,6105.
41.,6105.
42.,6105.
43.,6107.
44.,6110.
45.,6108.
46.,6110.
47.,6109.
48.,6108.
49.,6108.
50.,6109.
51.,6111.
52.,6112.
53.,6114.
54.,6114.
55.,6116.
56.,6118.
57.,6119.
58.,6121.
59.,6121.
60.,6123.
61.,6123.
62.,6123.
63.,6125.
64.,6124.
65.,6125.
66.,6124.
67.,6126.
68.,6129.
69.,6130.
70.,6130.
71.,6129.
72.,6130.
73.,6130.
74.,6130.
75.,6129.
76.,6130.
77.,6129.
78.,6136.
79.,6139.
80.,6141.
81.,6142.
82.,6144.
83.,6145.
84.,6149.
85.,6149.
86.,6150.
87.,6150.
88.,6151.
89.,6153.
90.,6154.
91.,6152.
92.,6154.
93.,6152.
94.,6151.
95.,6152.
96.,6152.
97.,6152.
98.,6152.
99.,6152.
100.,6154.
101.,6152.
102.,6154.
103.,6154.
104.,6156.
105.,6156.
106.,6157.
107.,6157.
108.,6158.
109.,6160.
110.,6159.
111.,6161.
112.,6161.
113.,6161.
114.,6157.
115.,6160.
116.,6160.
117.,6159.
118.,6160.
119.,6161.
120.,6162.
121.,6161.
122.,6163.
123.,6167.
124.,6167.
125.,6169.
126.,6171.
127.,6172.
128.,6171.
129.,6172.
130.,6172.
131.,6174.
132.,6174.
133.,6173.
134.,6175.
135.,6177.
136.,6179.
137.,6180.
138.,6180.
139.,6181.
140.,6181.
141.,6182.
142.,6183.
143.,6183.
144.,6184.
145.,6187.
146.,6188.
147.,6187.
148.,6190.
149.,6190.
150.,6190.
151.,6190.
152.,6191.
153.,6191.
154.,6191.
155.,6191.
156.,6191.
157.,6191.
158.,6191.
159.,6190.
160.,6190.
161.,6190.
162.,6191.
163.,6189.
164.,6192.
165.,6192.
166.,6191.
167.,6191.
168.,6191.
169.,6191.
170.,6191.
171.,6191.
172.,6191.
173.,6192.
174.,6192.
175.,6192.
176.,6195.
177.,6194.
178.,6194.
179.,6195.
180.,6195.
181.,6195.
182.,6195.
183.,6195.
184.,6196.
185.,6196.
186.,6197.
187.,6197.
188.,6197.
189.,6197.
190.,6197.
191.,6197.
192.,6197.
193.,6198.
194.,6198.
195.,6198.
196.,6198.
197.,6198.
198.,6199.
199.,6199.
200.,6199.
201.,6199.
202.,6198.
203.,6198.
204.,6198.
205.,6198.
206.,6198.
207.,6198.
208.,6198.
209.,6198.
210.,6198.
211.,6198.
212.,6198.
213.,6200.
214.,6200.
215.,6200.
216.,6200.
217.,6201.
218.,6201.
219.,6201.
220.,6201.
221.,6201.
222.,6201.
223.,6201.
224.,6201.
225.,6201.
226.,6202.
227.,6202.
228.,6202.
229.,6202.
230.,6203.
231.,6203.
232.,6203.
233.,6203.
234.,6203.
235.,6203.
236.,6203.
237.,6203.
238.,6203.
