TotalArea_x,TotalArea_y
0.,2457.
1.,2482.
2.,2508.
3.,2526.
4.,2991.
5.,3511.
6.,3915.
7.,4344.
8.,4826.
9.,5233.
10.,5621.
11.,5828.
12.,5928.
13.,6003.
14.,6046.
15.,6058.
16.,6063.
17.,6069.
18.,6078.
19.,6087.
20.,6089.
21.,6092.
22.,6106.
23.,6107.
24.,6114.
25.,6122.
26.,6127.
27.,6129.
28.,6134.
29.,6138.
30.,6133.
31.,6132.
32.,6135.
33.,6134.
34.,6131.
35.,6129.
36.,6129.
37.,6129.
38.,6130.
39.,6133.
40.,6131.
41.,6133.
42.,6135.
43.,6136.
44.,6135.
45.,6132.
46.,6129.
47.,6128.
48.,6129.
49.,6131.
50.,6133.
51.,6136.
52.,6135.
53.,6136.
54.,6136.
55.,6138.
56.,6138.
57.,6142.
58.,6143.
59.,6142.
60.,6143.
61.,6142.
62.,6142.
63.,6142.
64.,6142.
65.,6144.
66.,6146.
67.,6147.
68.,6147.
69.,6147.
70.,6147.
71.,6148.
72.,6148.
73.,6149.
74.,6148.
75.,6148.
76.,6150.
77.,6155.
78.,6154.
79.,6156.
80.,6157.
81.,6158.
82.,6157.
83.,6155.
84.,6155.
85.,6154.
86.,6153.
87.,6153.
88.,6155.
89.,6157.
90.,6159.
91.,6159.
92.,6159.
93.,6159.
94.,6159.
95.,6160.
96.,6160.
97.,6161.
98.,6161.
99.,6162.
100.,6163.
101.,6162.
102.,6162.
103.,6162.
104.,6162.
105.,6162.
106.,6162.
107.,6162.
108.,6163.
109.,6163.
110.,6162.
111.,6162.
112.,6163.
113.,6163.
114.,6163.
115.,6163.
116.,6165.
117.,6165.
118.,6164.
119.,6164.
120.,6165.
121.,6165.
122.,6168.
123.,6168.
124.,6168.
125.,6168.
126.,6168.
127.,6168.
128.,6168.
129.,6169.
130.,6167.
131.,6167.
132.,6166.
133.,6167.
134.,6167.
135.,6167.
136.,6168.
137.,6167.
138.,6167.
139.,6168.
140.,6168.
141.,6168.
142.,6168.
143.,6168.
144.,6169.
145.,6170.
146.,6171.
147.,6172.
148.,6172.
149.,6172.
150.,6172.
151.,6172.
152.,6173.
153.,6173.
154.,6174.
155.,6174.
156.,6174.
157.,6175.
158.,6174.
159.,6174.
160.,6174.
161.,6175.
162.,6174.
163.,6177.
164.,6177.
165.,6176.
166.,6176.
167.,6178.
168.,6178.
169.,6179.
170.,6178.
171.,6179.
172.,6180.
173.,6180.
174.,6180.
175.,6180.
176.,6180.
177.,6181.
178.,6180.
179.,6180.
180.,6180.
181.,6180.
182.,6180.
183.,6180.
184.,6180.
185.,6180.
186.,6180.
187.,6180.
188.,6180.
189.,6180.
190.,6180.
191.,6180.
192.,6180.
193.,6180.
194.,6180.
195.,6180.
196.,6180.
197.,6180.
198.,6180.
199.,6180.
200.,6180.
201.,6180.
202.,6180.
203.,6180.
204.,6180.
205.,6180.
206.,6180.
207.,6180.
208.,6181.
209.,6181.
210.,6181.
211.,6182.
212.,6182.
213.,6180.
214.,6180.
215.,6180.
216.,6180.
217.,6180.
218.,6180.
219.,6180.
220.,6180.
221.,6180.
222.,6182.
