TotalArea_x,TotalArea_y
0.,2457.
1.,2485.
2.,2508.
3.,2529.
4.,3007.
5.,3519.
6.,3923.
7.,4330.
8.,4802.
9.,5266.
10.,5686.
11.,5907.
12.,5998.
13.,6074.
14.,6095.
15.,6096.
16.,6089.
17.,6102.
18.,6121.
19.,6125.
20.,6129.
21.,6134.
22.,6130.
23.,6126.
24.,6127.
25.,6128.
26.,6129.
27.,6131.
28.,6136.
29.,6136.
30.,6134.
31.,6133.
32.,6137.
33.,6141.
34.,6141.
35.,6140.
36.,6143.
37.,6143.
38.,6145.
39.,6145.
40.,6149.
41.,6152.
42.,6151.
43.,6152.
44.,6154.
45.,6153.
46.,6155.
47.,6154.
48.,6158.
49.,6160.
50.,6163.
51.,6165.
52.,6164.
53.,6166.
54.,6168.
55.,6172.
56.,6174.
57.,6174.
58.,6176.
59.,6176.
60.,6176.
61.,6179.
62.,6177.
63.,6180.
64.,6179.
65.,6180.
66.,6181.
67.,6182.
68.,6181.
69.,6185.
70.,6184.
71.,6185.
72.,6188.
73.,6191.
74.,6191.
75.,6192.
76.,6193.
77.,6195.
78.,6194.
79.,6194.
80.,6195.
81.,6196.
82.,6195.
83.,6195.
84.,6196.
85.,6196.
86.,6198.
87.,6198.
88.,6200.
89.,6200.
90.,6203.
91.,6203.
92.,6205.
93.,6207.
94.,6207.
95.,6208.
96.,6209.
97.,6211.
98.,6211.
99.,6210.
100.,6210.
101.,6210.
102.,6209.
103.,6209.
104.,6210.
105.,6210.
106.,6210.
107.,6211.
108.,6211.
109.,6211.
110.,6212.
111.,6211.
112.,6211.
113.,6211.
114.,6211.
115.,6212.
116.,6212.
117.,6213.
118.,6213.
119.,6213.
120.,6213.
121.,6213.
122.,6213.
123.,6213.
124.,6213.
125.,6213.
126.,6213.
127.,6214.
128.,6214.
129.,6214.
130.,6214.
131.,6214.
132.,6215.
133.,6215.
134.,6215.
135.,6215.
136.,6216.
137.,6218.
138.,6219.
139.,6219.
140.,6219.
141.,6219.
142.,6218.
143.,6219.
144.,6220.
145.,6220.
146.,6220.
147.,6223.
148.,6222.
149.,6223.
150.,6225.
151.,6227.
152.,6227.
153.,6227.
154.,6227.
155.,6229.
156.,6230.
157.,6230.
158.,6230.
159.,6230.
160.,6230.
161.,6230.
162.,6230.
