TotalArea_x,TotalArea_y
0.,2457.
1.,2478.
2.,2503.
3.,2526.
4.,2993.
5.,3525.
6.,3930.
7.,4375.
8.,4844.
9.,5270.
10.,5663.
11.,5865.
12.,5982.
13.,6035.
14.,6065.
15.,6081.
16.,6087.
17.,6099.
18.,6095.
19.,6097.
20.,6098.
21.,6107.
22.,6120.
23.,6120.
24.,6116.
25.,6116.
26.,6122.
27.,6119.
28.,6122.
29.,6116.
30.,6116.
31.,6116.
32.,6118.
33.,6116.
34.,6119.
35.,6122.
36.,6120.
37.,6123.
38.,6127.
39.,6128.
40.,6127.
41.,6128.
42.,6128.
43.,6128.
44.,6134.
45.,6139.
46.,6137.
47.,6138.
48.,6138.
49.,6139.
50.,6141.
51.,6143.
52.,6146.
53.,6147.
54.,6147.
55.,6147.
56.,6148.
57.,6148.
58.,6148.
59.,6146.
60.,6147.
61.,6152.
62.,6154.
63.,6155.
64.,6155.
65.,6156.
66.,6154.
67.,6154.
68.,6153.
69.,6154.
70.,6156.
71.,6156.
72.,6157.
73.,6156.
74.,6157.
75.,6157.
76.,6157.
77.,6157.
78.,6157.
79.,6158.
80.,6158.
81.,6157.
82.,6157.
83.,6159.
84.,6161.
85.,6163.
86.,6164.
87.,6164.
88.,6166.
89.,6166.
90.,6166.
91.,6168.
92.,6170.
93.,6173.
94.,6174.
95.,6176.
96.,6178.
97.,6182.
98.,6183.
99.,6183.
100.,6183.
101.,6184.
102.,6185.
103.,6186.
104.,6185.
105.,6185.
106.,6185.
107.,6185.
108.,6184.
109.,6187.
110.,6186.
111.,6186.
112.,6186.
113.,6185.
114.,6185.
115.,6186.
116.,6188.
117.,6188.
118.,6188.
119.,6190.
120.,6192.
121.,6191.
122.,6192.
123.,6192.
124.,6193.
125.,6193.
126.,6193.
127.,6193.
128.,6195.
129.,6198.
130.,6199.
131.,6199.
132.,6198.
133.,6201.
134.,6201.
135.,6201.
136.,6201.
137.,6202.
138.,6202.
139.,6202.
140.,6203.
141.,6206.
142.,6206.
143.,6206.
144.,6206.
145.,6206.
146.,6206.
147.,6206.
148.,6206.
149.,6207.
150.,6207.
151.,6207.
152.,6207.
153.,6207.
154.,6208.
155.,6208.
156.,6209.
157.,6209.
158.,6209.
159.,6209.
160.,6212.
161.,6212.
162.,6212.
163.,6213.
164.,6213.
165.,6214.
166.,6216.
167.,6216.
168.,6216.
169.,6218.
170.,6218.
171.,6219.
172.,6222.
173.,6224.
174.,6224.
175.,6224.
176.,6226.
177.,6226.
178.,6225.
179.,6225.
180.,6226.
181.,6227.
182.,6227.
183.,6227.
184.,6227.
185.,6227.
186.,6227.
187.,6228.
188.,6228.
189.,6228.
190.,6229.
191.,6229.
192.,6229.
193.,6229.
194.,6229.
195.,6230.
196.,6229.
197.,6230.
198.,6231.
199.,6233.
200.,6235.
201.,6237.
202.,6236.
203.,6237.
204.,6237.
205.,6237.
206.,6237.
207.,6237.
208.,6238.
209.,6239.
210.,6240.
211.,6241.
212.,6242.
213.,6246.
214.,6247.
215.,6251.
216.,6254.
217.,6254.
218.,6255.
219.,6256.
220.,6256.
221.,6257.
222.,6257.
223.,6257.
224.,6254.
225.,6254.
226.,6254.
227.,6253.
228.,6254.
229.,6255.
230.,6255.
231.,6253.
232.,6252.
233.,6254.
234.,6254.
235.,6254.
236.,6254.
237.,6254.
238.,6254.
239.,6255.
240.,6262.
241.,6264.
242.,6264.
243.,6267.
244.,6268.
245.,6268.
246.,6268.
247.,6268.
248.,6268.
249.,6269.
250.,6269.
251.,6269.
252.,6269.
253.,6269.
254.,6270.
255.,6270.
256.,6270.
257.,6270.
258.,6271.
259.,6271.
260.,6272.
261.,6273.
262.,6276.
263.,6276.
264.,6276.
265.,6277.
266.,6278.
267.,6278.
268.,6278.
269.,6278.
270.,6278.
271.,6278.
272.,6278.
273.,6278.
274.,6278.
275.,6278.
276.,6279.
277.,6280.
278.,6280.
279.,6281.
280.,6281.
281.,6282.
282.,6283.
283.,6283.
284.,6283.
285.,6283.
286.,6283.
287.,6283.
288.,6284.
289.,6284.
290.,6284.
291.,6284.
292.,6284.
293.,6284.
294.,6285.
295.,6288.
296.,6288.
297.,6288.
298.,6288.
299.,6288.
300.,6288.
301.,6288.
302.,6290.
303.,6291.
304.,6293.
305.,6293.
306.,6294.
307.,6294.
308.,6294.
309.,6295.
310.,6295.
311.,6295.
312.,6295.
313.,6294.
314.,6294.
315.,6294.
316.,6294.
317.,6294.
318.,6295.
319.,6295.
320.,6296.
321.,6296.
322.,6297.
323.,6297.
324.,6298.
325.,6298.
326.,6300.
327.,6301.
328.,6301.
329.,6301.
330.,6301.
331.,6301.
332.,6302.
333.,6303.
334.,6303.
335.,6303.
336.,6304.
337.,6305.
338.,6305.
339.,6305.
340.,6305.
341.,6305.
342.,6306.
343.,6306.
344.,6306.
345.,6307.
346.,6308.
347.,6309.
348.,6309.
349.,6311.
350.,6312.
351.,6315.
352.,6316.
353.,6316.
354.,6316.
355.,6318.
356.,6319.
357.,6320.
358.,6320.
359.,6320.
360.,6320.
361.,6321.
362.,6321.
363.,6321.
364.,6322.
365.,6323.
366.,6324.
367.,6324.
368.,6325.
369.,6325.
370.,6325.
371.,6325.
372.,6326.
373.,6326.
374.,6326.
375.,6326.
376.,6326.
377.,6326.
378.,6326.
379.,6327.
380.,6327.
381.,6326.
382.,6326.
383.,6326.
384.,6327.
385.,6327.
386.,6327.
387.,6327.
388.,6327.
389.,6327.
390.,6327.
391.,6326.
392.,6327.
393.,6329.
394.,6332.
395.,6333.
396.,6333.
397.,6335.
398.,6336.
399.,6336.
400.,6337.
401.,6337.
402.,6339.
403.,6339.
404.,6339.
405.,6339.
406.,6339.
407.,6340.
408.,6342.
409.,6344.
410.,6344.
411.,6344.
412.,6344.
413.,6344.
414.,6344.
415.,6344.
416.,6344.
417.,6344.
418.,6344.
419.,6344.
420.,6344.
421.,6344.
422.,6343.
423.,6345.
424.,6343.
425.,6343.
426.,6343.
427.,6343.
428.,6341.
429.,6343.
430.,6343.
431.,6345.
432.,6347.
433.,6348.
434.,6348.
435.,6348.
436.,6349.
437.,6351.
438.,6353.
439.,6357.
440.,6359.
441.,6360.
442.,6361.
443.,6360.
444.,6362.
445.,6363.
446.,6363.
447.,6365.
448.,6366.
449.,6369.
450.,6369.
451.,6371.
452.,6372.
453.,6374.
454.,6375.
455.,6375.
456.,6376.
457.,6375.
458.,6377.
459.,6379.
460.,6382.
461.,6387.
462.,6386.
463.,6386.
464.,6389.
465.,6391.
466.,6392.
467.,6397.
468.,6398.
469.,6399.
470.,6401.
471.,6406.
472.,6408.
473.,6407.
474.,6406.
475.,6406.
476.,6408.
477.,6409.
478.,6410.
479.,6411.
480.,6411.
481.,6411.
482.,6410.
483.,6409.
484.,6411.
485.,6413.
486.,6414.
487.,6415.
488.,6415.
489.,6415.
490.,6415.
491.,6416.
492.,6416.
493.,6416.
494.,6417.
495.,6417.
496.,6417.
497.,6417.
498.,6416.
499.,6416.
500.,6416.
501.,6416.
502.,6416.
503.,6416.
504.,6417.
505.,6419.
506.,6418.
507.,6417.
508.,6416.
509.,6417.
510.,6418.
511.,6419.
512.,6419.
513.,6419.
514.,6419.
515.,6419.
516.,6419.
517.,6419.
518.,6420.
519.,6420.
520.,6420.
521.,6420.
522.,6420.
523.,6420.
524.,6420.
525.,6420.
526.,6424.
527.,6425.
528.,6429.
529.,6429.
530.,6430.
531.,6431.
532.,6431.
533.,6431.
534.,6431.
535.,6432.
536.,6434.
537.,6434.
538.,6434.
539.,6435.
540.,6437.
541.,6436.
542.,6438.
543.,6438.
544.,6438.
545.,6439.
546.,6443.
547.,6444.
548.,6444.
549.,6444.
550.,6445.
551.,6446.
552.,6446.
553.,6446.
554.,6446.
555.,6447.
556.,6448.
557.,6447.
558.,6447.
559.,6447.
560.,6447.
561.,6449.
562.,6450.
563.,6450.
564.,6450.
565.,6451.
566.,6451.
567.,6451.
568.,6453.
569.,6454.
570.,6455.
571.,6455.
572.,6457.
573.,6457.
574.,6458.
575.,6458.
576.,6458.
577.,6458.
578.,6459.
579.,6459.
580.,6459.
581.,6459.
582.,6459.
583.,6459.
584.,6461.
585.,6461.
586.,6461.
587.,6462.
588.,6462.
589.,6462.
590.,6462.
591.,6462.
592.,6462.
593.,6462.
594.,6463.
595.,6464.
596.,6464.
597.,6466.
598.,6467.
599.,6468.
600.,6468.
601.,6469.
602.,6473.
603.,6474.
604.,6477.
605.,6477.
606.,6476.
607.,6478.
608.,6482.
609.,6484.
610.,6490.
611.,6490.
612.,6490.
613.,6491.
614.,6493.
615.,6500.
616.,6501.
617.,6502.
618.,6502.
619.,6502.
620.,6505.
621.,6505.
622.,6509.
623.,6510.
624.,6508.
625.,6510.
626.,6511.
627.,6513.
628.,6515.
629.,6516.
630.,6517.
631.,6518.
632.,6518.
633.,6519.
634.,6522.
635.,6526.
636.,6530.
637.,6531.
638.,6533.
639.,6534.
640.,6537.
641.,6537.
642.,6537.
643.,6544.
644.,6544.
645.,6543.
646.,6544.
647.,6547.
648.,6548.
649.,6549.
650.,6551.
651.,6552.
652.,6553.
653.,6552.
654.,6551.
655.,6551.
656.,6553.
657.,6555.
658.,6556.
659.,6556.
660.,6556.
661.,6558.
662.,6560.
663.,6558.
664.,6560.
665.,6561.
666.,6562.
667.,6562.
668.,6562.
669.,6562.
670.,6564.
671.,6566.
672.,6567.
673.,6567.
674.,6566.
675.,6567.
676.,6567.
677.,6567.
678.,6568.
679.,6569.
680.,6569.
681.,6569.
682.,6570.
683.,6571.
684.,6571.
685.,6571.
686.,6572.
687.,6572.
688.,6572.
689.,6574.
690.,6575.
691.,6578.
692.,6578.
693.,6579.
694.,6579.
695.,6579.
696.,6580.
697.,6580.
698.,6581.
699.,6583.
700.,6582.
701.,6582.
702.,6584.
703.,6584.
704.,6587.
705.,6587.
706.,6587.
707.,6592.
708.,6593.
709.,6593.
710.,6594.
711.,6594.
712.,6594.
713.,6595.
714.,6594.
715.,6594.
716.,6595.
717.,6596.
718.,6596.
719.,6597.
720.,6598.
721.,6598.
722.,6598.
723.,6598.
724.,6598.
725.,6598.
726.,6598.
727.,6598.
728.,6598.
729.,6598.
730.,6598.
731.,6598.
732.,6598.
733.,6598.
734.,6598.
735.,6598.
736.,6598.
737.,6598.
738.,6598.
739.,6598.
740.,6598.
741.,6600.
742.,6604.
743.,6606.
744.,6607.
745.,6607.
746.,6608.
747.,6606.
748.,6606.
749.,6607.
750.,6607.
751.,6610.
752.,6610.
753.,6611.
754.,6612.
755.,6613.
756.,6612.
757.,6612.
758.,6613.
759.,6612.
760.,6611.
761.,6611.
762.,6611.
763.,6612.
764.,6612.
765.,6612.
766.,6612.
767.,6612.
768.,6611.
769.,6611.
770.,6612.
771.,6612.
772.,6613.
773.,6614.
774.,6614.
775.,6615.
776.,6615.
777.,6615.
778.,6615.
779.,6615.
780.,6616.
781.,6616.
782.,6617.
783.,6617.
784.,6616.
785.,6617.
786.,6617.
787.,6619.
788.,6621.
789.,6622.
790.,6624.
791.,6625.
792.,6626.
793.,6626.
794.,6628.
795.,6629.
796.,6629.
797.,6630.
798.,6631.
799.,6633.
800.,6634.
801.,6637.
802.,6638.
803.,6639.
804.,6642.
805.,6646.
806.,6647.
807.,6648.
808.,6647.
809.,6647.
810.,6647.
811.,6649.
812.,6649.
813.,6649.
814.,6650.
815.,6650.
816.,6651.
817.,6652.
818.,6654.
819.,6654.
820.,6654.
821.,6655.
822.,6657.
823.,6657.
824.,6661.
825.,6661.
826.,6661.
827.,6662.
828.,6665.
829.,6668.
830.,6667.
831.,6669.
832.,6673.
833.,6673.
834.,6674.
835.,6674.
836.,6675.
837.,6677.
838.,6678.
839.,6679.
840.,6680.
841.,6681.
842.,6683.
843.,6687.
844.,6689.
845.,6693.
846.,6694.
847.,6694.
848.,6694.
849.,6696.
850.,6698.
851.,6699.
852.,6700.
853.,6700.
854.,6700.
855.,6700.
856.,6702.
857.,6703.
858.,6705.
859.,6707.
860.,6707.
861.,6708.
862.,6708.
863.,6708.
864.,6707.
865.,6708.
866.,6710.
867.,6710.
868.,6712.
869.,6712.
870.,6714.
871.,6714.
872.,6714.
873.,6715.
874.,6716.
875.,6717.
876.,6717.
877.,6717.
878.,6717.
879.,6717.
880.,6717.
881.,6717.
882.,6717.
883.,6717.
884.,6718.
885.,6718.
886.,6718.
887.,6718.
888.,6718.
889.,6718.
890.,6718.
891.,6718.
892.,6718.
893.,6720.
894.,6720.
895.,6721.
896.,6721.
897.,6722.
898.,6722.
899.,6722.
900.,6722.
901.,6724.
902.,6725.
903.,6726.
904.,6729.
905.,6731.
906.,6731.
907.,6731.
908.,6731.
909.,6732.
910.,6734.
911.,6733.
912.,6734.
913.,6734.
914.,6735.
915.,6735.
916.,6735.
917.,6735.
918.,6735.
919.,6735.
920.,6736.
921.,6736.
922.,6737.
923.,6738.
924.,6737.
925.,6740.
926.,6740.
927.,6742.
928.,6742.
929.,6742.
