TotalArea_x,TotalArea_y
0.,2457.
1.,2482.
2.,2508.
3.,2533.
4.,2995.
5.,3524.
6.,3945.
7.,4363.
8.,4820.
9.,5249.
10.,5665.
11.,5854.
12.,5949.
13.,6006.
14.,6065.
15.,6077.
16.,6086.
17.,6095.
18.,6103.
19.,6093.
20.,6092.
21.,6101.
22.,6107.
23.,6108.
24.,6110.
25.,6113.
26.,6113.
27.,6111.
28.,6116.
29.,6116.
30.,6111.
31.,6109.
32.,6108.
33.,6109.
34.,6111.
35.,6111.
36.,6113.
37.,6114.
38.,6122.
39.,6121.
40.,6117.
41.,6119.
42.,6119.
43.,6119.
44.,6117.
45.,6118.
46.,6119.
47.,6118.
48.,6119.
49.,6122.
50.,6124.
51.,6121.
52.,6120.
53.,6122.
54.,6124.
55.,6129.
56.,6129.
57.,6131.
58.,6130.
59.,6129.
60.,6132.
61.,6137.
62.,6138.
63.,6139.
64.,6139.
65.,6141.
66.,6140.
67.,6138.
68.,6139.
69.,6140.
70.,6140.
71.,6143.
72.,6144.
73.,6142.
74.,6144.
75.,6145.
76.,6147.
77.,6148.
78.,6150.
79.,6150.
80.,6149.
81.,6148.
82.,6148.
83.,6149.
84.,6153.
85.,6153.
86.,6156.
87.,6154.
88.,6154.
89.,6155.
90.,6155.
91.,6154.
92.,6155.
93.,6154.
94.,6154.
95.,6156.
96.,6155.
97.,6158.
98.,6159.
99.,6159.
100.,6159.
101.,6160.
102.,6160.
103.,6162.
104.,6164.
105.,6164.
106.,6165.
107.,6165.
108.,6166.
109.,6165.
110.,6163.
111.,6163.
112.,6163.
113.,6164.
114.,6164.
115.,6165.
116.,6165.
117.,6165.
118.,6165.
119.,6166.
120.,6164.
121.,6162.
122.,6162.
123.,6163.
124.,6162.
125.,6163.
126.,6164.
127.,6164.
128.,6164.
129.,6162.
130.,6163.
131.,6164.
132.,6164.
133.,6162.
134.,6164.
135.,6164.
136.,6162.
137.,6164.
138.,6164.
139.,6163.
140.,6164.
141.,6164.
142.,6164.
143.,6166.
144.,6166.
145.,6166.
146.,6167.
147.,6171.
148.,6171.
149.,6168.
150.,6171.
151.,6172.
152.,6174.
153.,6175.
154.,6177.
155.,6174.
156.,6175.
157.,6176.
158.,6175.
159.,6177.
160.,6177.
161.,6177.
162.,6178.
163.,6178.
164.,6177.
165.,6176.
166.,6177.
167.,6175.
168.,6176.
169.,6175.
170.,6174.
171.,6175.
172.,6176.
173.,6178.
174.,6178.
175.,6178.
176.,6178.
177.,6178.
178.,6178.
179.,6180.
180.,6178.
181.,6179.
182.,6179.
183.,6179.
184.,6180.
185.,6179.
186.,6179.
187.,6181.
188.,6181.
189.,6180.
190.,6178.
191.,6181.
192.,6179.
193.,6179.
194.,6179.
195.,6181.
196.,6182.
197.,6183.
198.,6181.
199.,6181.
200.,6185.
201.,6184.
202.,6184.
203.,6184.
204.,6183.
205.,6187.
206.,6186.
207.,6184.
208.,6184.
209.,6187.
210.,6187.
211.,6186.
212.,6185.
213.,6185.
214.,6186.
215.,6186.
216.,6184.
217.,6185.
218.,6186.
219.,6186.
220.,6186.
221.,6186.
222.,6186.
