TotalArea_x,TotalArea_y
0.,2457.
1.,2475.
2.,2498.
3.,2519.
4.,2951.
5.,3471.
6.,3937.
7.,4389.
8.,4832.
9.,5231.
10.,5631.
11.,5862.
12.,5971.
13.,6034.
14.,6045.
15.,6062.
16.,6072.
17.,6095.
18.,6100.
19.,6115.
20.,6119.
21.,6116.
22.,6112.
23.,6124.
24.,6120.
25.,6126.
26.,6123.
27.,6127.
28.,6130.
29.,6126.
30.,6133.
31.,6135.
32.,6132.
33.,6132.
34.,6129.
35.,6133.
36.,6132.
37.,6132.
38.,6136.
39.,6136.
40.,6134.
41.,6139.
42.,6142.
43.,6141.
44.,6142.
45.,6142.
46.,6144.
47.,6146.
48.,6146.
49.,6146.
50.,6146.
51.,6146.
52.,6147.
53.,6147.
54.,6147.
55.,6147.
56.,6145.
57.,6145.
58.,6144.
59.,6144.
60.,6142.
61.,6144.
62.,6144.
63.,6144.
64.,6144.
65.,6144.
66.,6145.
67.,6146.
68.,6147.
69.,6148.
70.,6149.
71.,6150.
72.,6150.
73.,6150.
74.,6151.
75.,6151.
76.,6151.
77.,6153.
78.,6153.
79.,6153.
80.,6155.
81.,6157.
82.,6156.
83.,6157.
84.,6158.
85.,6160.
86.,6160.
87.,6161.
88.,6161.
89.,6162.
90.,6162.
91.,6162.
92.,6162.
93.,6163.
94.,6167.
95.,6168.
96.,6168.
97.,6168.
98.,6169.
99.,6170.
100.,6172.
101.,6171.
102.,6172.
103.,6172.
104.,6173.
105.,6176.
106.,6177.
107.,6181.
108.,6181.
109.,6180.
110.,6182.
111.,6183.
112.,6187.
113.,6188.
114.,6189.
115.,6188.
116.,6193.
117.,6193.
118.,6195.
119.,6194.
120.,6193.
121.,6194.
122.,6197.
123.,6196.
124.,6198.
125.,6199.
126.,6197.
127.,6199.
128.,6200.
129.,6201.
130.,6201.
131.,6203.
132.,6202.
133.,6202.
134.,6202.
135.,6202.
136.,6205.
137.,6207.
138.,6209.
139.,6212.
140.,6216.
141.,6217.
142.,6218.
143.,6217.
144.,6217.
145.,6219.
146.,6224.
147.,6224.
148.,6224.
149.,6222.
150.,6222.
151.,6223.
152.,6224.
153.,6221.
154.,6222.
155.,6225.
156.,6225.
157.,6225.
158.,6229.
159.,6228.
160.,6228.
161.,6231.
162.,6231.
163.,6232.
164.,6230.
165.,6231.
166.,6231.
167.,6232.
168.,6231.
169.,6230.
170.,6230.
171.,6230.
172.,6231.
173.,6231.
174.,6231.
175.,6230.
176.,6230.
177.,6230.
178.,6230.
179.,6231.
180.,6233.
181.,6233.
182.,6233.
183.,6236.
184.,6237.
185.,6236.
186.,6238.
187.,6238.
188.,6238.
189.,6238.
190.,6239.
191.,6239.
192.,6239.
193.,6239.
194.,6239.
195.,6238.
196.,6240.
197.,6240.
198.,6239.
199.,6241.
200.,6242.
201.,6241.
202.,6245.
203.,6245.
204.,6245.
205.,6245.
206.,6245.
207.,6245.
208.,6245.
209.,6245.
210.,6244.
211.,6245.
212.,6245.
213.,6244.
214.,6245.
215.,6245.
216.,6245.
217.,6245.
218.,6245.
219.,6245.
220.,6245.
221.,6246.
222.,6246.
223.,6246.
224.,6246.
225.,6246.
226.,6246.
227.,6246.
228.,6246.
229.,6246.
230.,6246.
231.,6246.
232.,6246.
233.,6246.
234.,6246.
235.,6249.
236.,6249.
237.,6249.
238.,6249.
239.,6249.
240.,6249.
241.,6249.
242.,6250.
243.,6250.
244.,6250.
245.,6250.
246.,6250.
247.,6250.
248.,6250.
249.,6250.
250.,6250.
251.,6250.
252.,6250.
253.,6250.
254.,6251.
255.,6251.
256.,6251.
257.,6251.
258.,6251.
259.,6251.
260.,6254.
261.,6254.
262.,6255.
263.,6256.
264.,6256.
265.,6256.
266.,6258.
267.,6262.
268.,6264.
269.,6265.
270.,6265.
271.,6265.
272.,6263.
273.,6265.
274.,6266.
275.,6265.
276.,6265.
277.,6266.
278.,6267.
