TotalArea_x,TotalArea_y
0.,2457.
1.,2479.
2.,2499.
3.,2522.
4.,3000.
5.,3511.
6.,3925.
7.,4352.
8.,4811.
9.,5231.
10.,5650.
11.,5848.
12.,5912.
13.,5987.
14.,6023.
15.,6031.
16.,6044.
17.,6049.
18.,6062.
19.,6064.
20.,6066.
21.,6070.
22.,6080.
23.,6079.
24.,6083.
25.,6078.
26.,6086.
27.,6086.
28.,6091.
29.,6092.
30.,6093.
31.,6092.
32.,6091.
33.,6088.
34.,6087.
35.,6091.
36.,6094.
37.,6095.
38.,6095.
39.,6095.
40.,6097.
41.,6097.
42.,6096.
43.,6095.
44.,6093.
45.,6092.
46.,6094.
47.,6095.
48.,6097.
49.,6099.
50.,6100.
51.,6101.
52.,6100.
53.,6099.
54.,6097.
55.,6099.
56.,6105.
57.,6104.
58.,6106.
59.,6109.
60.,6113.
61.,6114.
62.,6116.
63.,6121.
64.,6117.
65.,6119.
66.,6117.
67.,6121.
68.,6125.
69.,6126.
70.,6125.
71.,6126.
72.,6128.
73.,6128.
74.,6126.
75.,6130.
76.,6129.
77.,6128.
78.,6126.
79.,6125.
80.,6125.
81.,6124.
82.,6126.
83.,6126.
84.,6124.
85.,6125.
86.,6128.
87.,6127.
88.,6125.
89.,6129.
90.,6133.
91.,6137.
92.,6137.
93.,6139.
94.,6138.
95.,6141.
96.,6140.
97.,6139.
98.,6140.
99.,6143.
100.,6145.
101.,6148.
102.,6147.
103.,6147.
104.,6147.
105.,6149.
106.,6150.
107.,6152.
108.,6151.
109.,6153.
110.,6154.
111.,6157.
112.,6157.
113.,6156.
114.,6157.
115.,6158.
116.,6157.
117.,6159.
118.,6158.
119.,6159.
120.,6159.
121.,6158.
122.,6157.
123.,6158.
124.,6159.
125.,6160.
126.,6160.
127.,6161.
128.,6158.
129.,6158.
130.,6158.
131.,6160.
132.,6161.
133.,6164.
134.,6165.
135.,6165.
136.,6167.
137.,6167.
138.,6169.
139.,6169.
140.,6167.
141.,6166.
142.,6167.
143.,6168.
144.,6168.
145.,6170.
146.,6171.
147.,6171.
148.,6172.
149.,6173.
150.,6173.
151.,6173.
152.,6174.
153.,6174.
154.,6172.
155.,6174.
156.,6174.
157.,6175.
158.,6178.
159.,6179.
160.,6179.
161.,6179.
162.,6178.
163.,6178.
164.,6178.
165.,6178.
166.,6179.
167.,6181.
168.,6183.
169.,6184.
170.,6183.
171.,6184.
172.,6185.
173.,6184.
174.,6185.
175.,6185.
176.,6186.
177.,6187.
178.,6187.
179.,6186.
180.,6187.
181.,6189.
182.,6187.
183.,6187.
184.,6189.
185.,6190.
186.,6189.
187.,6189.
188.,6189.
189.,6191.
190.,6191.
191.,6194.
192.,6194.
193.,6195.
194.,6196.
195.,6197.
196.,6197.
197.,6198.
198.,6199.
199.,6198.
200.,6199.
201.,6199.
202.,6200.
203.,6202.
204.,6202.
205.,6204.
206.,6204.
207.,6205.
208.,6206.
209.,6206.
210.,6206.
211.,6206.
212.,6206.
213.,6206.
214.,6206.
215.,6206.
216.,6207.
217.,6208.
218.,6209.
219.,6208.
220.,6209.
221.,6211.
222.,6212.
223.,6214.
224.,6212.
225.,6213.
226.,6215.
227.,6216.
228.,6216.
229.,6218.
230.,6216.
231.,6218.
232.,6221.
233.,6223.
234.,6227.
235.,6226.
236.,6229.
237.,6232.
238.,6232.
239.,6231.
240.,6230.
241.,6232.
242.,6236.
243.,6234.
244.,6241.
245.,6242.
246.,6243.
247.,6244.
248.,6244.
249.,6249.
250.,6250.
251.,6250.
252.,6249.
253.,6249.
254.,6249.
255.,6252.
256.,6255.
257.,6254.
258.,6258.
259.,6260.
260.,6262.
261.,6265.
262.,6264.
263.,6265.
264.,6266.
265.,6265.
266.,6265.
267.,6265.
268.,6265.
269.,6267.
270.,6267.
271.,6266.
272.,6267.
273.,6266.
274.,6267.
275.,6267.
276.,6269.
277.,6269.
278.,6270.
279.,6272.
280.,6272.
281.,6272.
282.,6271.
283.,6271.
284.,6273.
285.,6274.
286.,6273.
287.,6273.
288.,6273.
289.,6273.
290.,6274.
291.,6274.
292.,6274.
293.,6274.
294.,6271.
295.,6273.
296.,6273.
297.,6276.
298.,6276.
299.,6277.
300.,6277.
301.,6277.
302.,6278.
303.,6277.
304.,6277.
305.,6275.
306.,6276.
307.,6277.
308.,6276.
309.,6277.
310.,6279.
311.,6281.
312.,6282.
313.,6282.
314.,6283.
315.,6284.
316.,6285.
317.,6285.
318.,6285.
319.,6287.
320.,6290.
321.,6290.
322.,6289.
323.,6290.
324.,6288.
325.,6286.
326.,6287.
327.,6287.
328.,6286.
329.,6289.
330.,6290.
331.,6291.
332.,6293.
333.,6295.
334.,6296.
335.,6296.
336.,6296.
337.,6297.
338.,6300.
339.,6299.
340.,6299.
341.,6299.
342.,6302.
343.,6305.
344.,6307.
345.,6307.
346.,6307.
347.,6307.
348.,6309.
349.,6310.
350.,6309.
351.,6311.
352.,6312.
353.,6317.
354.,6319.
355.,6319.
356.,6317.
357.,6316.
358.,6318.
359.,6322.
360.,6322.
361.,6321.
362.,6321.
363.,6321.
364.,6321.
365.,6321.
366.,6321.
367.,6319.
368.,6321.
369.,6321.
370.,6320.
371.,6321.
372.,6319.
373.,6321.
374.,6322.
375.,6322.
376.,6321.
377.,6320.
378.,6323.
379.,6327.
380.,6327.
381.,6328.
382.,6329.
383.,6329.
384.,6329.
385.,6330.
386.,6330.
387.,6331.
388.,6331.
389.,6333.
390.,6333.
391.,6333.
392.,6334.
393.,6333.
394.,6334.
395.,6335.
396.,6334.
397.,6334.
398.,6335.
399.,6335.
400.,6336.
401.,6337.
402.,6341.
403.,6342.
404.,6345.
405.,6348.
406.,6349.
407.,6351.
408.,6353.
409.,6353.
410.,6352.
411.,6355.
412.,6355.
413.,6356.
414.,6357.
415.,6356.
416.,6356.
417.,6359.
418.,6359.
419.,6358.
420.,6362.
421.,6361.
422.,6362.
423.,6360.
424.,6363.
425.,6363.
426.,6364.
427.,6364.
428.,6364.
429.,6363.
430.,6364.
431.,6365.
432.,6365.
433.,6363.
434.,6362.
435.,6364.
436.,6366.
437.,6367.
438.,6370.
439.,6370.
440.,6374.
441.,6375.
442.,6375.
443.,6375.
444.,6374.
445.,6374.
446.,6377.
447.,6380.
448.,6379.
449.,6380.
450.,6381.
451.,6382.
452.,6383.
453.,6385.
454.,6387.
455.,6388.
456.,6388.
457.,6388.
458.,6392.
459.,6393.
460.,6394.
461.,6397.
462.,6398.
463.,6399.
464.,6398.
465.,6400.
466.,6403.
467.,6405.
468.,6406.
469.,6408.
470.,6409.
471.,6410.
472.,6411.
473.,6411.
474.,6411.
475.,6411.
476.,6412.
477.,6414.
478.,6416.
479.,6417.
480.,6417.
481.,6418.
482.,6419.
483.,6419.
484.,6418.
485.,6420.
486.,6419.
487.,6419.
488.,6419.
489.,6420.
490.,6421.
491.,6420.
492.,6419.
493.,6422.
