TotalArea_x,TotalArea_y
0.,2457.
1.,2474.
2.,2501.
3.,2525.
4.,3004.
5.,3545.
6.,3977.
7.,4407.
8.,4840.
9.,5253.
10.,5647.
11.,5847.
12.,5947.
13.,6010.
14.,6046.
15.,6072.
16.,6098.
17.,6113.
18.,6110.
19.,6116.
20.,6116.
21.,6114.
22.,6109.
23.,6117.
24.,6116.
25.,6123.
26.,6122.
27.,6121.
28.,6120.
29.,6126.
30.,6133.
31.,6131.
32.,6130.
33.,6130.
34.,6131.
35.,6135.
36.,6138.
37.,6141.
38.,6141.
39.,6144.
40.,6140.
41.,6141.
42.,6140.
43.,6143.
44.,6145.
45.,6145.
46.,6145.
47.,6145.
48.,6145.
49.,6144.
50.,6146.
51.,6146.
52.,6143.
53.,6146.
54.,6147.
55.,6149.
56.,6151.
57.,6153.
58.,6152.
59.,6152.
60.,6150.
61.,6150.
62.,6148.
63.,6149.
64.,6148.
65.,6149.
66.,6148.
67.,6151.
68.,6148.
69.,6150.
70.,6149.
71.,6147.
72.,6145.
73.,6145.
74.,6142.
75.,6140.
76.,6143.
77.,6143.
78.,6143.
79.,6145.
80.,6146.
81.,6148.
82.,6149.
83.,6148.
84.,6145.
85.,6149.
86.,6148.
87.,6151.
88.,6151.
89.,6150.
90.,6148.
91.,6151.
92.,6152.
93.,6153.
94.,6154.
95.,6157.
96.,6160.
97.,6157.
98.,6159.
99.,6165.
100.,6167.
101.,6169.
102.,6169.
103.,6166.
104.,6166.
105.,6168.
106.,6167.
107.,6170.
108.,6171.
109.,6170.
110.,6171.
111.,6171.
112.,6166.
113.,6164.
114.,6163.
115.,6165.
116.,6170.
117.,6172.
118.,6173.
119.,6173.
120.,6174.
121.,6173.
122.,6171.
123.,6173.
124.,6174.
125.,6178.
126.,6178.
127.,6176.
128.,6177.
129.,6179.
130.,6176.
131.,6173.
132.,6170.
133.,6170.
134.,6170.
135.,6171.
136.,6172.
137.,6172.
138.,6174.
139.,6174.
140.,6173.
141.,6173.
142.,6175.
143.,6175.
144.,6176.
145.,6177.
146.,6175.
147.,6176.
148.,6177.
149.,6176.
150.,6177.
151.,6177.
152.,6178.
153.,6176.
154.,6177.
155.,6178.
156.,6179.
157.,6177.
158.,6179.
159.,6181.
160.,6180.
161.,6179.
162.,6181.
163.,6187.
164.,6185.
165.,6189.
166.,6188.
167.,6190.
168.,6189.
169.,6189.
170.,6190.
171.,6190.
172.,6190.
173.,6192.
174.,6193.
175.,6192.
176.,6193.
177.,6193.
178.,6193.
179.,6196.
180.,6196.
181.,6195.
182.,6195.
183.,6196.
184.,6198.
185.,6197.
186.,6199.
187.,6197.
188.,6199.
189.,6202.
190.,6202.
191.,6199.
192.,6200.
193.,6201.
194.,6202.
