TotalArea_x,TotalArea_y
0.,9536.
1.,9539.
2.,9561.
3.,9591.
4.,11744.
5.,14059.
6.,15926.
7.,17828.
8.,20010.
9.,21923.
10.,23723.
11.,24663.
12.,25144.
13.,25385.
14.,25528.
15.,25588.
16.,25616.
17.,25618.
18.,25626.
19.,25645.
20.,25644.
21.,25644.
22.,25641.
23.,25635.
24.,25639.
25.,25642.
26.,25630.
27.,25637.
28.,25641.
29.,25636.
30.,25637.
31.,25636.
32.,25633.
33.,25640.
34.,25637.
35.,25642.
36.,25639.
37.,25640.
38.,25639.
39.,25637.
40.,25634.
41.,25636.
42.,25635.
43.,25633.
44.,25637.
45.,25637.
46.,25639.
47.,25639.
48.,25640.
49.,25642.
50.,25641.
51.,25642.
52.,25646.
53.,25649.
54.,25651.
55.,25650.
56.,25649.
57.,25650.
58.,25650.
59.,25652.
60.,25652.
61.,25652.
62.,25651.
63.,25653.
64.,25651.
65.,25651.
66.,25651.
67.,25650.
68.,25651.
69.,25650.
70.,25655.
71.,25658.
72.,25657.
73.,25660.
74.,25663.
75.,25664.
76.,25663.
77.,25663.
78.,25663.
79.,25665.
80.,25667.
81.,25665.
82.,25663.
83.,25663.
84.,25665.
85.,25665.
86.,25667.
87.,25667.
88.,25664.
89.,25663.
90.,25665.
91.,25668.
92.,25665.
93.,25666.
94.,25666.
95.,25666.
96.,25670.
97.,25672.
98.,25672.
99.,25676.
100.,25675.
101.,25676.
102.,25674.
103.,25678.
104.,25680.
105.,25683.
106.,25688.
107.,25690.
108.,25689.
109.,25690.
110.,25693.
111.,25695.
112.,25697.
113.,25698.
114.,25701.
115.,25704.
116.,25707.
117.,25712.
118.,25713.
119.,25713.
120.,25712.
121.,25709.
122.,25710.
123.,25710.
124.,25711.
125.,25711.
126.,25713.
127.,25712.
128.,25711.
129.,25710.
130.,25710.
131.,25708.
132.,25712.
133.,25715.
134.,25715.
135.,25719.
136.,25715.
137.,25717.
138.,25714.
139.,25715.
140.,25716.
141.,25719.
142.,25713.
143.,25714.
144.,25719.
145.,25717.
146.,25719.
147.,25717.
148.,25720.
149.,25717.
150.,25717.
151.,25714.
152.,25718.
153.,25716.
154.,25717.
155.,25720.
156.,25722.
157.,25723.
158.,25722.
159.,25724.
160.,25723.
161.,25724.
162.,25722.
163.,25726.
164.,25730.
165.,25728.
166.,25727.
167.,25730.
168.,25731.
169.,25733.
170.,25732.
171.,25731.
172.,25734.
173.,25734.
174.,25732.
175.,25732.
176.,25734.
177.,25737.
178.,25738.
179.,25733.
180.,25736.
181.,25737.
182.,25736.
183.,25737.
184.,25740.
185.,25740.
186.,25741.
187.,25746.
188.,25745.
189.,25745.
190.,25745.
191.,25746.
192.,25745.
193.,25746.
194.,25747.
195.,25752.
196.,25752.
197.,25754.
198.,25754.
199.,25753.
200.,25753.
201.,25754.
202.,25756.
203.,25756.
204.,25756.
205.,25757.
206.,25756.
207.,25757.
208.,25760.
209.,25762.
210.,25759.
211.,25761.
212.,25764.
213.,25765.
214.,25765.
215.,25767.
216.,25769.
217.,25769.
218.,25769.
219.,25769.
220.,25771.
221.,25770.
222.,25771.
223.,25772.
224.,25773.
225.,25773.
226.,25774.
227.,25773.
228.,25772.
229.,25776.
230.,25774.
231.,25775.
232.,25775.
233.,25774.
234.,25774.
235.,25777.
236.,25776.
237.,25776.
238.,25776.
239.,25775.
240.,25776.
241.,25778.
242.,25777.
243.,25778.
244.,25778.
245.,25778.
246.,25777.
247.,25777.
248.,25777.
249.,25777.
250.,25780.
251.,25783.
252.,25784.
253.,25785.
254.,25784.
255.,25783.
256.,25785.
257.,25787.
258.,25787.
259.,25787.
260.,25786.
261.,25786.
262.,25786.
263.,25786.
264.,25786.
265.,25788.
266.,25788.
267.,25788.
268.,25790.
269.,25794.
270.,25791.
271.,25794.
272.,25796.
273.,25797.
274.,25798.
275.,25798.
276.,25799.
277.,25799.
278.,25799.
279.,25799.
280.,25799.
281.,25799.
282.,25800.
283.,25801.
284.,25802.
285.,25800.
286.,25801.
287.,25803.
288.,25806.
289.,25810.
290.,25810.
291.,25812.
292.,25811.
293.,25813.
294.,25812.
295.,25814.
296.,25814.
297.,25817.
298.,25820.
299.,25818.
300.,25818.
301.,25820.
302.,25821.
303.,25820.
304.,25821.
305.,25823.
306.,25823.
307.,25824.
308.,25825.
309.,25824.
310.,25824.
311.,25824.
312.,25824.
313.,25824.
314.,25825.
315.,25825.
316.,25825.
317.,25825.
318.,25825.
319.,25826.
320.,25824.
321.,25828.
322.,25828.
323.,25829.
324.,25827.
325.,25828.
326.,25827.
327.,25828.
328.,25829.
329.,25830.
330.,25830.
331.,25830.
332.,25832.
333.,25835.
334.,25837.
335.,25837.
336.,25840.
337.,25840.
338.,25841.
339.,25842.
340.,25843.
341.,25845.
342.,25845.
343.,25847.
344.,25847.
345.,25849.
346.,25850.
347.,25849.
348.,25844.
349.,25847.
350.,25848.
351.,25848.
352.,25851.
353.,25851.
354.,25852.
355.,25853.
356.,25856.
357.,25858.
358.,25854.
359.,25856.
360.,25854.
361.,25856.
362.,25859.
363.,25857.
364.,25856.
365.,25858.
366.,25858.
367.,25860.
368.,25860.
369.,25858.
370.,25863.
371.,25862.
372.,25866.
373.,25868.
374.,25869.
375.,25871.
376.,25872.
377.,25871.
378.,25871.
379.,25872.
380.,25869.
381.,25869.
382.,25871.
383.,25871.
384.,25872.
385.,25872.
386.,25873.
387.,25872.
388.,25877.
389.,25876.
390.,25878.
391.,25877.
392.,25877.
393.,25876.
394.,25875.
395.,25876.
396.,25874.
397.,25875.
398.,25875.
399.,25874.
400.,25874.
401.,25873.
402.,25874.
403.,25875.
404.,25875.
405.,25876.
406.,25878.
407.,25878.
408.,25877.
409.,25877.
410.,25877.
411.,25879.
412.,25878.
413.,25880.
414.,25879.
415.,25880.
416.,25884.
417.,25885.
418.,25885.
419.,25885.
420.,25885.
421.,25885.
422.,25887.
423.,25887.
424.,25887.
425.,25889.
426.,25890.
427.,25888.
428.,25889.
429.,25890.
430.,25891.
431.,25894.
432.,25894.
433.,25893.
434.,25895.
435.,25895.
436.,25896.
437.,25895.
438.,25896.
439.,25897.
440.,25899.
441.,25901.
442.,25902.
443.,25901.
444.,25904.
445.,25905.
446.,25906.
447.,25906.
448.,25907.
449.,25908.
450.,25908.
451.,25907.
452.,25906.
453.,25907.
454.,25907.
455.,25908.
456.,25911.
457.,25914.
458.,25911.
459.,25915.
460.,25914.
461.,25915.
462.,25918.
463.,25918.
464.,25919.
465.,25921.
466.,25920.
467.,25922.
468.,25924.
469.,25923.
470.,25929.
471.,25930.
472.,25928.
473.,25928.
474.,25929.
475.,25929.
476.,25928.
477.,25931.
478.,25933.
479.,25932.
480.,25933.
481.,25929.
482.,25929.
483.,25931.
484.,25930.
485.,25933.
486.,25933.
487.,25935.
488.,25937.
489.,25937.
490.,25939.
491.,25941.
492.,25944.
493.,25945.
494.,25944.
495.,25942.
496.,25942.
497.,25944.
498.,25946.
499.,25948.
500.,25947.
501.,25948.
502.,25951.
503.,25954.
504.,25956.
505.,25955.
506.,25956.
507.,25954.
508.,25953.
509.,25954.
510.,25958.
511.,25961.
512.,25963.
513.,25963.
514.,25967.
515.,25965.
516.,25969.
517.,25967.
518.,25964.
519.,25965.
520.,25964.
521.,25961.
522.,25964.
523.,25968.
524.,25968.
525.,25967.
526.,25970.
527.,25966.
528.,25969.
529.,25969.
530.,25969.
531.,25969.
532.,25970.
533.,25971.
534.,25971.
