TotalArea_x,TotalArea_y
0.,9536.
1.,9541.
2.,9564.
3.,9592.
4.,11703.
5.,14107.
6.,15918.
7.,17844.
8.,19980.
9.,21915.
10.,23808.
11.,24771.
12.,25226.
13.,25508.
14.,25633.
15.,25658.
16.,25680.
17.,25707.
18.,25685.
19.,25682.
20.,25672.
21.,25694.
22.,25689.
23.,25683.
24.,25678.
25.,25675.
26.,25683.
27.,25676.
28.,25678.
29.,25683.
30.,25675.
31.,25665.
32.,25662.
33.,25666.
34.,25667.
35.,25660.
36.,25656.
37.,25649.
38.,25653.
39.,25659.
40.,25657.
41.,25657.
42.,25658.
43.,25661.
44.,25661.
45.,25660.
46.,25661.
47.,25663.
48.,25667.
49.,25668.
50.,25666.
51.,25669.
52.,25669.
53.,25667.
54.,25667.
55.,25667.
56.,25667.
57.,25668.
58.,25667.
59.,25668.
60.,25669.
61.,25670.
62.,25672.
63.,25671.
64.,25672.
65.,25671.
66.,25670.
67.,25669.
68.,25668.
69.,25668.
70.,25669.
71.,25671.
72.,25673.
73.,25670.
74.,25667.
75.,25671.
76.,25673.
77.,25669.
78.,25669.
79.,25672.
80.,25675.
81.,25679.
82.,25684.
83.,25685.
84.,25683.
85.,25686.
86.,25685.
87.,25679.
88.,25681.
89.,25679.
90.,25679.
91.,25684.
92.,25683.
93.,25684.
94.,25682.
95.,25685.
96.,25684.
97.,25684.
98.,25689.
99.,25694.
100.,25690.
101.,25693.
102.,25691.
103.,25694.
104.,25693.
105.,25693.
106.,25695.
107.,25693.
108.,25698.
109.,25699.
110.,25699.
111.,25701.
112.,25700.
113.,25699.
114.,25698.
115.,25695.
116.,25695.
117.,25694.
118.,25695.
119.,25694.
120.,25695.
121.,25692.
122.,25694.
123.,25695.
124.,25694.
125.,25696.
126.,25696.
127.,25697.
128.,25696.
129.,25696.
130.,25698.
131.,25701.
132.,25700.
133.,25700.
134.,25701.
135.,25701.
136.,25702.
137.,25704.
138.,25703.
139.,25706.
140.,25708.
141.,25704.
142.,25703.
143.,25704.
144.,25705.
145.,25707.
146.,25705.
147.,25707.
148.,25705.
149.,25703.
150.,25704.
151.,25703.
152.,25706.
153.,25705.
154.,25707.
155.,25708.
156.,25708.
157.,25709.
158.,25708.
159.,25708.
160.,25710.
161.,25709.
162.,25710.
163.,25710.
164.,25710.
165.,25711.
166.,25711.
167.,25711.
168.,25710.
169.,25712.
170.,25712.
171.,25710.
172.,25709.
173.,25711.
174.,25710.
175.,25711.
176.,25715.
177.,25716.
178.,25714.
179.,25715.
180.,25714.
181.,25714.
182.,25713.
183.,25714.
184.,25716.
185.,25716.
186.,25716.
187.,25717.
188.,25718.
189.,25718.
190.,25720.
191.,25723.
192.,25724.
193.,25726.
194.,25726.
195.,25727.
196.,25727.
197.,25727.
198.,25727.
199.,25727.
200.,25729.
201.,25726.
202.,25724.
203.,25723.
204.,25723.
205.,25725.
206.,25725.
207.,25728.
208.,25727.
209.,25726.
210.,25724.
211.,25723.
212.,25723.
213.,25724.
214.,25723.
215.,25723.
216.,25722.
217.,25723.
218.,25727.
219.,25732.
220.,25731.
221.,25729.
222.,25729.
223.,25731.
224.,25729.
225.,25730.
226.,25730.
227.,25730.
228.,25733.
229.,25730.
230.,25733.
231.,25732.
232.,25734.
233.,25734.
234.,25735.
235.,25739.
236.,25739.
237.,25739.
238.,25739.
239.,25739.
240.,25740.
241.,25742.
242.,25741.
243.,25741.
244.,25742.
245.,25740.
246.,25741.
247.,25743.
248.,25741.
249.,25740.
250.,25739.
251.,25740.
252.,25740.
253.,25744.
254.,25744.
255.,25745.
256.,25745.
257.,25743.
258.,25743.
259.,25743.
260.,25741.
261.,25743.
262.,25743.
263.,25745.
264.,25746.
265.,25746.
266.,25746.
267.,25747.
268.,25747.
269.,25747.
270.,25748.
271.,25748.
272.,25747.
273.,25747.
274.,25748.
275.,25748.
276.,25747.
277.,25747.
278.,25747.
279.,25745.
280.,25747.
281.,25746.
282.,25745.
283.,25746.
284.,25747.
285.,25747.
286.,25747.
287.,25747.
288.,25747.
289.,25746.
290.,25747.
291.,25747.
292.,25749.
293.,25749.
294.,25749.
295.,25749.
296.,25749.
297.,25749.
298.,25750.
299.,25750.
300.,25749.
301.,25749.
302.,25749.
303.,25750.
304.,25751.
305.,25751.
306.,25752.
307.,25752.
308.,25753.
309.,25755.
310.,25755.
311.,25756.
312.,25756.
313.,25754.
314.,25753.
315.,25753.
316.,25752.
317.,25752.
318.,25752.
319.,25752.
320.,25752.
321.,25752.
322.,25753.
323.,25753.
324.,25755.
325.,25755.
326.,25756.
327.,25755.
328.,25758.
329.,25757.
330.,25760.
331.,25760.
332.,25760.
333.,25760.
334.,25761.
335.,25761.
336.,25762.
337.,25760.
338.,25760.
339.,25760.
340.,25762.
341.,25762.
342.,25763.
343.,25763.
344.,25763.
345.,25762.
346.,25763.
347.,25763.
348.,25762.
349.,25762.
350.,25764.
351.,25764.
352.,25766.
353.,25766.
354.,25765.
355.,25766.
356.,25766.
357.,25765.
358.,25764.
359.,25766.
360.,25767.
361.,25767.
362.,25768.
363.,25769.
364.,25769.
365.,25770.
366.,25771.
367.,25771.
368.,25771.
369.,25771.
370.,25771.
371.,25773.
372.,25773.
373.,25775.
374.,25775.
375.,25776.
376.,25776.
377.,25776.
378.,25777.
379.,25777.
380.,25778.
381.,25778.
382.,25778.
383.,25778.
384.,25778.
385.,25780.
386.,25780.
387.,25779.
388.,25781.
389.,25780.
390.,25780.
391.,25780.
392.,25780.
393.,25780.
394.,25780.
395.,25780.
396.,25781.
397.,25781.
398.,25781.
399.,25781.
400.,25781.
401.,25781.
402.,25781.
403.,25781.
404.,25782.
405.,25782.
406.,25782.
407.,25780.
408.,25782.
409.,25782.
410.,25781.
411.,25781.
412.,25782.
413.,25783.
414.,25781.
415.,25780.
416.,25781.
417.,25781.
418.,25781.
419.,25781.
420.,25782.
421.,25785.
422.,25784.
423.,25784.
424.,25785.
425.,25785.
426.,25789.
427.,25789.
428.,25792.
429.,25792.
430.,25791.
431.,25790.
432.,25790.
433.,25791.
434.,25792.
435.,25794.
436.,25794.
437.,25794.
438.,25793.
439.,25794.
440.,25794.
441.,25794.
442.,25797.
443.,25798.
444.,25797.
445.,25798.
446.,25798.
447.,25799.
448.,25801.
449.,25800.
450.,25801.
451.,25798.
452.,25799.
453.,25800.
454.,25802.
455.,25801.
456.,25800.
457.,25800.
458.,25801.
459.,25801.
460.,25801.
461.,25801.
462.,25802.
463.,25802.
464.,25802.
465.,25802.
466.,25802.
467.,25802.
468.,25803.
469.,25802.
470.,25802.
471.,25802.
472.,25802.
473.,25801.
474.,25801.
475.,25801.
476.,25803.
477.,25803.
478.,25803.
479.,25804.
480.,25803.
481.,25804.
482.,25805.
483.,25806.
484.,25806.
485.,25807.
486.,25810.
487.,25808.
488.,25809.
489.,25810.
490.,25812.
491.,25813.
492.,25814.
493.,25815.
494.,25817.
495.,25817.
496.,25818.
497.,25818.
498.,25817.
499.,25818.
500.,25819.
501.,25818.
502.,25819.
503.,25820.
504.,25822.
505.,25822.
506.,25823.
507.,25823.
508.,25823.
509.,25824.
510.,25824.
511.,25825.
512.,25828.
513.,25828.
514.,25829.
515.,25828.
516.,25829.
517.,25828.
518.,25828.
519.,25828.
520.,25830.
521.,25830.
522.,25831.
523.,25832.
524.,25833.
525.,25833.
526.,25833.
527.,25831.
528.,25831.
529.,25832.
530.,25832.
531.,25833.
532.,25834.
533.,25833.
534.,25833.
535.,25834.
536.,25833.
537.,25833.
538.,25834.
539.,25835.
540.,25839.
541.,25840.
542.,25843.
543.,25842.
544.,25842.
545.,25842.
546.,25842.
547.,25840.
548.,25842.
549.,25843.
550.,25846.
551.,25848.
552.,25848.
553.,25848.
554.,25848.
555.,25849.
556.,25850.
557.,25853.
558.,25854.
559.,25853.
560.,25853.
561.,25853.
562.,25853.
563.,25854.
564.,25856.
565.,25857.
566.,25857.
567.,25859.
568.,25860.
569.,25860.
570.,25860.
571.,25860.
572.,25861.
573.,25861.
574.,25861.
575.,25861.
576.,25861.
577.,25861.
578.,25861.
579.,25861.
580.,25862.
581.,25861.
582.,25861.
583.,25861.
584.,25861.
585.,25863.
586.,25863.
587.,25863.
588.,25864.
589.,25863.
590.,25863.
591.,25862.
592.,25862.
593.,25863.
594.,25863.
595.,25864.
596.,25864.
597.,25864.
598.,25865.
599.,25867.
600.,25867.
601.,25867.
602.,25868.
603.,25868.
604.,25868.
605.,25868.
606.,25868.
607.,25868.
608.,25868.
609.,25868.
610.,25869.
611.,25869.
612.,25869.
613.,25870.
614.,25870.
615.,25870.
616.,25870.
617.,25871.
618.,25872.
619.,25872.
620.,25872.
621.,25872.
622.,25872.
623.,25874.
624.,25875.
625.,25874.
626.,25872.
627.,25874.
628.,25874.
629.,25877.
630.,25878.
