TotalArea_x,TotalArea_y
0.,2457.
1.,2479.
2.,2500.
3.,2516.
4.,2978.
5.,3511.
6.,3928.
7.,4369.
8.,4863.
9.,5275.
10.,5666.
11.,5849.
12.,5954.
13.,6013.
14.,6046.
15.,6072.
16.,6090.
17.,6083.
18.,6095.
19.,6093.
20.,6091.
21.,6099.
22.,6102.
23.,6105.
24.,6104.
25.,6106.
26.,6109.
27.,6109.
28.,6114.
29.,6110.
30.,6112.
31.,6112.
32.,6109.
33.,6109.
34.,6110.
35.,6109.
36.,6110.
37.,6110.
38.,6112.
39.,6116.
40.,6115.
41.,6113.
42.,6113.
43.,6112.
44.,6112.
45.,6112.
46.,6112.
47.,6113.
48.,6112.
49.,6113.
50.,6112.
51.,6111.
52.,6112.
53.,6114.
54.,6114.
55.,6116.
56.,6115.
57.,6118.
58.,6118.
59.,6118.
60.,6120.
61.,6121.
62.,6121.
63.,6119.
64.,6117.
65.,6117.
66.,6125.
67.,6126.
68.,6127.
69.,6127.
70.,6131.
71.,6129.
72.,6130.
73.,6131.
74.,6130.
75.,6131.
76.,6131.
77.,6133.
78.,6133.
79.,6135.
80.,6134.
81.,6134.
82.,6135.
83.,6137.
84.,6137.
85.,6139.
86.,6139.
87.,6139.
88.,6139.
89.,6139.
90.,6139.
91.,6138.
92.,6140.
93.,6139.
94.,6141.
95.,6142.
96.,6143.
97.,6142.
98.,6143.
99.,6143.
100.,6144.
101.,6145.
102.,6143.
103.,6145.
104.,6145.
105.,6147.
106.,6148.
107.,6147.
108.,6147.
109.,6147.
110.,6149.
111.,6149.
112.,6150.
113.,6151.
114.,6150.
115.,6150.
116.,6152.
117.,6151.
118.,6151.
119.,6151.
120.,6151.
121.,6153.
122.,6153.
123.,6153.
124.,6152.
125.,6151.
126.,6151.
127.,6150.
128.,6151.
129.,6152.
130.,6153.
131.,6155.
132.,6155.
133.,6156.
134.,6157.
135.,6156.
136.,6157.
137.,6160.
138.,6160.
139.,6162.
140.,6162.
141.,6165.
142.,6164.
143.,6165.
144.,6165.
145.,6166.
146.,6168.
147.,6168.
148.,6168.
149.,6168.
150.,6169.
151.,6169.
152.,6170.
153.,6171.
154.,6170.
155.,6172.
156.,6172.
157.,6170.
158.,6171.
159.,6172.
160.,6171.
161.,6172.
162.,6172.
163.,6170.
164.,6170.
165.,6171.
166.,6175.
167.,6174.
168.,6174.
169.,6175.
170.,6174.
171.,6176.
172.,6178.
173.,6178.
174.,6179.
175.,6179.
176.,6180.
177.,6180.
178.,6181.
179.,6182.
180.,6185.
181.,6185.
182.,6185.
183.,6185.
184.,6186.
185.,6186.
186.,6185.
187.,6188.
188.,6188.
189.,6189.
190.,6189.
191.,6190.
192.,6190.
193.,6191.
194.,6193.
195.,6193.
196.,6193.
197.,6194.
198.,6194.
199.,6195.
200.,6198.
201.,6201.
202.,6201.
203.,6202.
204.,6201.
205.,6201.
206.,6202.
207.,6202.
208.,6203.
209.,6203.
210.,6202.
211.,6204.
212.,6205.
213.,6206.
214.,6206.
215.,6206.
216.,6206.
217.,6204.
218.,6205.
219.,6205.
220.,6206.
221.,6207.
222.,6209.
223.,6209.
224.,6210.
225.,6212.
226.,6213.
227.,6213.
228.,6214.
229.,6214.
230.,6215.
231.,6213.
232.,6215.
233.,6214.
234.,6215.
235.,6216.
236.,6216.
237.,6217.
238.,6217.
239.,6218.
240.,6218.
241.,6218.
242.,6218.
243.,6217.
244.,6217.
245.,6217.
246.,6218.
247.,6219.
248.,6220.
249.,6220.
250.,6221.
251.,6222.
252.,6224.
253.,6230.
254.,6232.
255.,6234.
256.,6237.
257.,6242.
258.,6242.
259.,6242.
260.,6241.
261.,6243.
262.,6242.
263.,6245.
264.,6248.
265.,6249.
266.,6251.
267.,6250.
268.,6251.
269.,6251.
270.,6252.
271.,6253.
272.,6253.
273.,6253.
274.,6253.
275.,6254.
276.,6257.
277.,6257.
278.,6256.
279.,6259.
280.,6262.
281.,6262.
282.,6262.
283.,6263.
284.,6264.
285.,6263.
286.,6264.
287.,6269.
288.,6271.
289.,6270.
290.,6269.
291.,6268.
292.,6265.
293.,6265.
294.,6267.
295.,6265.
296.,6267.
297.,6266.
298.,6266.
299.,6265.
300.,6264.
301.,6265.
302.,6264.
303.,6266.
304.,6266.
305.,6267.
306.,6267.
307.,6272.
308.,6269.
309.,6271.
310.,6272.
311.,6272.
312.,6272.
313.,6273.
314.,6274.
315.,6274.
316.,6274.
317.,6274.
318.,6276.
319.,6276.
320.,6280.
321.,6280.
322.,6279.
323.,6276.
324.,6280.
325.,6282.
326.,6282.
327.,6282.
328.,6284.
329.,6286.
330.,6286.
331.,6285.
332.,6285.
333.,6283.
334.,6284.
335.,6286.
336.,6287.
337.,6289.
338.,6287.
339.,6289.
340.,6289.
341.,6291.
342.,6289.
343.,6291.
344.,6291.
345.,6292.
346.,6295.
347.,6295.
348.,6298.
349.,6297.
350.,6294.
351.,6300.
352.,6302.
353.,6303.
354.,6304.
355.,6307.
356.,6308.
357.,6309.
358.,6310.
359.,6311.
360.,6311.
361.,6312.
362.,6312.
363.,6312.
364.,6315.
365.,6317.
366.,6317.
367.,6316.
368.,6317.
369.,6318.
370.,6319.
371.,6319.
372.,6319.
373.,6320.
374.,6319.
375.,6321.
376.,6323.
377.,6321.
378.,6321.
379.,6322.
380.,6321.
381.,6322.
382.,6323.
383.,6323.
384.,6324.
385.,6323.
386.,6322.
387.,6322.
388.,6323.
389.,6322.
390.,6323.
391.,6326.
392.,6326.
393.,6330.
394.,6331.
395.,6331.
396.,6331.
397.,6332.
398.,6335.
399.,6336.
400.,6335.
401.,6337.
402.,6338.
403.,6336.
404.,6337.
405.,6339.
406.,6338.
407.,6338.
408.,6339.
409.,6338.
410.,6341.
411.,6341.
412.,6344.
413.,6345.
414.,6346.
415.,6346.
416.,6346.
417.,6346.
418.,6347.
419.,6347.
420.,6348.
421.,6350.
422.,6350.
423.,6350.
424.,6350.
425.,6349.
426.,6349.
427.,6350.
428.,6349.
429.,6350.
430.,6348.
431.,6350.
432.,6352.
433.,6351.
434.,6353.
435.,6354.
436.,6354.
437.,6359.
438.,6362.
439.,6363.
440.,6363.
441.,6367.
442.,6368.
443.,6370.
444.,6371.
445.,6372.
446.,6375.
447.,6373.
448.,6372.
449.,6374.
450.,6374.
451.,6376.
452.,6378.
453.,6377.
454.,6376.
455.,6377.
456.,6377.
457.,6375.
458.,6375.
459.,6377.
460.,6373.
461.,6375.
462.,6378.
463.,6377.
464.,6378.
465.,6376.
466.,6380.
467.,6380.
468.,6377.
469.,6378.
470.,6377.
471.,6378.
472.,6381.
473.,6383.
474.,6384.
475.,6385.
476.,6385.
477.,6389.
478.,6389.
479.,6389.
480.,6390.
481.,6393.
482.,6395.
483.,6395.
484.,6396.
485.,6397.
486.,6402.
487.,6403.
488.,6403.
489.,6405.
490.,6409.
491.,6407.
492.,6409.
493.,6409.
